Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2014 Great Britain Lunar Horse 1 oz Silver Proof,297170741624,12/10/2025,$142.67,$3.99,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/297170741624
2014 Great Britain Lunar Horse 1 oz Silver Proof,294574989286,2/27/2026,$119.95,$4.99,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/294574989286
2014 Royal Mint Lunar Horse 1 oz Silver PCGS PF-69,298599135692,12/14/2025,$154.77,Free,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/298599135692
2014 Great Britain Lunar Horse 1 oz Silver Proof,250339574999,12/7/2025,$135.41,Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/250339574999
2014 Great Britain Lunar Horse 1 oz Silver Proof,225370882892,12/23/2025,$129.88,Free,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/225370882892
2014 Great Britain Lunar Horse 1 oz Silver Proof,376855035426,3/1/2026,$126.26,Free,Uncirculated,jmbullion,Auction,https://www.ebay.com/itm/376855035426
2014 Great Britain Lunar Horse 1 oz Silver Proof,206095504756,1/9/2026,$143.52,Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/206095504756
2014 Royal Mint Lunar Horse 1 oz Silver PCGS PF-69,333703411469,2/7/2026,$173.56,Free,Certified,jmbullion,Best Offer,https://www.ebay.com/itm/333703411469
2014 Great Britain Lunar Horse 1 oz Silver Proof,157148523981,2/27/2026,$142.01,$3.99,Uncirculated,govmint_official,Auction,https://www.ebay.com/itm/157148523981
2014 Great Britain Lunar Horse 1 oz Silver Proof,370413862734,1/11/2026,$138.63,Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/370413862734
2014 Royal Mint Lunar Horse 1 oz Silver NGC PF-69,102263428061,1/7/2026,$167.19,$3.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/102263428061
2014 Great Britain Lunar Horse 1 oz Silver Proof,270610418984,12/10/2025,$151.48,Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/270610418984
2014 Great Britain Lunar Horse 1 oz Silver Proof,204066895682,12/13/2025,$120.29,$3.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/204066895682
2014 Royal Mint Lunar Horse 1 oz Silver PCGS PF-69,163394579133,1/5/2026,$141.63,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/163394579133
2014 Great Britain Lunar Horse 1 oz Silver Proof,119109051762,2/21/2026,$142.88,Free,Uncirculated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/119109051762
2014 Great Britain Lunar Horse 1 oz Silver Proof,365186153435,3/1/2026,$149.13,Free,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/365186153435
