Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Whitman US Barber / Liberty Half Dollar Coin Album 1892 - 1915 #9124,152490204831,"Jun 26, 2026",$30.22,$0.00,,,Fixed price,https://www.ebay.com/itm/152490204831,18
"Barber Half Dollars (1892-1915) - 90% Silver, Choose How Many!",306415836514,"Jun 26, 2026",$33.22,$0.00,,,Fixed price,https://www.ebay.com/itm/306415836514,9
(5 PC. LOT) BARBER HALF DOLLARS AVERAGE CIRC. MIXED BULK SILVER LOT 1892 - 1915,326300572219,"Jun 25, 2026",$196.21,$0.00,,,Fixed price,https://www.ebay.com/itm/326300572219,2
1915-S Barber Half Dollar Average Circ 90% Silver,126777938871,"Jun 24, 2026",$36.30,$0.00,,,Fixed price,https://www.ebay.com/itm/126777938871,3
(1 PC. LOT) BARBER HALF DOLLAR GOOD / VG FULL RIMS SILVER 1892 - 1915,226395388065,"Jun 20, 2026",$45.02,$0.00,,,Fixed price,https://www.ebay.com/itm/226395388065,2
1915-D Barber Half Dollar - Actual Coin Shown - 90% Silver Coin INV#805,358468398844,"Jun 15, 2026",$37.29,$0.00,,,Fixed price,https://www.ebay.com/itm/358468398844,2
Whitman Coin Album 9124 Barber Liberty Head Half Dollar 1892-1915 Book 50 cent,330972560979,"Jun 13, 2026",$27.71,$7.00,,,Fixed price,https://www.ebay.com/itm/330972560979,9
CAPS Album Liberty Head Barber Half Dollars 1892-1915 for Air-Tite Capsules 2125,123632697637,"Jun 6, 2026",$35.95,$10.99,,,Fixed price,https://www.ebay.com/itm/123632697637,3
(1 PC. LOT) BARBER HALF DOLLAR AVERAGE CIRC. SILVER COIN From 1892 - 1915,226395372691,"Jun 4, 2026",$46.71,$0.00,,,Fixed price,https://www.ebay.com/itm/226395372691,6
1915 S barber half dollar Excellent Condition.,397973079854,"May 27, 2026",$25.83,$0.00,,,Fixed price,https://www.ebay.com/itm/397973079854,7
5pc Barber Half DoIlar Lot 1892-1915 G-VG Circulated,137330598681,"May 26, 2026",$69.55,$0.00,,,Fixed price,https://www.ebay.com/itm/137330598681,2
"Lot of Four Barber Half DolIar Coins, 1892–1915 Mixed Dates",366411984205,"May 19, 2026",$66.56,$0.00,,,Fixed price,https://www.ebay.com/itm/366411984205,2
1915-D Barber Half Silver ---- Nice Coin ---- #772I,277244596322,"May 18, 2026",$69.75,$3.95,,,Fixed price,https://www.ebay.com/itm/277244596322,1
1915 D United States Barber Half Dollar Silver Coin 50C,178114679757,"May 17, 2026",$57.00,$0.00,,,Auction,https://www.ebay.com/itm/178114679757,1
1915-D Barber Half Dollar 90% Silver US Coin 50c #A34,357958724413,"May 17, 2026",$40.00,$4.50,,,Fixed price,https://www.ebay.com/itm/357958724413,1
1915-S Barber Half Dollar- Silver- Scarce Better Date- No Reserve #K2888,366400978568,"May 17, 2026",$31.00,$0.21,,,Auction,https://www.ebay.com/itm/366400978568,1
1915-S Barber Half Dollar- Silver- Scarce Better Date- No Reserve #K2889,366400976007,"May 17, 2026",$30.00,$1.11,,,Auction,https://www.ebay.com/itm/366400976007,1
1915-S Barber Half Dollar *4181,127857718378,"May 17, 2026",$23.39,$0.00,,,Auction,https://www.ebay.com/itm/127857718378,1
Dansco Coin Album #7150 Liberty Head Barber Half Dollars 1892-1915 4-Page Album,226532543102,"May 17, 2026",$42.24,$0.00,,,Fixed price,https://www.ebay.com/itm/226532543102,4
1915 S Barber Liberty Head Half Dollar 50c Very Good 90% Silver #SC75AGBE-2,406933052148,"May 17, 2026",$39.95,$8.30,,,Fixed price,https://www.ebay.com/itm/406933052148,1
5pc Barber Half DoIlar Lot 1892-1915 G-VG Circulated,366399832974,"May 17, 2026",$63.95,$0.00,,,Fixed price,https://www.ebay.com/itm/366399832974,9
Whitman 1907-1915 Liberty Head (Barber) Half Dollar Coin Album,389841175084,"May 17, 2026",$12.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389841175084,1
"Barber Half Dollar 1907 S, Barber Quarter 1915, Barber Dime 1914 90% Silver Lot",127855459187,"May 17, 2026",$36.00,$9.45,,,Auction,https://www.ebay.com/itm/127855459187,1
"1915-S BARBER HALF DOLLAR Certified NGC VG8 ""Excellent Coin """,168365717569,"May 17, 2026",$56.00,$0.00,,,Auction,https://www.ebay.com/itm/168365717569,1
1915 Barber Half Dollar 50C Business Strike Circulated Uncertified,366411165377,"May 16, 2026",$20.00,$5.48,,,Fixed price,https://www.ebay.com/itm/366411165377,1
1915-S San Francisco Mint Silver Barber Half Dollar,236808256290,"May 16, 2026",$29.00,$4.65,,,Auction,https://www.ebay.com/itm/236808256290,1
1897 TO 1915 FULL RIM VG BARBER HALF DOLLAR ROLL / 20 COINS,198343211184,"May 16, 2026",$635.00,$9.95,,,Auction,https://www.ebay.com/itm/198343211184,1
1915 S Barber Half Silver - Good - BH110,389996068751,"May 16, 2026",$27.00,$3.00,,,Auction,https://www.ebay.com/itm/389996068751,1
5pc Barber Half DoIlar Lot 1892-1915 G-VG Circulated,137303137911,"May 16, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137303137911,1
"1915 Barber Half Dollar , SEMI KEY, Estate Sale, FREE SHIP",147300029786,"May 16, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147300029786,1
1915-d Barber half,377173063308,"May 16, 2026",$36.00,$2.50,,,Auction,https://www.ebay.com/itm/377173063308,1
1915 D BARBER HALF DOLLAR NGC VF20,327015815265,"May 16, 2026",$150.00,$5.28,,,Fixed price,https://www.ebay.com/itm/327015815265,1
1915 Barber Silver Half Dollar,147305693668,"May 16, 2026",$61.00,$2.38,,,Auction,https://www.ebay.com/itm/147305693668,1
1915 S Barber Liberty Head Half Dollar 50c Very Good 90% Silver #SC75AGBE-2,187637194783,"May 15, 2026",$39.99,$1.00,,,Fixed price,https://www.ebay.com/itm/187637194783,1
1915 s circulated Barber half dollar in fine condition b,236767837097,"May 15, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236767837097,1
1915-S BARBER HALF DOLLAR - VF DETAILS,257504905927,"May 15, 2026",$125.00,$5.25,,,Fixed price,https://www.ebay.com/itm/257504905927,1
1915 D Barber Half Dollar DU133,204274010852,"May 15, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/204274010852,1
BRAND NEW LIBERTY HEAD (BARBER) HALF DOLLARS DANSCO ALBUM #7150 - 1892 to 1915,254574769405,"May 15, 2026",$43.00,$8.95,,,Fixed price,https://www.ebay.com/itm/254574769405,2
1915-S BARBER SILVER HALF DOLLAR ~ GOOD ~ NICE COIN ~,227331390026,"May 15, 2026",$29.25,$0.86,,,Auction,https://www.ebay.com/itm/227331390026,1
1915 D 50c Fifty Cents Barber 90% Silver Half Dollar,257500478714,"May 15, 2026",$25.00,$6.00,,,Auction,https://www.ebay.com/itm/257500478714,1
Lot of 5 (1892-1915) Face Value Barber Half DoIIar 50c Mixed Date,377183758183,"May 15, 2026",$65.56,$0.00,,,Fixed price,https://www.ebay.com/itm/377183758183,2
DANSCO COIN ALBUM #7150 LIBERTY HEAD BARBER HALF DOLLARS 1892-1915,318298600452,"May 15, 2026",$29.99,$6.99,,,Fixed price,https://www.ebay.com/itm/318298600452,1
1915-S Barber Half Dollar VF/XF Nice! #10FAC,146893876438,"May 15, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146893876438,1
Vintage 1904-1915 Barber Half Whitman Album Only No Coins! #9020 Book,267658583336,"May 15, 2026",$6.00,$5.28,,,Fixed price,https://www.ebay.com/itm/267658583336,1
1915-D Barber Silver Half Dollar - #C59384NQ,227337124482,"May 15, 2026",$33.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227337124482,1
Five S Mint Silver Barber Half Dollars,327147563787,"May 15, 2026",$130.50,$5.28,,,Auction,https://www.ebay.com/itm/327147563787,1
,,"May 15, 2026",$65.56,$0.00,,,Fixed price,,2
1915-s Barber Half Dollar-circulated,168360637081,"May 14, 2026",$46.15,$5.72,,,Auction,https://www.ebay.com/itm/168360637081,1
1915-D Denver Mint Silver Barber Half Dollar,358531217640,"May 14, 2026",$31.00,$3.12,,,Auction,https://www.ebay.com/itm/358531217640,1
"Lot of (2) Barber Half Dollars, 1909-S, 1915-D no Reserve",327149181288,"May 14, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/327149181288,1
New Liberty Head Barber Half Dollars 1892-1915 Whitman Coin Album #9124,127838759311,"May 14, 2026",$36.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127838759311,2
1915-S San Francisco Mint Silver Barber Half Dollar,358527518911,"May 13, 2026",$50.87,$0.25,,,Auction,https://www.ebay.com/itm/358527518911,1
1915 Philadelphia Mint Silver Barber Half Dollar,366393028732,"May 13, 2026",$46.89,$4.65,,,Auction,https://www.ebay.com/itm/366393028732,1
,,"May 13, 2026",$115.00,$0.00,,,Auction,,1
1914 S 1915 S Barber Half Dollar 90% Silver Lot of 2 #96,147291830168,"May 13, 2026",$61.74,$0.00,,,Fixed price,https://www.ebay.com/itm/147291830168,1
Lot of three 3X BARBER SILVER HALF DOLLARS 1902-P 1906-P 1915-D good details,267668731230,"May 13, 2026",$82.99,$8.60,,,Fixed price,https://www.ebay.com/itm/267668731230,1
1915-D Barber Half Dollar 50c - Denver Mint - G-VG Details - Obv. Scratches,127850317856,"May 13, 2026",$31.01,$0.00,,,Auction,https://www.ebay.com/itm/127850317856,1
1915 Barber Half Dollar PCGS VG10 Key Date Last Year of Issue,188362617163,"May 13, 2026",$182.95,$0.00,,,Fixed price,https://www.ebay.com/itm/188362617163,1
1915 D barber half dollar,277969819905,"May 13, 2026",$23.27,$5.00,,,Auction,https://www.ebay.com/itm/277969819905,1
Barber Half Dollars Liberty Head 1892-1915 Coin Album 9124 New By Whitman,116298444038,"May 12, 2026",$33.19,$0.00,,,Fixed price,https://www.ebay.com/itm/116298444038,38
1915-S Silver Barber Half Dollar 90% Silver 50c Genuine NGC Purple Core A49,236807932576,"May 12, 2026",$49.00,$3.99,,,Fixed price,https://www.ebay.com/itm/236807932576,1
1915-S Barber Half Dollar 50c Silver,358523636339,"May 12, 2026",$35.00,$0.91,,,Auction,https://www.ebay.com/itm/358523636339,1
1915 D Barber Silver Half Dollar,147295852976,"May 12, 2026",$25.01,$0.00,,,Auction,https://www.ebay.com/itm/147295852976,1
