Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Platinum American Eagle 1 oz Eagle $100 Random .9995 Fine US Mint Coin,406110505976,"Apr 4, 2026","$2,158.76",$0.00,,,Fixed price,https://www.ebay.com/itm/406110505976
American Platinum Eagle (1/2 oz) $50 - BU - Random Date,303860736274,"Apr 3, 2026","$1,147.20",$0.00,,,Fixed price,https://www.ebay.com/itm/303860736274
1 oz Platinum American Eagle Coin $100 (BU) - Random Date #A583,364708960744,"Mar 22, 2026","$2,215.86",$0.00,,,Fixed price,https://www.ebay.com/itm/364708960744
American Platinum Eagle 1/2 oz $50 - NGC MS70 Random Date and Label,306373099549,"Apr 1, 2026","$1,218.66",$0.00,,,Fixed price,https://www.ebay.com/itm/306373099549
1 oz gold Krugerrand / Platinum American Eagle Coin Capsules 33mm By Lighthouse,112844461484,"Apr 5, 2026",$10.22,$0.00,,,Fixed price,https://www.ebay.com/itm/112844461484
American Platinum Eagle 1/4 oz $25 - NGC MS70 Random Date and Label,305898797995,"Mar 15, 2026",$656.13,$0.00,,,Fixed price,https://www.ebay.com/itm/305898797995
Platinum Eagle $100 1 Troy Oz .9995 Fine Platinum Coin Random Date!!!,127746600633,"Mar 22, 2026","$2,225.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127746600633
1 oz American Platinum Eagle Coin (Random Year),386516816695,"Apr 2, 2026","$2,209.81",$0.00,,,Fixed price,https://www.ebay.com/itm/386516816695
American Platinum Eagle 1/2 oz $50 - NGC MS69 Random Date and Label,405300272515,"Mar 27, 2026","$1,126.84",$0.00,,,Fixed price,https://www.ebay.com/itm/405300272515
2020 Platinum Eagle $100 1 Troy Oz .9995 Fine Platinum Coin !!!,117079970708,"Mar 15, 2026","$2,290.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117079970708
"1 oz American Platinum Eagle Coin BU (Random Year, 1997-2023)",126174665313,"Apr 2, 2026","$2,314.27",$85.99,,,Fixed price,https://www.ebay.com/itm/126174665313
2025-W 1 oz Reverse Proof American Palladium Eagle (w/Box & COA),146862686327,"Mar 18, 2026","$3,014.74",$0.00,,,Fixed price,https://www.ebay.com/itm/146862686327
2013-W Proof $100 1 oz American Platinum Eagle PCGS PR70DCAM FS Flag Label,206113785110,"Mar 31, 2026","$2,248.67",$0.00,,,Fixed price,https://www.ebay.com/itm/206113785110
1 oz $100 American Platinum Eagle .9995 Fine Coin - Random Year BU,235588568224,"Mar 29, 2026","$2,319.19",$89.13,,,Fixed price,https://www.ebay.com/itm/235588568224
American Platinum Eagle 1 oz $100 - NGC MS70 Random Date and Label,305825730675,"Mar 27, 2026","$2,224.23",$0.00,,,Fixed price,https://www.ebay.com/itm/305825730675
American Platinum Eagle Proof 1/2 oz $50 - Coin in Capsule - Random Date,306347372495,"Apr 5, 2026","$1,112.40",$0.00,,,Fixed price,https://www.ebay.com/itm/306347372495
American Platinum Eagle 1/2 oz $50 - NGC PF70 Random Date and Label,306812646048,"Mar 30, 2026","$1,197.99",$0.00,,,Fixed price,https://www.ebay.com/itm/306812646048
2026-W Proof $100 American Platinum Eagle Declaration of Independence PCGS,317848926297,"Mar 31, 2026","$3,595.00",$0.00,,,Fixed price,https://www.ebay.com/itm/317848926297
American Platinum Eagle (1/10 oz) $10 - BU - Random Date,373487202565,"Mar 19, 2026",$307.36,$0.00,,,Fixed price,https://www.ebay.com/itm/373487202565
American Platinum Eagle 1/4 oz $25 - PCGS MS69 Random Date and Label,375988322862,"Mar 29, 2026",$595.09,$0.00,,,Fixed price,https://www.ebay.com/itm/375988322862
Random Year $25 1/4-oz American Platinum Eagle BU,389391262320,"Apr 5, 2026",$585.09,$33.96,,,Fixed price,https://www.ebay.com/itm/389391262320
American Platinum Eagle Proof 1 oz $100 - Coin in Capsule - Random Date,405870414753,"Mar 20, 2026","$2,238.65",$0.00,,,Fixed price,https://www.ebay.com/itm/405870414753
2022 Platinum Eagle $100 1 Troy Oz .9995 Fine Platinum Coin !!!,117071897881,"Mar 7, 2026","$2,365.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117071897881
1/4 oz American Platinum Eagle Coin BU (Random Year),124670031959,"Mar 17, 2026",$699.71,$0.00,,,Fixed price,https://www.ebay.com/itm/124670031959
2020 Platinum Eagle $100 1 Troy Oz .9995 Fine Platinum Coin !!!,127725815205,"Mar 8, 2026","$2,385.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127725815205
2026-W $100 Platinum Eagle Declaration of Independence 250 FDI NGC PF70,168169684165,"Mar 29, 2026","$3,489.95",$0.00,,,Fixed price,https://www.ebay.com/itm/168169684165
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.04,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520
1/4 oz $25 American Platinum Eagle .9995 Fine Platinum Coin BU - Random Year,235525669845,"Mar 23, 2026",$577.96,$0.00,,,Fixed price,https://www.ebay.com/itm/235525669845
1 oz American Platinum Eagle Coin $100 BU - Random Year,296527337466,"Apr 2, 2026","$2,225.70",$83.04,,,Fixed price,https://www.ebay.com/itm/296527337466
American Platinum Eagle 1 oz $100 - PCGS MS69 Random Date and Label,305852994259,"Mar 20, 2026","$2,221.52",$0.00,,,Fixed price,https://www.ebay.com/itm/305852994259
American Platinum Eagle Proof 1/10 oz $10 - Coin in OGP - Random Date,306366576342,"Mar 19, 2026",$271.60,$0.00,,,Fixed price,https://www.ebay.com/itm/306366576342
2003 $25 1/4 oz American Platinum Eagle NGC MS70,335675202218,"Apr 1, 2026",$747.44,$34.99,,,Fixed price,https://www.ebay.com/itm/335675202218
American Platinum Eagle 1/10 oz $10 - NGC MS70 Random Date and Label,376354442227,"Mar 26, 2026",$336.93,$0.00,,,Fixed price,https://www.ebay.com/itm/376354442227
2013-W $100 1-oz Proof American Platinum Eagle PCGS PR70DCAM FS Flag Label,389704599693,"Mar 31, 2026","$2,243.81",$0.00,,,Fixed price,https://www.ebay.com/itm/389704599693
"2018-W 1 oz Proof American Platinum Eagle Coin (Box, CoA)",397494523048,"Mar 24, 2026","$2,554.12",$0.00,,,Fixed price,https://www.ebay.com/itm/397494523048
American Platinum Eagle Proof 1 oz $100 - Coin in OGP - Random Date,405824493960,"Mar 26, 2026","$2,103.73",$0.00,,,Fixed price,https://www.ebay.com/itm/405824493960
Empty US Mint Capsule 1/4 oz - Fits Gold American Eagles Buffalo Platinum Coins,112285324284,"Mar 7, 2026",$4.97,$2.99,,,Fixed price,https://www.ebay.com/itm/112285324284
Empty US Mint Capsule 1/10 oz - Fits Gold American Eagles Buffalo Platinum Coins,112285332796,"Mar 21, 2026",$6.47,$4.49,,,Fixed price,https://www.ebay.com/itm/112285332796
US Mint Presentation Gift Display Case For 1 oz Platinum American Eagle Coin Box,113130660274,"Mar 13, 2026",$13.78,$0.00,,,Fixed price,https://www.ebay.com/itm/113130660274
2023-W 1 oz Proof American Platinum Eagle (w/Box & COA),115714510258,"Mar 18, 2026","$2,634.95",$49.99,,,Fixed price,https://www.ebay.com/itm/115714510258
1 oz American Platinum Eagle MS-70 PCGS (Random Year),116036910495,"Mar 21, 2026","$2,409.04",$0.00,,,Fixed price,https://www.ebay.com/itm/116036910495
2000 W 1/10 oz $10 PROOF Platinum Eagle PF70 NGC NICE LOW PRICE!!,117075078302,"Apr 2, 2026",$379.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117075078302
1997 W 1/10 oz $10 PROOF Platinum Eagle PF70 NGC NICE LOW PRICE!!,117075093749,"Apr 3, 2026",$465.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117075093749
2008 1/10 oz $10 US Platinum Eagle MS70 NGC NICE LOW PRICE!!,117088383713,"Mar 24, 2026",$345.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117088383713
2007 W $10 Proof Platinum Eagle 1/10 oz 🦅 Vault Box 10 NGC X PF70 Ultra Cameo,117093017936,"Mar 24, 2026",$225.00,$4.85,,,Fixed price,https://www.ebay.com/itm/117093017936
2014 Platinum Eagle 1 oz $100 First Strike PCGS MS70,117099952768,"Mar 26, 2026","$2,200.00",$0.00,,,Auction,https://www.ebay.com/itm/117099952768
Platinum Eagle $100 1 Troy Oz .9995 Fine Platinum Coin Random Date!!!,117115471042,"Apr 1, 2026","$2,185.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117115471042
"2023 1 oz American Platinum Eagle MS-70 PCGS (FDI, Hall)",126517224336,"Mar 29, 2026","$2,370.07",$0.00,,,Fixed price,https://www.ebay.com/itm/126517224336
2008-W $10 Burnished Tenth Ounce Platinum Eagle PCGS MS70,127725265979,"Apr 2, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127725265979
1 oz Platinum American Eagle Coin $100 (BU) - Random Date #A583,364708960744,"Apr 9, 2026","$2,221.18",$0.00,,,Fixed price,https://www.ebay.com/itm/364708960744,118
1 oz American Platinum Eagle Coin (Random Year),386516816695,"Apr 2, 2026","$2,259.48",$0.00,,,Fixed price,https://www.ebay.com/itm/386516816695,122
Platinum American Eagle 1 oz Eagle $100 Random .9995 Fine US Mint Coin,406110505976,"Apr 11, 2026","$2,379.33",$0.00,,,Fixed price,https://www.ebay.com/itm/406110505976,63
Ultra Breaks Chase Rush Silver Platinum or Palladium PCGS 1 Sealed Pack,205819111418,"Mar 11, 2026",$197.21,$0.00,,,Fixed price,https://www.ebay.com/itm/205819111418,72
American Platinum Eagle (1/10 oz) $10 - BU - Random Date,373487202565,"Mar 19, 2026",$290.21,$0.00,,,Fixed price,https://www.ebay.com/itm/373487202565,61
American Platinum Eagle Proof 1/10 oz $10 - Coin in Capsule - Random Date,306376516215,"Apr 10, 2026",$287.14,$0.00,,,Fixed price,https://www.ebay.com/itm/306376516215,59
American Platinum Eagle (1/4 oz) $25 - BU - Random Date,402660345800,"Jan 28, 2026",$482.76,$0.00,,,Fixed price,https://www.ebay.com/itm/402660345800,142
American Platinum Eagle Proof 1 oz $100 - Coin in Capsule - Random Date,405870414753,"Mar 20, 2026","$2,347.30",$0.00,,,Fixed price,https://www.ebay.com/itm/405870414753,40
1 oz gold Krugerrand / Platinum American Eagle Coin Capsules 33mm By Lighthouse,112844461484,"Apr 5, 2026",$9.67,$0.00,,,Fixed price,https://www.ebay.com/itm/112844461484,36
American Platinum Eagle Proof 1 oz $100 - Coin in OGP - Random Date,405824493960,"Mar 26, 2026","$2,615.20",$0.00,,,Fixed price,https://www.ebay.com/itm/405824493960,41
American Platinum Eagle Proof 1/2 oz $50 - Coin in Capsule - Random Date,306347372495,"Apr 11, 2026","$1,209.50",$0.00,,,Fixed price,https://www.ebay.com/itm/306347372495,32
American Platinum Eagle Proof 1/10 oz $10 - Coin in OGP - Random Date,306366576342,"Mar 19, 2026",$256.28,$0.00,,,Fixed price,https://www.ebay.com/itm/306366576342,26
1 oz $100 American Platinum Eagle .9995 Fine Coin - Random Year BU,235588568224,"Mar 29, 2026","$2,254.01",$89.13,,,Fixed price,https://www.ebay.com/itm/235588568224,48
American Platinum Eagle (1/2 oz) $50 - BU - Random Date,303860736274,"Apr 3, 2026","$1,208.39",$0.00,,,Fixed price,https://www.ebay.com/itm/303860736274,30
American Platinum Eagle 1 oz $100 - NGC MS70 Random Date and Label,305825730675,"Apr 8, 2026","$2,355.58",$0.00,,,Fixed price,https://www.ebay.com/itm/305825730675,22
American Platinum Eagle 1/4 oz $25 - NGC MS69 Random Date and Label,306064238784,"Mar 15, 2026",$620.28,$0.00,,,Fixed price,https://www.ebay.com/itm/306064238784,23
Random Year $100 1 oz .9995 Platinum American Eagle Uncirculated Coin BU,376171318208,"Jan 25, 2026","$2,561.25",$0.00,,,Fixed price,https://www.ebay.com/itm/376171318208,29
"2018-W 1 oz Proof American Platinum Eagle Coin (Box, CoA)",397494523048,"Mar 24, 2026","$2,354.02",$0.00,,,Fixed price,https://www.ebay.com/itm/397494523048,62
QTY 5 - 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPSULES,156254250848,"Apr 8, 2026",$17.08,$0.00,,,Fixed price,https://www.ebay.com/itm/156254250848,14
"1/2 oz American Platinum Eagle Coin (Random Year, BU)",388345447785,"Mar 13, 2026","$1,284.74",$0.00,,,Fixed price,https://www.ebay.com/itm/388345447785,14
United States Mint American Eagle 1/10 oz Platinum Coin - Random Year,127155347260,"Jan 22, 2026",$309.41,$0.00,,,Fixed price,https://www.ebay.com/itm/127155347260,36
12 Pack 22 mm Slab Coin Holders For US 1/4 Oz Gold Platinum American Eagle,405798170259,"Mar 17, 2026",$16.31,$24.87,,,Fixed price,https://www.ebay.com/itm/405798170259,14
1 oz American Platinum Eagle Coin $100 BU - Random Year,296527337466,"Apr 2, 2026","$2,095.16",$83.04,,,Fixed price,https://www.ebay.com/itm/296527337466,15
American Platinum Eagle (1 oz) $100 - BU - Random Date,304366546691,"Mar 17, 2026","$1,940.54",$0.00,,,Fixed price,https://www.ebay.com/itm/304366546691,24
American Platinum Eagle 1/2 oz $50 - NGC MS70 Random Date and Label,306373099549,"Apr 1, 2026","$1,226.79",$0.00,,,Fixed price,https://www.ebay.com/itm/306373099549,12
American Platinum Eagle 1/2 oz $50 - NGC MS69 Random Date and Label,405300272515,"Apr 7, 2026","$1,200.19",$0.00,,,Fixed price,https://www.ebay.com/itm/405300272515,15
American Platinum Eagle 1/4 oz $25 - PCGS MS69 Random Date and Label,375988322862,"Mar 29, 2026",$598.12,$0.00,,,Fixed price,https://www.ebay.com/itm/375988322862,15
Random Year $25 1/4-oz American Platinum Eagle BU,389391262320,"Apr 5, 2026",$658.41,$33.96,,,Fixed price,https://www.ebay.com/itm/389391262320,14
American Platinum Eagle Proof 1/4 oz $25 - Coin in OGP - Random Date,405824493987,"Nov 15, 2025",$500.01,$0.00,,,Fixed price,https://www.ebay.com/itm/405824493987,10
,,"Jan 7, 2026","$2,395.00",$0.00,,,Fixed price,,10
1/10 oz $10 American Platinum Eagle .9995 Fine Coin - Random Year BU,335323053256,"Jan 29, 2026",$316.24,$0.00,,,Fixed price,https://www.ebay.com/itm/335323053256,15
American Platinum Eagle Proof 1/4 oz $25 - Coin in Capsule - Random Date,376330629396,"Apr 13, 2026",$638.21,$0.00,,,Fixed price,https://www.ebay.com/itm/376330629396,12
American Platinum Eagle 1/4 oz $25 - NGC MS70 Random Date and Label,305898797995,"Mar 15, 2026",$646.31,$0.00,,,Fixed price,https://www.ebay.com/itm/305898797995,12
1/2 oz $50 American Platinum Eagle .9995 Fine Coin - Random Year BU,335358530444,"Apr 9, 2026","$1,087.43",$55.80,,,Fixed price,https://www.ebay.com/itm/335358530444,10
American Platinum Eagle 1 oz $100 - PCGS MS70 Random Date and Label,405293275705,"Jan 29, 2026","$2,526.60",$0.00,,,Fixed price,https://www.ebay.com/itm/405293275705,9
"1 oz American Platinum Eagle Coin BU (Random Year, 1997-2023)",126174665313,"Apr 2, 2026","$2,549.62",$85.99,,,Fixed price,https://www.ebay.com/itm/126174665313,10
,,"Dec 7, 2025","$1,860.00",$0.00,,,Fixed price,,9
1 oz American Platinum Eagle Coin NGC MS70 (Random Year),157347148732,"Feb 21, 2026","$2,642.23",$0.00,,,Fixed price,https://www.ebay.com/itm/157347148732,10
1/4 oz $25 American Platinum Eagle .9995 Fine Platinum Coin BU - Random Year,235525669845,"Mar 23, 2026",$584.37,$0.00,,,Fixed price,https://www.ebay.com/itm/235525669845,7
,,"Dec 12, 2025","$1,850.00",$0.00,,,Fixed price,,9
1/4 oz American Platinum Eagle Coin BU (Random Year),124670031959,"Mar 17, 2026",$654.12,$0.00,,,Fixed price,https://www.ebay.com/itm/124670031959,17
United States Mint American Eagle 1/2 oz Platinum Coin - Random Year,127153612681,"Feb 18, 2026","$1,232.20",$57.33,,,Fixed price,https://www.ebay.com/itm/127153612681,5
1 oz gold / Platinum American Eagles Coin Capsules 33mm Holders 10 Lighthouse,127219858591,"Jan 16, 2026",$9.63,$0.00,,,Fixed price,https://www.ebay.com/itm/127219858591,5
2025-W 1 oz Reverse Proof American Palladium Eagle (w/Box & COA),146862686327,"Mar 18, 2026","$3,086.29",$0.00,,,Fixed price,https://www.ebay.com/itm/146862686327,5
10 - 1/10 Oz US Mint $5 Gold/$10 Platinum American Eagle Proof Coin Capsules OGP,236343611910,"Feb 3, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/236343611910,5
BULLION PLUS EVOLVED SERIES 1 SEALED PACK SILVER GOLD PLATINUM PALLADIUM EAGLE ?,236420724371,"Nov 28, 2025",$466.83,$0.00,,,Fixed price,https://www.ebay.com/itm/236420724371,6
2025 American Eagle Black Platinum & Gold Edition 1 oz Silver Coin Box & COA,297987899609,"Mar 6, 2026",$177.60,$0.00,,,Fixed price,https://www.ebay.com/itm/297987899609,5
2025 American Eagle Diamond Dust & Black Platinum Edition 1 oz Silver Coin,297987924138,"Feb 8, 2026",$183.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297987924138,5
American Platinum Eagle 1 oz $100 - PCGS MS69 Random Date and Label,305852994259,"Mar 20, 2026","$2,067.61",$0.00,,,Fixed price,https://www.ebay.com/itm/305852994259,5
American Platinum Eagle Proof 1/2 oz $50 - Coin in OGP - Random Date,306278711632,"Jan 21, 2026","$1,301.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306278711632,7
