Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Item ID 296011074646,296011074646,"Apr 5, 2026","$4,855.71",$0.00,,,Fixed price,https://www.ebay.com/itm/296011074646
1/10 oz American Gold Eagle $5 Coin (Random Year),176038891530,"Apr 6, 2026",$528.61,$0.00,,,Fixed price,https://www.ebay.com/itm/176038891530
American Gold Eagle (1 oz) $50 - BU - Random Date,301567319583,"Apr 6, 2026","$5,097.70",$0.00,,,Fixed price,https://www.ebay.com/itm/301567319583
1 oz American Gold Eagle $50 Coin (Random Year),386271138121,"Apr 6, 2026","$4,935.72",$0.00,,,Fixed price,https://www.ebay.com/itm/386271138121
1 oz American Gold Eagle $50 Coin BU - Random Year,141504369404,"Apr 6, 2026","$4,870.74",$0.00,,,Fixed price,https://www.ebay.com/itm/141504369404
2026 1/10 oz American Gold Eagle Coin $5 (BU),177682411371,"Apr 3, 2026",$605.47,$0.00,,,Fixed price,https://www.ebay.com/itm/177682411371
1/10 oz American Gold Eagle Coin $5 BU - Random Year,297325569120,"Apr 6, 2026",$535.25,$0.00,,,Fixed price,https://www.ebay.com/itm/297325569120
American Gold Eagle Proof 1/2 oz $25 - Coin in Capsule - Random Date,305705374463,"Apr 4, 2026","$2,477.08",$0.00,,,Fixed price,https://www.ebay.com/itm/305705374463
1/10 oz American Gold Eagle Coin BU (Random Year),126124829455,"Apr 6, 2026",$556.60,$49.99,,,Fixed price,https://www.ebay.com/itm/126124829455
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Mar 31, 2026","$1,286.62",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428
$50 American Gold Eagle 1 oz Random Year Brilliant Uncirculated,317033453637,"Apr 3, 2026","$4,826.56",$0.00,,,Fixed price,https://www.ebay.com/itm/317033453637
2026 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle .9167 Fine Coin,206001843668,"Apr 5, 2026",$539.70,$0.00,,,Fixed price,https://www.ebay.com/itm/206001843668
"2026 W 250th Anniversary Proof Silver Eagle NGC PF 70 UC, FDOI Gold 250 Presale",317967704365,"Apr 2, 2026",$339.78,$0.00,,,Fixed price,https://www.ebay.com/itm/317967704365
"2026 W 250th Anniversary Proof Silver Eagle NGC PF 69 UC, FR Gold 250 Presale",318039814056,"Apr 6, 2026",$195.04,$0.00,,,Fixed price,https://www.ebay.com/itm/318039814056
1/2 oz American Gold Eagle $25 Coin (Random Year),395094778663,"Apr 3, 2026","$2,615.56",$0.00,,,Fixed price,https://www.ebay.com/itm/395094778663
American Gold Eagle Proof 1/10 oz $5 - Coin in Capsule - Random Date,305690894883,"Mar 30, 2026",$530.80,$0.00,,,Fixed price,https://www.ebay.com/itm/305690894883
American Gold Eagle Proof 1/10 oz $5 - Coin in OGP - Random Date,405824564097,"Mar 30, 2026",$516.31,$0.00,,,Fixed price,https://www.ebay.com/itm/405824564097
2026 American Gold Eagle 1/10 oz $5 - BU,406597727963,"Apr 4, 2026",$570.58,$0.00,,,Fixed price,https://www.ebay.com/itm/406597727963
1/4 oz American Gold Eagle Coin BU (Random Year),146670377002,"Apr 2, 2026","$1,287.71",$0.00,,,Fixed price,https://www.ebay.com/itm/146670377002
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 2, 2026","$1,303.74",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126
Random Date 1986-2026 $5 American Gold Eagle - 1/10 Oz Gold US Mint BU,134554630342,"Apr 5, 2026",$555.28,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342
2026 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,205844257928,"Apr 5, 2026",$544.74,$0.00,,,Fixed price,https://www.ebay.com/itm/205844257928
1/2 oz American Gold Eagle Coin BU - Random Year - $25 US Gold,297174346398,"Apr 2, 2026","$2,539.26",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346398
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 1, 2026","$1,340.59",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508
$5 American Gold Eagle 1/10 oz Random Year Brilliant Uncirculated,317033453861,"Apr 1, 2026",$524.25,$0.00,,,Fixed price,https://www.ebay.com/itm/317033453861
"2026 W 250th Anniversary Proof Silver Eagle NGC PF 70 UC, FR Gold 250 Presale",317967717604,"Apr 3, 2026",$329.79,$0.00,,,Fixed price,https://www.ebay.com/itm/317967717604
1/2 oz American Gold Eagle Coin BU (Random Year),116740742791,"Apr 4, 2026","$2,562.79",$0.00,,,Fixed price,https://www.ebay.com/itm/116740742791
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,331.89",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 6, 2026","$1,301.69",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115
1 oz American Gold Eagle $50 Coin (Random Year),394325781264,"Apr 3, 2026","$4,993.98",$0.00,,,Fixed price,https://www.ebay.com/itm/394325781264
2026 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,205844257922,"Apr 2, 2026","$2,516.50",$0.00,,,Fixed price,https://www.ebay.com/itm/205844257922
American Gold Eagle Coin Proof 1/2 oz $25 - PCGS PR70 Random Date and Label,306379814263,"Mar 26, 2026","$2,502.62",$0.00,,,Fixed price,https://www.ebay.com/itm/306379814263
2026 1/4 oz American Gold Eagle Coin BU,127621919942,"Apr 6, 2026","$1,358.75",$0.00,,,Fixed price,https://www.ebay.com/itm/127621919942
2026 W Silver Eagle Liberty Bell 250 Privy FDI PF70 John Hancock (1776-2026),257398241204,"Mar 20, 2026",$370.69,$0.00,,,Fixed price,https://www.ebay.com/itm/257398241204
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,284.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439
1/10 oz American Gold Eagle Coin Random Year (BU) $5 Gold Coin #A618,145664097350,"Apr 1, 2026",$553.72,$0.00,,,Fixed price,https://www.ebay.com/itm/145664097350
American Gold Eagle (1/2 oz) $25 - BU - Random Date,302304568623,"Apr 3, 2026","$2,512.75",$0.00,,,Fixed price,https://www.ebay.com/itm/302304568623
American Gold Eagle Coin Proof 1/2 oz $25 - NGC PF70 Random Date and Label,306302894508,"Apr 2, 2026","$2,505.08",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894508
American Gold Eagle Proof 1 oz $50 - Coin in OGP - Random Date,376211961356,"Apr 4, 2026","$4,804.09",$0.00,,,Fixed price,https://www.ebay.com/itm/376211961356
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,339.28",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823
2026 W Gold American Eagle One-Tenth Ounce PCGS PR70DCAM FDI W/OGP #255,137107581250,"Apr 3, 2026",$937.30,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581250
Random Year $5 1/10 oz Proof American Gold Eagle in Capsule Coin,297127088468,"Apr 3, 2026",$517.81,$0.00,,,Fixed price,https://www.ebay.com/itm/297127088468
American Gold Eagle Coin Proof 1 oz $50 - NGC PF70 Random Date and Label,306302894434,"Mar 31, 2026","$4,815.30",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894434
American Gold Eagle Proof 1 oz $50 - Coin in Capsule - Random Date,375568496381,"Mar 31, 2026","$4,978.64",$0.00,,,Fixed price,https://www.ebay.com/itm/375568496381
2026 American Gold Eagle 1 oz $50 - BU,376864788980,"Apr 6, 2026","$5,063.83",$0.00,,,Fixed price,https://www.ebay.com/itm/376864788980
1/100 oz Gold Round: American Bald Eagle - MPM,127041037284,"Mar 20, 2026",$75.62,$0.00,,,Fixed price,https://www.ebay.com/itm/127041037284
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 4, 2026","$1,278.85",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806
2026 W $5 Gold American Eagle 1/10 oz Proof Coin NGC PF70 First Day of Issue,147224864229,"Apr 5, 2026",$944.26,$0.00,,,Fixed price,https://www.ebay.com/itm/147224864229
1776-2026 W Proof $5 American Gold Eagle 1/10 oz NGC PF70UC First Day Bell,168170151305,"Apr 3, 2026","$1,168.48",$0.00,,,Fixed price,https://www.ebay.com/itm/168170151305
2026 W Silver Eagle Liberty Bell 250 Privy FDI PF70 NGC Harrigal (1776–2026),257323059963,"Apr 4, 2026",$379.87,$0.00,,,Fixed price,https://www.ebay.com/itm/257323059963
Item ID 296011074646,296011074646,"Apr 12, 2026","$4,796.17",$0.00,,,Fixed price,https://www.ebay.com/itm/296011074646,"1,071"
1/10 oz American Gold Eagle $5 Coin (Random Year),176038891530,"Apr 12, 2026",$507.04,$0.00,,,Fixed price,https://www.ebay.com/itm/176038891530,"1,023"
1 oz American Gold Eagle $50 Coin (Random Year),386271138121,"Apr 12, 2026","$4,778.56",$0.00,,,Fixed price,https://www.ebay.com/itm/386271138121,840
1/10 oz American Gold Eagle Coin $5 BU - Random Year,297325569120,"Apr 12, 2026",$521.87,$0.00,,,Fixed price,https://www.ebay.com/itm/297325569120,925
American Gold Eagle (1 oz) $50 - BU - Random Date,301567319583,"Apr 11, 2026","$4,755.25",$0.00,,,Fixed price,https://www.ebay.com/itm/301567319583,711
1/10 oz American Gold Eagle Coin BU (Random Year),126124829455,"Apr 12, 2026",$538.86,$50.09,,,Fixed price,https://www.ebay.com/itm/126124829455,556
American Gold Eagle Proof 1/2 oz $25 - Coin in Capsule - Random Date,305705374463,"Apr 11, 2026","$2,346.97",$0.00,,,Fixed price,https://www.ebay.com/itm/305705374463,378
1 oz American Gold Eagle $50 Coin BU - Random Year,141504369404,"Apr 12, 2026","$4,758.42",$49.99,,,Fixed price,https://www.ebay.com/itm/141504369404,401
2026 American Gold Eagle 1/10 oz $5 - BU,406597727963,"Apr 12, 2026",$582.45,$0.00,,,Fixed price,https://www.ebay.com/itm/406597727963,463
1/2 oz American Gold Eagle Coin BU - Random Year - $25 US Gold,297174346398,"Apr 11, 2026","$2,322.05",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346398,310
American Gold Eagle (1/10 oz) $5 - BU - Random Date,371881303372,"Apr 12, 2026",$486.90,$0.00,,,Fixed price,https://www.ebay.com/itm/371881303372,490
2026 1/10 oz American Gold Eagle Coin $5 (BU),177682411371,"Apr 7, 2026",$592.91,$0.00,,,Fixed price,https://www.ebay.com/itm/177682411371,263
American Gold Eagle (1/2 oz) $25 - BU - Random Date,302304568623,"Apr 10, 2026","$2,319.93",$0.00,,,Fixed price,https://www.ebay.com/itm/302304568623,273
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Apr 7, 2026","$1,221.65",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428,305
1/2 oz American Gold Eagle $25 Coin (Random Year),395094778663,"Apr 10, 2026","$2,518.27",$0.00,,,Fixed price,https://www.ebay.com/itm/395094778663,233
American Gold Eagle (1/4 oz) $10 - BU - Random Date,302367181138,"Apr 11, 2026","$1,153.86",$0.00,,,Fixed price,https://www.ebay.com/itm/302367181138,309
American Gold Eagle Proof 1/10 oz $5 - Coin in Capsule - Random Date,305690894883,"Apr 10, 2026",$498.45,$0.00,,,Fixed price,https://www.ebay.com/itm/305690894883,292
2026 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,205844257928,"Apr 9, 2026",$562.34,$0.00,,,Fixed price,https://www.ebay.com/itm/205844257928,202
2025 1/10 oz American Gold Eagle $5 Coin (BU),387696206557,"Jan 17, 2026",$488.99,$0.00,,,Fixed price,https://www.ebay.com/itm/387696206557,201
1/4 oz American Gold Eagle Coin BU (Random Year),146670377002,"Apr 11, 2026","$1,254.68",$0.00,,,Fixed price,https://www.ebay.com/itm/146670377002,186
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 12, 2026","$1,219.34",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115,223
1 LB Troy Ounce/OZ 999 Pure American Metal Walking Liberty Eagle BAR Gold Copper,187998559255,"Feb 4, 2026",$45.68,$0.00,,,Fixed price,https://www.ebay.com/itm/187998559255,451
1/10 oz American Gold Eagle Coin Random Year (BU) $5 Gold Coin #A618,145664097350,"Apr 7, 2026",$560.26,$0.00,,,Fixed price,https://www.ebay.com/itm/145664097350,282
$50 American Gold Eagle 1 oz Random Year Brilliant Uncirculated,317033453637,"Apr 10, 2026","$5,002.48",$0.00,,,Fixed price,https://www.ebay.com/itm/317033453637,196
2026 W Silver Eagle Liberty Bell 250 Privy FDI PF70 John Hancock (1776-2026),257322933107,"Mar 4, 2026",$381.14,$0.00,,,Fixed price,https://www.ebay.com/itm/257322933107,153
American Gold Eagle Proof 1/10 oz $5 - Coin in OGP - Random Date,405824564097,"Apr 8, 2026",$497.07,$0.00,,,Fixed price,https://www.ebay.com/itm/405824564097,189
1/2 oz American Gold Eagle Coin BU (Random Year),116740742791,"Apr 11, 2026","$2,389.19",$49.99,,,Fixed price,https://www.ebay.com/itm/116740742791,132
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,387.36",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706,183
American Gold Eagle Proof 1 oz $50 - Coin in Capsule - Random Date,375568496381,"Apr 7, 2026","$4,932.22",$0.00,,,Fixed price,https://www.ebay.com/itm/375568496381,166
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 8, 2026","$1,327.46",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126,148
$5 American Gold Eagle 1/10 oz Random Year Brilliant Uncirculated,317033453861,"Apr 10, 2026",$551.60,$0.00,,,Fixed price,https://www.ebay.com/itm/317033453861,156
American Gold Eagle Coin Proof 1/2 oz $25 - NGC PF70 Random Date and Label,306302894508,"Apr 2, 2026","$2,412.18",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894508,124
2026 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle .9167 Fine Coin,206001843668,"Apr 11, 2026",$560.53,$0.00,,,Fixed price,https://www.ebay.com/itm/206001843668,117
Random Date 1986-2026 $5 American Gold Eagle - 1/10 Oz Gold US Mint BU,134554630342,"Apr 12, 2026",$535.09,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342,147
2025 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,316004995981,"Apr 11, 2026",$495.97,$0.00,,,Fixed price,https://www.ebay.com/itm/316004995981,127
1 oz American Gold Eagle $50 Coin (Random Year),394325781264,"Apr 8, 2026","$4,853.05",$0.00,,,Fixed price,https://www.ebay.com/itm/394325781264,128
24k Pure Gold American Eagle Flag Coin 🔥 .9999 Fine Gold Bullion Round,357775016768,"Apr 12, 2026",$106.78,$31.53,,,Fixed price,https://www.ebay.com/itm/357775016768,135
2025 American Gold Eagle 1/10 oz $5 - BU,375924560408,"Jan 1, 2026",$489.20,$0.00,,,Fixed price,https://www.ebay.com/itm/375924560408,122
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,371.47",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823,79
1 Genuine 1 oz Gold $50 American Eagle Coin Tube (Slightly Used) Holds 20 Coins,125557648568,"Apr 8, 2026",$7.97,$9.25,,,Fixed price,https://www.ebay.com/itm/125557648568,86
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated Random Year,177225469357,"Apr 12, 2026","$1,193.12",$0.00,,,Fixed price,https://www.ebay.com/itm/177225469357,82
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,236.36",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439,72
2025 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle BU Coin,401478525905,"Jan 22, 2026",$488.47,$7.50,,,Fixed price,https://www.ebay.com/itm/401478525905,81
American Gold Eagle (AGE) 1/10 oz Gold Coin (Random Year),126436287777,"Mar 10, 2026",$516.13,$0.00,,,Fixed price,https://www.ebay.com/itm/126436287777,76
2026 American Gold Eagle 1/2 oz $25 - BU,376864531073,"Apr 9, 2026","$2,764.72",$0.00,,,Fixed price,https://www.ebay.com/itm/376864531073,59
2025 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,316004995776,"Jan 29, 2026","$1,232.69",$0.00,,,Fixed price,https://www.ebay.com/itm/316004995776,67
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 8, 2026","$1,365.28",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351,70
$25 American Gold Eagle 1/2 oz Random Year Brilliant Uncirculated,317048782175,"Apr 11, 2026","$2,639.38",$0.00,,,Fixed price,https://www.ebay.com/itm/317048782175,60
American Gold Eagle 1/2 oz $25 - NGC MS69 Random Date and Label,305477955494,"Apr 5, 2026","$2,625.46",$0.00,,,Fixed price,https://www.ebay.com/itm/305477955494,55
