Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,107572098234,2/7/2026,$178.53,Free,Uncirculated,jmbullion,Auction,https://www.ebay.com/itm/107572098234
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,256030891705,2/10/2026,$206.63,Free,Uncirculated,greatcollections,Best Offer,https://www.ebay.com/itm/256030891705
2001 Perth Mint Lunar Snake 1 oz .999 Silver,134123752842,1/19/2026,$188.22,Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/134123752842
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,335098115480,12/20/2025,$165.45,Free,Uncirculated,sdbullion,Auction,https://www.ebay.com/itm/335098115480
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,113149871650,12/19/2025,$206.07,$4.99,Uncirculated,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/113149871650
2001 Australia Lunar I Snake 1 oz Silver NGC MS-69,163649787940,12/16/2025,$193.00,Free,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/163649787940
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,260436656472,12/11/2025,$201.28,Free,Uncirculated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/260436656472
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,390763652529,1/3/2026,$151.27,$3.99,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/390763652529
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,382394334178,1/25/2026,$196.37,Free,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/382394334178
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,340939531411,1/5/2026,$157.75,$4.99,Uncirculated,govmint_official,Auction,https://www.ebay.com/itm/340939531411
2001 Perth Mint Lunar Snake 1 oz .999 Silver,225488321974,2/15/2026,$195.36,Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/225488321974
2001 Australia Lunar I Snake 1 oz Silver NGC MS-69,221942463834,1/7/2026,$189.47,Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/221942463834
2001 Perth Mint Lunar Snake 1 oz .999 Silver,192739758658,1/31/2026,$173.11,Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/192739758658
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,202647490273,12/9/2025,$187.27,Free,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/202647490273
2001 Australian Lunar Snake Silver PCGS MS-70,104099407328,1/12/2026,$391.21,$5.99,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/104099407328
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,192281942486,2/9/2026,$159.04,Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/192281942486
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,374301969837,1/6/2026,$167.77,Free,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/374301969837
2001 Australia Lunar Series I Year of the Snake 1 oz Silver BU,101688258405,1/31/2026,$190.73,Free,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/101688258405
