Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2012 Australia Lunar II Dragon 1/10 oz Gold BU,127832587802,1/21/2026,$620.46,$5.99,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/127832587802
2012 Lunar II Dragon 1/10 oz Gold NGC MS-69,390159829561,12/28/2025,$658.29,$3.99,Certified,apmex,Auction,https://www.ebay.com/itm/390159829561
2012 Australia Lunar II Dragon 1/10 oz Gold BU,211730865196,2/21/2026,$599.32,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/211730865196
2012 Australia Lunar II Dragon 1/10 oz Gold BU,245851865240,1/21/2026,$641.11,Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/245851865240
2012 Lunar II Dragon 1/10 oz Gold NGC MS-69,354757638382,1/4/2026,$669.43,Free,Certified,goldhillcoins,Auction,https://www.ebay.com/itm/354757638382
2012 Australia Lunar II Dragon 1/10 oz Gold BU,207760834543,12/22/2025,$636.17,Free,Uncirculated,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/207760834543
2012 Australia Lunar II Dragon 1/10 oz Gold BU,189872487082,12/26/2025,$638.32,Free,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/189872487082
2012 Lunar II Dragon 1/10 oz Gold NGC MS-70,383686407726,1/31/2026,$876.89,Free,Certified,govmint_official,Best Offer,https://www.ebay.com/itm/383686407726
2012 Lunar II Dragon 1/10 oz Gold NGC MS-69,272421655748,1/29/2026,$628.84,$4.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/272421655748
2012 Australia Lunar II Dragon 1/10 oz Gold BU,134245486674,2/26/2026,$634.88,$5.99,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/134245486674
2012 Lunar II Dragon 1/10 oz Gold NGC MS-70,353282883726,12/28/2025,$770.65,$4.99,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/353282883726
2012 Australia Lunar II Dragon 1/10 oz Gold BU,109677871482,2/14/2026,$590.48,Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/109677871482
2012 Australia Lunar II Dragon 1/10 oz Gold BU,337321027876,2/13/2026,$589.56,Free,Uncirculated,davidlawrence,Best Offer,https://www.ebay.com/itm/337321027876
2012 Lunar II Dragon 1/10 oz Gold NGC MS-70,346596429212,1/8/2026,$908.33,$3.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/346596429212
