Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2024 Royal Mint Lunar Dragon 1 oz Gold PCGS MS-69,168846464742,2/17/2026,"$3,242.24",Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/168846464742
2024 Great Britain Lunar Dragon 1 oz Gold BU,382552279459,11/24/2025,"$3,149.17",Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/382552279459
2024 Great Britain Lunar Dragon 1 oz Gold BU,317694986278,2/14/2026,"$2,901.53",$5.99,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/317694986278
2024 Royal Mint Lunar Dragon 1 oz Gold NGC MS-69,204098149642,2/10/2026,"$3,389.63",Free,Certified,davidlawrence,Best Offer,https://www.ebay.com/itm/204098149642
2024 Great Britain Lunar Dragon 1 oz Gold BU,283264552110,11/27/2025,"$2,879.01",Free,Uncirculated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/283264552110
2024 Great Britain Lunar Dragon 1 oz Gold BU,254231178456,1/15/2026,"$3,155.88",Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/254231178456
2024 Great Britain Lunar Dragon 1 oz Gold BU,139357519332,2/11/2026,"$3,131.63",Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/139357519332
2024 Royal Mint Lunar Dragon 1 oz Gold PCGS MS-69,173910912431,2/11/2026,"$3,088.56",Free,Certified,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/173910912431
2024 Great Britain Lunar Dragon 1 oz Gold BU,216266996504,1/21/2026,"$2,952.43",Free,Uncirculated,bullionshark,Best Offer,https://www.ebay.com/itm/216266996504
2024 Great Britain Lunar Dragon 1 oz Gold BU,263805345646,1/18/2026,"$3,154.80",$3.99,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/263805345646
2024 Great Britain Lunar Dragon 1 oz Gold BU,375527713348,1/9/2026,"$2,917.35",Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/375527713348
2024 Royal Mint Lunar Dragon 1 oz Gold PCGS MS-69,298236204126,1/31/2026,"$3,375.43",Free,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/298236204126
2024 Royal Mint Lunar Dragon 1 oz Gold NGC MS-69,359483930430,1/21/2026,"$3,319.38",Free,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/359483930430
2024 Great Britain Lunar Dragon 1 oz Gold BU,278489530541,1/31/2026,"$3,158.43",Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/278489530541
2024 Royal Mint Lunar Dragon 1 oz Gold NGC MS-69,204160670802,1/17/2026,"$3,359.06",Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/204160670802
2024 Royal Mint Lunar Dragon 1 oz Gold PCGS MS-69,135304765329,11/29/2025,"$3,206.84",Free,Certified,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/135304765329
2024 Royal Mint Lunar Dragon 1 oz Gold NGC MS-69,140610147361,12/31/2025,"$3,360.59",Free,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/140610147361
2024 Great Britain Lunar Dragon 1 oz Gold BU,255761186622,12/7/2025,"$2,908.77",Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/255761186622
