Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2013 Lunar Year of the Snake - APMEX - 1/2 oz .999 Silver Round,376991365960,"Mar 13, 2026",$51.46,$0.00,,,Fixed price,https://www.ebay.com/itm/376991365960
2013 Australia Year of the Snake 1 oz Silver Coin 999 Lunar Series II BU,198226428802,"Apr 2, 2026",$85.65,$2.65,,,Fixed price,https://www.ebay.com/itm/198226428802
1 Oz .999 Fine Silver Bar Rand Refinery 2013 Lunar Snake Design Collectible,127746190585,"Mar 22, 2026",$88.92,$0.00,,,Auction,https://www.ebay.com/itm/127746190585
"2013 Canadian 1 oz .9999 Fine Silver 5 Dollars ""Maple Leaf Lunar Snake Privy"" BU",134484265011,"Apr 3, 2026",$138.88,$4.95,,,Fixed price,https://www.ebay.com/itm/134484265011
( Two ) 2013 Australia Year of the Snake 1/2 oz .999 Silver Coins,137108965620,"Mar 18, 2026",$118.00,$0.00,,,Auction,https://www.ebay.com/itm/137108965620
"Australia, 2013 P $1 Silver Lunar Snake High Relief - NGC Graded PF70 UCAM !!",137145879261,"Mar 21, 2026",$149.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137145879261
2013 Australia Year of the Snake Colorized 1 Oz Silver Coin,137146315907,"Mar 28, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/137146315907
2013 Canada 1 oz Silver Maple Leaf Lunar Snake Privy,144767254311,"Mar 20, 2026",$102.44,$0.00,,,Fixed price,https://www.ebay.com/itm/144767254311
2013 Niue Lunar Year of the Snake Coral 1/2 oz Colorized Proof Silver Coin,156271552742,"Mar 18, 2026",$79.00,$5.52,,,Fixed price,https://www.ebay.com/itm/156271552742
2013 Canada $5 1oz Lunar Snake Privy Mark Silver Maple Leaf Bullion coin,168131445738,"Mar 14, 2026",$109.95,$2.00,,,Fixed price,https://www.ebay.com/itm/168131445738
2013 1 oz Lunar Snake Privy British Silver Britannia Coin,177647686009,"Mar 16, 2026",$92.64,$0.00,,,Fixed price,https://www.ebay.com/itm/177647686009
(2) 2012/2013 Australia 1/2 oz Lunar Year of the Dragon & Year Of The Snake,178007930981,"Apr 3, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178007930981
2013 Year SNAKE Australia PROOF 50¢ Perth Lunar 1/2 Oz Silver Color in FULL OGP,181018238402,"Mar 25, 2026",$76.51,$0.00,,,Fixed price,https://www.ebay.com/itm/181018238402
2013 1 oz Lunar Snake Privy British .999 Silver Britannia Coin,188114751435,"Mar 12, 2026",$91.50,$5.50,,,Auction,https://www.ebay.com/itm/188114751435
2013 Australia $1 Year of the Snake Colorized 1 Oz .999 Fine Silver Coin,188119356975,"Mar 8, 2026",$100.00,$9.45,,,Fixed price,https://www.ebay.com/itm/188119356975
Australia 1 dollar 1 Oz Year of the Snake Lunar Series II high relief coin 2013,204248393634,"Mar 8, 2026",$199.26,$10.00,,,Fixed price,https://www.ebay.com/itm/204248393634
2013 P Australia Silver Lunar Series II Year of the Snake 1/2 oz BU Sealed,206151995764,"Mar 26, 2026",$57.00,$4.50,,,Auction,https://www.ebay.com/itm/206151995764
2013 PAMP Suisse Lunar Series Year of SNAKE 1 oz .999 Fine Silver in Assay,206162555887,"Mar 30, 2026",$145.50,$5.52,,,Auction,https://www.ebay.com/itm/206162555887
2013 P Australia Silver Lunar Series II Year of the Snake 1/2 oz BU Sealed,206164905556,"Mar 31, 2026",$41.01,$2.68,,,Auction,https://www.ebay.com/itm/206164905556
2013 PAMP Suisse Lunar Series Year of SNAKE 1 oz .999 Fine Silver in Assay,227273452733,"Apr 1, 2026",$162.50,$1.90,,,Auction,https://www.ebay.com/itm/227273452733
Silver! 2013 P Perth Mint ANACS MS70 DCAM Lunar II Snake First Day of Issue,236686224178,"Mar 21, 2026",$103.50,$23.05,,,Auction,https://www.ebay.com/itm/236686224178
2013 P Australia Silver Lunar year SNAKE COLORIZED YELLOW NGC PF 70 ER 1 oz Coin,251427688458,"Mar 29, 2026",$188.76,$96.00,,,Fixed price,https://www.ebay.com/itm/251427688458
2013 P Australia Silver Lunar year SNAKE GREEN Berlin Fair NGC MS 70 1 oz Coin R,251427734754,"Mar 14, 2026",$276.52,$23.05,,,Fixed price,https://www.ebay.com/itm/251427734754
2013 Lunar Year of the Snake 1/2 oz .999 Silver Coin Perth Australia Series II,257422836746,"Mar 30, 2026",$50.00,$5.20,,,Fixed price,https://www.ebay.com/itm/257422836746
2013 PAMP Suisse 1 Oz Silver Lunar Year Snake Silver Bar In Assay,257430895615,"Apr 4, 2026",$144.50,$6.00,,,Auction,https://www.ebay.com/itm/257430895615
1/2 OZ SILVER PROOF COIN NIUE LUNAR YEAR OF THE SNAKE HARLEQUIN CORALW/COA,277221392517,"Mar 30, 2026",$50.00,$9.45,,,Fixed price,https://www.ebay.com/itm/277221392517
2013 Australia Silver 1 Oz $ 1 Yr Of The Snake Coin Colorized .999,277809216443,"Mar 16, 2026",$100.00,$3.00,,,Auction,https://www.ebay.com/itm/277809216443
2013 Australia Chinese Lunar Year Snake Colored 1/2oz Silver Proof Coin w/OGP,285776068992,"Mar 11, 2026",$75.00,$5.62,,,Fixed price,https://www.ebay.com/itm/285776068992
1/2 OZ SILVER PROOF COIN NIUE LUNAR YEAR OF THE SNAKE HARLEQUIN CORALW/COA,286588272341,"Mar 26, 2026",$120.00,$5.62,,,Fixed price,https://www.ebay.com/itm/286588272341
Pamp Suisse 1 oz Silver Bar 2013 Lunar Snake,306827895028,"Mar 20, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306827895028
2013 P Australia Snake 1 oz Silver NGC MS70 First 1000 Struck,306841420343,"Mar 31, 2026",$124.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306841420343
2013 1/2 oz .999 Fine Silver BU Perth Lunar Year of the Snake W/ Capsule,317909471367,"Mar 29, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/317909471367
2013 Year of the Snake 1/2 oz .999 Silver Coin - Colorized - Proof w/ Packaging,318043818409,"Mar 25, 2026",$53.00,$10.00,,,Auction,https://www.ebay.com/itm/318043818409
Proof 2013 Australia Year Of The Snake 1 OZ Silver Perth Mint,327049300446,"Mar 20, 2026",$105.50,$5.52,,,Auction,https://www.ebay.com/itm/327049300446
PAMP Suisse 2013 Lunar Snake 1 oz Silver Bar with Assay Card Year of the Snake,366316480531,"Apr 1, 2026",$145.00,$6.75,,,Fixed price,https://www.ebay.com/itm/366316480531
2013-P Australia PCGS 1 oz Silver Year of the Snake UNC MS70 First Strike,389708343404,"Mar 22, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389708343404
2013 P AUSTRALIA Lunar YEAR of SNAKE 1 oz pure Silver Coin NGC MS70 red label,397700859772,"Mar 18, 2026",$96.00,$5.27,,,Auction,https://www.ebay.com/itm/397700859772
2013 - Lunar Year of the Snake Niue $2 coin w/ Egg & Box 1/2 0z. 999 Silver Coin,406329900757,"Mar 20, 2026",$89.99,$10.15,,,Fixed price,https://www.ebay.com/itm/406329900757
Year of The Snake 50 Cents - 1/2 OZ - 999 Silver - Coin Capsule - 2013 Australia,334892845419,"Feb 19, 2026",$51.55,$0.00,,,Fixed price,https://www.ebay.com/itm/334892845419,56
2013 Lunar Year of the Snake 1/2 oz .999 Silver Coin Perth Australia Series II,116569670292,"Jan 26, 2026",$47.38,$0.00,,,Fixed price,https://www.ebay.com/itm/116569670292,23
Canada 2013 YEAR SNAKE Chinese Lunar Zodiac $10 1/2 Oz Pure Silver in FULL OGP,181058783135,"Feb 5, 2026",$52.36,$0.00,,,Fixed price,https://www.ebay.com/itm/181058783135,15
2013 Niue 1/2 oz Silver $2 Lunar Snake with Reptile Egg Case (Box and COA),334959939030,"Dec 24, 2025",$43.67,$0.00,,,Fixed price,https://www.ebay.com/itm/334959939030,10
2013 Lunar Year of the Snake - APMEX - 1/2 oz .999 Silver Round,376991365960,"Mar 13, 2026",$52.02,$0.00,,,Fixed price,https://www.ebay.com/itm/376991365960,10
2013 Year SNAKE Australia PROOF 50¢ Perth Lunar 1/2 Oz Silver Color in FULL OGP,181018238402,"Mar 25, 2026",$66.25,$0.00,,,Fixed price,https://www.ebay.com/itm/181018238402,13
2013 Australia 1oz Silver Colorized Lunar Series Snake BU,205754085119,"Mar 2, 2026",$86.25,$0.00,,,Fixed price,https://www.ebay.com/itm/205754085119,8
2013 Tuvalu 1/2 oz 999 Silver Baby Snake Proof Coin Complete Box & COA,277494041830,"Jan 27, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277494041830,9
2025 Tuvalu 1/2 oz Silver Lunar Baby Snake Proof (Colorized),126809901240,"Feb 27, 2026",$78.14,$0.00,,,Fixed price,https://www.ebay.com/itm/126809901240,5
2013 Australia Year of the Snake 1 oz Silver Coin 999 Lunar Series II BU,198226428802,"Apr 8, 2026",$86.93,$2.98,,,Fixed price,https://www.ebay.com/itm/198226428802,5
2013 Canadian Maple Snake Privy Lunar Zodiac-999 Silver 1 Oz Ounce Art Bar Round,235804031254,"Feb 8, 2026",$106.79,$19.77,,,Fixed price,https://www.ebay.com/itm/235804031254,5
2013 Lunar Year of the Snake 1oz .999 Silver Coin Perth Australia Series II🐍,116569669398,"Jan 24, 2026",$65.97,$0.00,,,Fixed price,https://www.ebay.com/itm/116569669398,8
,,"Dec 30, 2025",$88.81,$0.00,,,Fixed price,,5
,,"Dec 22, 2025",$38.99,$0.00,,,Fixed price,,9
,,"Nov 12, 2025",$52.36,$5.03,,,Fixed price,,5
2013 Australia Lunar Year of the Snake 1oz .999 Silver - in Capsule (65225),116791995479,"Jan 23, 2026",$83.33,$4.85,,,Fixed price,https://www.ebay.com/itm/116791995479,3
Australia - 2013 - 1 oz. .999 Silver Year of the Snake - BU,157454976661,"Mar 3, 2026",$95.45,$5.38,,,Fixed price,https://www.ebay.com/itm/157454976661,3
Canada 2013 YEAR SNAKE Chinese Lunar Zodiac $10 1/2 Oz Pure Silver in FULL OGP,162593076540,"Jan 18, 2026",$44.26,$0.00,,,Fixed price,https://www.ebay.com/itm/162593076540,7
2013 P Australia Silver Lunar Series II Year of the Snake 1/2 oz BU Sealed,203748409978,"Mar 2, 2026",$55.66,$0.00,,,Fixed price,https://www.ebay.com/itm/203748409978,3
,,"Dec 18, 2025",$34.95,$4.95,,,Fixed price,,3
Year of The Snake 50 Cents - 1/2 OZ - 999 Silver - Coin Capsule - 2013 Australia,366029822881,"Jan 19, 2026",$47.59,$0.00,,,Fixed price,https://www.ebay.com/itm/366029822881,3
2013 Niue Lunar Year of the Snake Coral 1/2 oz Colorized Proof Silver Coin,156271552742,"Mar 18, 2026",$71.67,$5.52,,,Fixed price,https://www.ebay.com/itm/156271552742,3
,,"Nov 14, 2025",$53.95,$5.65,,,Fixed price,,5
,,"Dec 28, 2025",$76.01,$1.00,,,Fixed price,,2
Australia 1 dollar 1 Oz Year of the Snake Lunar Series II high relief coin 2013,204248393634,"Mar 8, 2026",$182.13,$10.00,,,Fixed price,https://www.ebay.com/itm/204248393634,2
,,"Oct 22, 2025",$32.00,$0.00,,,Fixed price,,2
2013 Niue 1/2 oz .999 Silver Coin $2 Lunar Snake with Egg Case Box & COA,225829411604,"Feb 17, 2026",$71.00,$0.00,,,Fixed price,https://www.ebay.com/itm/225829411604,3
"2013 Silver Australia High Relief Year Of The Snake Coin, OGP, Lunar Series II.",227025452382,"Feb 16, 2026",$119.95,$4.95,,,Fixed price,https://www.ebay.com/itm/227025452382,2
2013 Niue Lunar Year of the Snake Lucky Oval Colorized 1 oz Proof Silver Coin,257298796441,"Jan 20, 2026",$119.50,$0.00,,,Fixed price,https://www.ebay.com/itm/257298796441,2
2013 P AUSTRALIA Lunar YEAR of SNAKE 1 oz pure Silver Coin NGC MS70 red label,261123832321,"Feb 21, 2026",$151.51,$0.00,,,Fixed price,https://www.ebay.com/itm/261123832321,2
1/2 OZ SILVER PROOF COIN NIUE LUNAR YEAR OF THE SNAKE HARLEQUIN CORALW/COA,277221392517,"Apr 9, 2026",$52.50,$9.45,,,Fixed price,https://www.ebay.com/itm/277221392517,2
2013 Australia Silver Lunar Series II ~ Year of the Snake 1/2 oz **LOW MINTAGE**,287173938450,"Mar 5, 2026",$61.95,$4.99,,,Fixed price,https://www.ebay.com/itm/287173938450,2
,,"Jan 10, 2026",$83.49,$4.99,,,Fixed price,,2
🌟2013 Australia Year of the Snake 1 oz Silver Coin 999 Lunar - NGC MS70🌟,326947019400,"Jan 22, 2026",$102.23,$4.99,,,Fixed price,https://www.ebay.com/itm/326947019400,2
2013 SILVER CHINA 10 YUAN LUNAR SERIES COLORIZED SNAKE 1 OZ PROOF NGC PF 69 UC,334295175301,"Feb 17, 2026",$129.00,$5.95,,,Fixed price,https://www.ebay.com/itm/334295175301,2
ONE 2013 $1 ONE DOLLAR LUNAR YEAR OF SNAKE 1 Oz. COLORIZED SILVER COIN AUSTRALIA,366125240785,"Jan 23, 2026",$123.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366125240785,8
,,"Dec 9, 2025",$63.50,$0.00,,,Fixed price,,7
2013 1 oz Australian Silver Lunar Snake Coin,395753331108,"Jan 15, 2026",$89.91,$0.00,,,Fixed price,https://www.ebay.com/itm/395753331108,3
,,"Jan 12, 2026",$109.00,$7.50,,,Fixed price,,1
2013 Year of the Snake Australian Lunar Silver Proof Coin Series II 1/2 oz,116118928664,"Feb 8, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116118928664,1
,,"Nov 8, 2025",$54.00,$3.20,,,Fixed price,,1
,,"Dec 13, 2025",$68.70,$3.20,,,Fixed price,,1
,,"Dec 19, 2025",$68.70,$3.20,,,Fixed price,,1
,,"Dec 24, 2025",$104.95,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$69.00,$4.95,,,Auction,,1
,,"Dec 21, 2025",$80.00,$5.24,,,Fixed price,,1
,,"Dec 21, 2025",$90.00,$5.24,,,Fixed price,,1
