Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2003 Australia Lunar Series I Goat 1 oz Gold BU,277519591529,2/26/2026,"$5,805.79",Free,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/277519591529
2003 Australia Lunar Series I Goat 1 oz Gold BU,164230067597,2/25/2026,"$5,766.50",$5.99,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/164230067597
2003 Australia Lunar Series I Goat 1 oz Gold BU,123601027509,1/7/2026,"$5,916.74",Free,Uncirculated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/123601027509
2003 Australia Lunar I Goat 1 oz Gold NGC MS-69,280653657246,2/10/2026,"$6,083.87",$4.99,Certified,apmex,Best Offer,https://www.ebay.com/itm/280653657246
2003 Australia Lunar Series I Goat 1 oz Gold BU,232460737696,12/10/2025,"$6,075.40",Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/232460737696
2003 Australia Lunar I Goat 1 oz Gold NGC MS-69,260706040909,2/25/2026,"$6,151.48",Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/260706040909
2003 Australia Lunar Series I Goat 1 oz Gold BU,238249496125,1/27/2026,"$5,847.36",Free,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/238249496125
2003 Australia Lunar Series I Goat 1 oz Gold BU,213449291859,12/30/2025,"$6,062.40",Free,Uncirculated,goldeneaglecoin,Auction,https://www.ebay.com/itm/213449291859
2003 Australia Lunar I Goat Gold NGC MS-70,378606333674,12/10/2025,"$7,588.58",Free,Certified,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/378606333674
2003 Australia Lunar Series I Goat 1 oz Gold BU,133440910283,12/25/2025,"$6,142.08",$4.99,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/133440910283
2003 Australia Lunar Series I Goat 1 oz Gold BU,268241852541,12/8/2025,"$5,794.02",$4.99,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/268241852541
2003 Australia Lunar Series I Goat 1 oz Gold BU,352609498496,12/14/2025,"$6,232.05",Free,Uncirculated,liberty_coin,Best Offer,https://www.ebay.com/itm/352609498496
2003 Australia Lunar I Goat 1 oz Gold NGC MS-69,252959104723,12/29/2025,"$6,195.61",$5.99,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/252959104723
2003 Australia Lunar Series I Goat 1 oz Gold BU,243430843771,1/22/2026,"$6,228.51",$3.99,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/243430843771
