Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"2024 $1 Australian Lunar Series III, Year Of The Dragon, Rev-Proof, 1oz .999 FS",358549203706,"May 14, 2026",$97.00,$2.95,,,Fixed price,https://www.ebay.com/itm/358549203706,1
2024 Australia 9999 Silver Lunar Purple Lilac Dragon 1oz Coin NGC MS70 ANDA Expo,306928779631,"May 11, 2026",$100.00,$5.89,,,Fixed price,https://www.ebay.com/itm/306928779631,1
2024 Australia 9999 Silver Lunar Purple Lilac Dragon 1oz Coin NGC MS70 ANDA Expo,198289148523,"May 7, 2026",$125.00,$6.50,,,Fixed price,https://www.ebay.com/itm/198289148523,1
2024 Australia 9999 Silver Lunar Orange Colored Dragon 1oz Coin NGC MS70,198298547804,"Apr 29, 2026",$125.81,$3.75,,,Fixed price,https://www.ebay.com/itm/198298547804,2
2024 Australia Lunar Dragon Blue 1oz Silver Coin Card Perth Stamp & Coin Show,236193708035,"Mar 10, 2026",$132.50,$5.61,,,Fixed price,https://www.ebay.com/itm/236193708035,4
,,"Feb 4, 2026",$133.00,$5.99,,,Fixed price,,1
,,"Jan 28, 2026",$125.00,$5.56,,,Fixed price,,2
,,"Jan 28, 2026",$167.00,$0.00,,,Fixed price,,1
,,"Jan 28, 2026",$130.00,$4.88,,,Fixed price,,1
,,"Dec 29, 2025",$86.50,$5.55,,,Fixed price,,2
,,"Dec 27, 2025",$140.00,$26.65,,,Fixed price,,1
,,"Dec 23, 2025",$70.00,$5.09,,,Fixed price,,1
,,"Dec 11, 2025",$75.00,$0.00,,,Fixed price,,1
,,"Dec 3, 2025",$68.27,$4.87,,,Auction,,1
