Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2007 Australian Lunar Pig Silver PCGS MS-70,172081297607,2/6/2026,$319.82,$5.99,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/172081297607
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,273354695838,1/24/2026,$134.02,Free,Uncirculated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/273354695838
2007 Australia Lunar I Pig 1 oz Silver NGC MS-69,134296204807,12/22/2025,$189.50,$5.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/134296204807
2007 Australia Lunar I Pig 1 oz Silver NGC MS-69,184897653735,1/11/2026,$212.24,$5.99,Certified,apmex,Buy It Now,https://www.ebay.com/itm/184897653735
2007 Australian Lunar Pig Silver PCGS MS-70,399611093786,11/24/2025,$306.05,Free,Certified,silvertowne,Auction,https://www.ebay.com/itm/399611093786
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,237917375416,11/24/2025,$161.13,$4.99,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/237917375416
2007 Australia Lunar I Pig 1 oz Silver PCGS MS-69,362497762734,11/28/2025,$238.45,$3.99,Certified,rarecoinwholesalers,Auction,https://www.ebay.com/itm/362497762734
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,192242002525,1/30/2026,$140.89,$3.99,Uncirculated,davidlawrence,Best Offer,https://www.ebay.com/itm/192242002525
2007 Australian Lunar Pig Silver NGC MS-70,358774654973,12/18/2025,$398.76,Free,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/358774654973
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,163686900261,12/25/2025,$166.80,Free,Uncirculated,govmint_official,Best Offer,https://www.ebay.com/itm/163686900261
2007 Australia Lunar I Pig 1 oz Silver NGC MS-69,226262639644,2/7/2026,$192.86,$3.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/226262639644
2007 Australia Lunar I Pig 1 oz Silver PCGS MS-69,286853674296,2/4/2026,$199.67,Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/286853674296
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,367221338658,12/28/2025,$142.96,$3.99,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/367221338658
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,166524272893,12/19/2025,$170.22,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/166524272893
2007 Australia Lunar I Pig 1 oz Silver PCGS MS-69,114876990644,1/4/2026,$209.70,Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/114876990644
2007 Australia Lunar Series I Pig 1 oz Silver BU Last Year,228264212600,1/18/2026,$176.34,$4.99,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/228264212600
