Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Gold Eagle 1/2 oz PCGS MS-69,171047630924,12/28/2025,"$1,572.40",$4.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/171047630924
2025 American Gold Eagle 1/2 oz BU,231459750671,2/5/2026,"$1,535.33",$5.99,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/231459750671
2025 Gold Eagle 1/2 oz NGC MS-70 First Day,337381704674,1/18/2026,"$1,874.36",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/337381704674
2025 American Gold Eagle 1/2 oz BU,134227267831,1/18/2026,"$1,565.76",$4.99,Uncirculated,goldeneaglecoin,Auction,https://www.ebay.com/itm/134227267831
2025 American Gold Eagle 1/2 oz BU,372482663409,2/8/2026,"$1,579.95",$5.99,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/372482663409
2025 Gold Eagle 1/2 oz PCGS MS-69,191571329950,12/13/2025,"$1,655.05",$5.99,Certified,greatcollections,Buy It Now,https://www.ebay.com/itm/191571329950
2025 Gold Eagle 1/2 oz NGC MS-70 First Day,321454405638,11/29/2025,"$1,783.85",Free,Certified,apmex,Best Offer,https://www.ebay.com/itm/321454405638
2025 Gold Eagle 1/2 oz NGC MS-69,127260077770,12/8/2025,"$1,696.22",Free,Certified,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/127260077770
2025 American Gold Eagle 1/2 oz BU,357097444403,11/22/2025,"$1,640.30",Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/357097444403
2025 American Gold Eagle 1/2 oz BU,200272187460,11/26/2025,"$1,509.31",Free,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/200272187460
2025 American Gold Eagle 1/2 oz BU,259612429292,1/27/2026,"$1,569.04",$3.99,Uncirculated,greatcollections,Best Offer,https://www.ebay.com/itm/259612429292
2025 Gold Eagle 1/2 oz PCGS MS-69,345395313940,12/12/2025,"$1,713.16",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/345395313940
2025 American Gold Eagle 1/2 oz BU,133377105065,12/5/2025,"$1,519.42",Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/133377105065
2025 American Gold Eagle 1/2 oz BU,314935086203,11/30/2025,"$1,638.12",Free,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/314935086203
2025 American Gold Eagle 1/2 oz BU,212383665815,11/29/2025,"$1,554.17",$4.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/212383665815
2025 American Gold Eagle 1/2 oz BU,166811800134,1/16/2026,"$1,510.57",Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/166811800134
