Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
American Gold Eagle Proof 1/2 oz $25 - Coin in Capsule - Random Date,305705374463,"Apr 4, 2026","$2,477.08",$0.00,,,Fixed price,https://www.ebay.com/itm/305705374463
1/2 oz American Gold Eagle $25 Coin (Random Year),395094778663,"Apr 3, 2026","$2,615.56",$0.00,,,Fixed price,https://www.ebay.com/itm/395094778663
1/2 oz American Gold Eagle Coin BU - Random Year - $25 US Gold,297174346398,"Apr 2, 2026","$2,539.26",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346398
1/2 oz American Gold Eagle Coin BU (Random Year),116740742791,"Apr 4, 2026","$2,562.79",$0.00,,,Fixed price,https://www.ebay.com/itm/116740742791
2026 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,205844257922,"Apr 2, 2026","$2,516.50",$0.00,,,Fixed price,https://www.ebay.com/itm/205844257922
American Gold Eagle Coin Proof 1/2 oz $25 - PCGS PR70 Random Date and Label,306379814263,"Mar 26, 2026","$2,502.62",$0.00,,,Fixed price,https://www.ebay.com/itm/306379814263
American Gold Eagle (1/2 oz) $25 - BU - Random Date,302304568623,"Apr 3, 2026","$2,512.75",$0.00,,,Fixed price,https://www.ebay.com/itm/302304568623
American Gold Eagle Coin Proof 1/2 oz $25 - NGC PF70 Random Date and Label,306302894508,"Apr 2, 2026","$2,505.08",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894508
1986 1/2 oz American Gold Eagle BU (MCMLXXXVI),121832138047,"Apr 6, 2026","$2,632.98",$0.00,,,Fixed price,https://www.ebay.com/itm/121832138047
1/2 oz American Gold Eagle $25 Coin (Random Year),396053483765,"Apr 3, 2026","$2,714.31",$0.00,,,Fixed price,https://www.ebay.com/itm/396053483765
Random Date 1986-2026 $25 American Gold Eagle - 1/2 Oz. Gold - U.S. Gold Coin,137016716486,"Apr 6, 2026","$2,605.07",$0.00,,,Fixed price,https://www.ebay.com/itm/137016716486
Random Year $25 1/2 oz Proof American Gold Eagle in Capsule Coin,297127700286,"Apr 1, 2026","$2,533.32",$0.00,,,Fixed price,https://www.ebay.com/itm/297127700286
$25 American Gold Eagle 1/2 oz Random Year Brilliant Uncirculated,317048782175,"Mar 23, 2026","$2,565.62",$0.00,,,Fixed price,https://www.ebay.com/itm/317048782175
American Gold Eagle 1/2 oz $25 - NGC MS70 Random Date and Label,405103826473,"Mar 31, 2026","$2,519.14",$0.00,,,Fixed price,https://www.ebay.com/itm/405103826473
2026 American Gold Eagle 1/2 oz $25 - BU,376864531073,"Mar 19, 2026","$2,723.59",$0.00,,,Fixed price,https://www.ebay.com/itm/376864531073
American Gold Eagle 1/2 oz $25 - NGC MS69 Random Date and Label,305477955494,"Apr 5, 2026","$2,611.75",$0.00,,,Fixed price,https://www.ebay.com/itm/305477955494
American Gold Eagle 1/2 oz $25 - PCGS MS69 Random Date and Label,404887945086,"Mar 24, 2026","$2,504.82",$0.00,,,Fixed price,https://www.ebay.com/itm/404887945086
2025 American 1 OZ Silver Eagle Coin BLACK RUTHENIUM w/ 24K Gold Detail - TYPE 2,234123063244,"Apr 5, 2026",$179.95,$39.95,,,Fixed price,https://www.ebay.com/itm/234123063244
2026 W AMERICAN EAGLE ONE-HALF OUNCE GOLD PROOF LIBERTY BELL PRIVY DUAL DATE!!!,188161808706,"Mar 31, 2026","$3,399.49",$0.00,,,Fixed price,https://www.ebay.com/itm/188161808706
$25 American Gold Eagle 1/2 oz Random Year Impaired,205608903318,"Mar 9, 2026","$2,710.12",$0.00,,,Fixed price,https://www.ebay.com/itm/205608903318
2021 $25 Type 2 American Gold Eagle 1/2 oz Brilliant Uncirculated,313603218840,"Mar 31, 2026","$2,513.05",$0.00,,,Fixed price,https://www.ebay.com/itm/313603218840
American Gold Eagle 1/2 oz $25 - PCGS MS70 Random Date and Label,375336158616,"Mar 28, 2026","$2,481.89",$0.00,,,Fixed price,https://www.ebay.com/itm/375336158616
1/2 oz $25 American Gold Eagle Coin Bezel 27mm Screw Top 10k Yellow Gold,137062455774,"Mar 31, 2026",$333.49,$0.00,,,Fixed price,https://www.ebay.com/itm/137062455774
Pre 2026 W Gold Eagle One-Tenth Ounce PCGS PR70DCAM First Strike W/OGP #2,137107581249,"Mar 27, 2026",$907.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581249
2007 1/2 oz American Gold Eagle MS-70 NGC,145641370479,"Mar 21, 2026","$2,553.79",$0.00,,,Fixed price,https://www.ebay.com/itm/145641370479
2026 $25 1/2-oz American Gold Eagle Brilliant Uncirculated,146970072499,"Apr 2, 2026","$2,605.68",$0.00,,,Fixed price,https://www.ebay.com/itm/146970072499
2026 1/2 oz American Gold Eagle MS-70 PCGS (FirstStrike®),147082490266,"Mar 27, 2026","$2,594.19",$0.00,,,Fixed price,https://www.ebay.com/itm/147082490266
2025 1/2 oz American Gold Eagle $25 Coin (BU),176720614393,"Mar 15, 2026","$2,795.43",$0.00,,,Fixed price,https://www.ebay.com/itm/176720614393
2026 $25 American Gold Eagle 1/2 oz PCGS MS70 FS Flag Label,177706423967,"Apr 4, 2026","$2,663.60",$0.00,,,Fixed price,https://www.ebay.com/itm/177706423967
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.04,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520
2023 - 1/2 Ounce .999 Gold American Eagle - 24k Fine (BU) Glided Repro Coin,236673310796,"Mar 27, 2026",$28.52,$0.00,,,Fixed price,https://www.ebay.com/itm/236673310796
2024 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,315092536467,"Mar 31, 2026","$2,523.67",$0.00,,,Fixed price,https://www.ebay.com/itm/315092536467
5 Lighthouse EVERSLAB 27mm Graded Coin Slabs 1/2 oz Gold American Eagle Holders,360902046617,"Mar 18, 2026",$14.12,$0.00,,,Fixed price,https://www.ebay.com/itm/360902046617
2026 1/2 oz American Gold Eagle Coin PCGS MS70 FS,397468241500,"Apr 1, 2026","$2,789.46",$0.00,,,Fixed price,https://www.ebay.com/itm/397468241500
American Gold Eagle Proof 1/2 oz $25 - Coin in OGP - Random Date,405824564104,"Mar 7, 2026","$2,756.75",$0.00,,,Fixed price,https://www.ebay.com/itm/405824564104
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,644.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922
1986 1/2 oz American Gold Eagle MS-69 NGC,115682166734,"Mar 24, 2026","$2,513.20",$0.00,,,Fixed price,https://www.ebay.com/itm/115682166734
2012 1/2 oz American Gold Eagle MS-70 NGC,115792759783,"Mar 23, 2026","$2,567.19",$0.00,,,Fixed price,https://www.ebay.com/itm/115792759783
"2026 1/2 oz American Gold Eagle MS-70 PCGS (FDI, Black Label)",116973302520,"Mar 9, 2026","$2,893.01",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302520
"2026 1/2 oz American Gold Eagle MS-70 PCGS (FS®, Black Label)",116973302535,"Apr 4, 2026","$2,639.54",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302535
14K Solid Gold Bezel for 1/2 Oz. American Eagle $25 Gold Bullion Coin! 3.6 Grams,117036491038,"Mar 9, 2026",$495.00,$12.65,,,Fixed price,https://www.ebay.com/itm/117036491038
1776-2026 W $25 Gold Eagle FDI (PF 70-UCAM),117114870760,"Apr 5, 2026","$4,301.00",$0.00,,,Auction,https://www.ebay.com/itm/117114870760
1998 1/2 oz American Gold Eagle BU,122771613693,"Mar 29, 2026","$2,549.81",$0.00,,,Fixed price,https://www.ebay.com/itm/122771613693
2000 1/2 oz American Gold Eagle BU,122771700905,"Mar 23, 2026","$2,520.30",$0.00,,,Fixed price,https://www.ebay.com/itm/122771700905
"Guardhouse Half 1/2 Oz Gold American Eagle Direct Fit Capsules,10 per Box",125107016387,"Mar 27, 2026",$10.34,$0.00,,,Fixed price,https://www.ebay.com/itm/125107016387
2023 1/10 oz American Gold Eagle Coin BU,125672534568,"Mar 10, 2026",$642.49,$0.00,,,Fixed price,https://www.ebay.com/itm/125672534568
2006-W 1/2 oz Burnished American Gold Eagle MS-70 NGC,126407604250,"Mar 25, 2026","$2,585.55",$0.00,,,Fixed price,https://www.ebay.com/itm/126407604250
2005-W $25 American Gold Eagle Mercanti 1/2 Oz Gold PF70 UCAM NGC *5449,126936202537,"Apr 3, 2026","$2,685.00",$0.00,,,Fixed price,https://www.ebay.com/itm/126936202537
American Gold Eagle Proof 1/2 oz $25 - Coin in Capsule - Random Date,305705374463,"Apr 11, 2026","$2,346.97",$0.00,,,Fixed price,https://www.ebay.com/itm/305705374463,378
1/2 oz American Gold Eagle Coin BU - Random Year - $25 US Gold,297174346398,"Apr 11, 2026","$2,322.05",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346398,310
American Gold Eagle (1/2 oz) $25 - BU - Random Date,302304568623,"Apr 12, 2026","$2,320.79",$0.00,,,Fixed price,https://www.ebay.com/itm/302304568623,274
1/2 oz American Gold Eagle $25 Coin (Random Year),395094778663,"Apr 10, 2026","$2,518.27",$0.00,,,Fixed price,https://www.ebay.com/itm/395094778663,233
1/2 oz American Gold Eagle Coin BU (Random Year),116740742791,"Apr 11, 2026","$2,389.19",$49.99,,,Fixed price,https://www.ebay.com/itm/116740742791,132
American Gold Eagle Coin Proof 1/2 oz $25 - NGC PF70 Random Date and Label,306302894508,"Apr 13, 2026","$2,413.14",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894508,125
2026 American Gold Eagle 1/2 oz $25 - BU,376864531073,"Apr 9, 2026","$2,764.72",$0.00,,,Fixed price,https://www.ebay.com/itm/376864531073,59
$25 American Gold Eagle 1/2 oz Random Year Brilliant Uncirculated,317048782175,"Apr 11, 2026","$2,639.38",$0.00,,,Fixed price,https://www.ebay.com/itm/317048782175,60
American Gold Eagle 1/2 oz $25 - NGC MS69 Random Date and Label,305477955494,"Apr 5, 2026","$2,625.46",$0.00,,,Fixed price,https://www.ebay.com/itm/305477955494,55
American Gold Eagle Coin Proof 1/2 oz $25 - PCGS PR70 Random Date and Label,306379814263,"Apr 7, 2026","$2,466.81",$0.00,,,Fixed price,https://www.ebay.com/itm/306379814263,54
American Gold Eagle Proof 1/2 oz $25 - Coin in OGP - Random Date,405824564104,"Mar 7, 2026","$2,617.79",$0.00,,,Fixed price,https://www.ebay.com/itm/405824564104,52
2026 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,205844257922,"Apr 2, 2026","$2,649.63",$0.00,,,Fixed price,https://www.ebay.com/itm/205844257922,53
1986 1/2 oz American Gold Eagle BU (MCMLXXXVI),121832138047,"Apr 8, 2026","$2,768.69",$0.00,,,Fixed price,https://www.ebay.com/itm/121832138047,46
2025 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,316004995506,"Jan 3, 2026","$2,314.47",$0.00,,,Fixed price,https://www.ebay.com/itm/316004995506,51
1/2 oz American Gold Eagle $25 Coin (Random Year),396053483765,"Apr 10, 2026","$2,755.68",$0.00,,,Fixed price,https://www.ebay.com/itm/396053483765,35
American Gold Eagle 1/2 oz $25 - PCGS MS69 Random Date and Label,404887945086,"Mar 24, 2026","$2,636.03",$0.00,,,Fixed price,https://www.ebay.com/itm/404887945086,31
2026 1/2 oz American Gold Eagle Coin $25 (BU),177682411372,"Mar 13, 2026","$2,688.93",$0.00,,,Fixed price,https://www.ebay.com/itm/177682411372,26
2025 1/2 oz American Gold Eagle $25 Coin (BU),176720614393,"Mar 15, 2026","$2,365.41",$0.00,,,Fixed price,https://www.ebay.com/itm/176720614393,23
American Gold Eagle 1/2 oz $25 - NGC MS70 Random Date and Label,405103826473,"Apr 10, 2026","$2,541.57",$0.00,,,Fixed price,https://www.ebay.com/itm/405103826473,22
2025 1/2 oz American Gold Eagle $25 Coin (BU),156623628786,"Jan 2, 2026","$2,350.47",$0.00,,,Fixed price,https://www.ebay.com/itm/156623628786,37
2025 1/2 oz American Gold Eagle Coin BU,126847436601,"Jan 29, 2026","$2,673.98",$0.00,,,Fixed price,https://www.ebay.com/itm/126847436601,18
Random Date 1986-2026 $25 American Gold Eagle - 1/2 Oz. Gold - U.S. Gold Coin,137016716486,"Apr 12, 2026","$2,613.08",$0.00,,,Fixed price,https://www.ebay.com/itm/137016716486,22
2024 BLACK RUTHENIUM 1 Oz 999 Silver American Eagle Coin 24K Gold Gilded 2-Sided,192482483568,"Feb 6, 2026",$125.09,$0.00,,,Fixed price,https://www.ebay.com/itm/192482483568,21
Lot of 2 Gold 2026 Gold 1/10 oz Gold American Eagle $5 US Mint .9167 Fine Coins,206001847358,"Mar 26, 2026","$1,134.33",$0.00,,,Fixed price,https://www.ebay.com/itm/206001847358,15
2025 American .999 Silver Eagle 1 oz Coin SELECT 24KT GOLD Gilded 2-Sided w/BOX,316433584071,"Mar 13, 2026",$140.06,$21.48,,,Fixed price,https://www.ebay.com/itm/316433584071,19
Random Year $25 1/2 oz American Gold Eagle Uncirculated Coin BU,296766195459,"Mar 7, 2026","$2,786.71",$0.00,,,Fixed price,https://www.ebay.com/itm/296766195459,14
2009 $25 American Gold Eagle 1/2 oz Brilliant Uncirculated,315708306449,"Mar 11, 2026","$2,720.61",$0.00,,,Fixed price,https://www.ebay.com/itm/315708306449,14
1/2 oz American Gold Eagle MS-69 PCGS (Random Year),144414183886,"Feb 25, 2026","$2,735.61",$49.99,,,Fixed price,https://www.ebay.com/itm/144414183886,14
2026 1/2 oz American Gold Eagle Coin BU,297852751755,"Mar 16, 2026","$2,738.04",$0.00,,,Fixed price,https://www.ebay.com/itm/297852751755,12
Air Tite 1/2 oz American Gold Eagle Direct Fit Coin Capsule - 27mm (1),274519153999,"Apr 6, 2026",$1.75,$4.66,,,Fixed price,https://www.ebay.com/itm/274519153999,19
1/2 oz Gold American Eagle Coin - Random Year - BU $25 Gold Coin #A640,364862384323,"Feb 28, 2026","$2,497.68",$0.00,,,Fixed price,https://www.ebay.com/itm/364862384323,14
Lot of 2 Gold 2025 Gold 1/10 oz Gold American Eagle $5 US Mint Eagle BU Coins,403578629969,"Dec 28, 2025",$969.31,$0.00,,,Fixed price,https://www.ebay.com/itm/403578629969,11
2025 Gold 1/2 oz American Eagle $25 Gold Coin US Mint Gold Eagle 1/2 oz coin,404126090798,"Dec 11, 2025","$2,292.55",$0.00,,,Fixed price,https://www.ebay.com/itm/404126090798,11
1/2 oz American Gold Eagle MS-70 NGC (Random Year),141401582008,"Apr 7, 2026","$2,799.50",$0.00,,,Fixed price,https://www.ebay.com/itm/141401582008,10
2026 1/2 oz American Gold Eagle Coin $25 (BU),397401566687,"Mar 3, 2026","$2,742.44",$0.00,,,Fixed price,https://www.ebay.com/itm/397401566687,11
2025 W American Gold Eagle Proof 1/2 oz Case Capsule COA Box OGP - No Coin,127063720425,"Mar 17, 2026",$11.15,$4.49,,,Fixed price,https://www.ebay.com/itm/127063720425,20
2026 1/2 oz American Gold Eagle Coin BU,127621910087,"Feb 10, 2026","$2,776.40",$0.00,,,Fixed price,https://www.ebay.com/itm/127621910087,10
Random Year $25 1/2 oz Proof American Gold Eagle in Capsule Coin,297127700286,"Apr 1, 2026","$2,566.38",$0.00,,,Fixed price,https://www.ebay.com/itm/297127700286,9
Random Year $25 1/2-oz American Gold Eagle BU,387079735199,"Feb 4, 2026","$2,573.30",$0.00,,,Fixed price,https://www.ebay.com/itm/387079735199,9
2015 1/2 oz American Gold Eagle BU,112615799088,"Feb 19, 2026","$2,619.07",$0.00,,,Fixed price,https://www.ebay.com/itm/112615799088,9
"Guardhouse Half 1/2 Oz Gold American Eagle Direct Fit Capsules,10 per Box",125107016387,"Apr 9, 2026",$10.03,$0.00,,,Fixed price,https://www.ebay.com/itm/125107016387,8
2026 $25 American Gold Eagle 1/2 oz PCGS MS70 FS Flag Label,177706423967,"Apr 4, 2026","$2,594.08",$0.00,,,Fixed price,https://www.ebay.com/itm/177706423967,9
2025 American 1 OZ Silver Eagle Coin BLACK RUTHENIUM w/ 24K Gold Detail - TYPE 2,234123063244,"Apr 5, 2026",$150.41,$39.95,,,Fixed price,https://www.ebay.com/itm/234123063244,13
,,"Dec 28, 2025","$2,366.32",$0.00,,,Fixed price,,9
American Gold Eagle 1/2 oz $25 - PCGS MS70 Random Date and Label,375336158616,"Mar 27, 2026","$2,703.76",$0.00,,,Fixed price,https://www.ebay.com/itm/375336158616,9
US Mint Presentation Case For 1/2 oz Gold American Eagle Coin Display Gift Box,405430480986,"Mar 23, 2026",$12.85,$0.00,,,Fixed price,https://www.ebay.com/itm/405430480986,10
1988-P $25 American Gold Eagle - 1/2 Oz Gold PR70 DCAM ICG,136533826862,"Feb 23, 2026","$2,624.11",$0.00,,,Fixed price,https://www.ebay.com/itm/136533826862,7
2026 $25 1/2-oz American Gold Eagle Brilliant Uncirculated,146970072499,"Apr 11, 2026","$2,619.01",$0.00,,,Fixed price,https://www.ebay.com/itm/146970072499,7
