Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Random Date 1986-2024 $5 1/10 th Oz Gold American Eagle US Mint BU,134554630342,"Jan 14, 2026",$488.89,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342
,,"Dec 24, 2025",$488.23,$0.00,,,Fixed price,
2024 1/10 oz American Gold Eagle Coin (BU) “Not Random”,306683161513,"Jan 12, 2026",$498.09,$0.00,,,Fixed price,https://www.ebay.com/itm/306683161513
2024 Gold $5 Gold American Eagle 1/10 oz.,137026866137,"Feb 21, 2026",$577.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137026866137
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Blue Label,176061827324,"Dec 4, 2025","$1,321.29",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827324
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ALS Label,314992751797,"Mar 23, 2026","$1,445.45",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751797
2024-W Gold Eagle - CAC PR70DCAM - CAC - “Paul Nugget” Signed Series,326892527394,"Mar 21, 2026",$583.75,$15.00,,,Fixed price,https://www.ebay.com/itm/326892527394
2024 1/10 oz Gold Eagle G$5 NGC MS-70 Magnum Opus Early Releases,376644312827,"Jan 28, 2026",$595.40,$0.00,,,Fixed price,https://www.ebay.com/itm/376644312827
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FDI, Black Label)",116030163757,"Apr 8, 2026",$629.18,$49.99,,,Fixed price,https://www.ebay.com/itm/116030163757
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Black Label,176063595739,"Mar 23, 2026","$1,270.34",$0.00,,,Fixed price,https://www.ebay.com/itm/176063595739
2024 1/10 oz American Gold Eagle Coin BU,116084663770,"Oct 20, 2025",$528.17,$0.00,,,Fixed price,https://www.ebay.com/itm/116084663770
,,"Dec 3, 2025",$512.50,$0.00,,,Fixed price,
2024 $10 1/4-oz American Gold Eagle NGC MS69 Brown Label,134957414207,"Mar 23, 2026","$1,274.51",$0.00,,,Fixed price,https://www.ebay.com/itm/134957414207
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 Blue Label,176061827289,"Jan 18, 2026","$1,498.68",$0.00,,,Fixed price,https://www.ebay.com/itm/176061827289
2024 $10 American Gold Eagle 1/4 oz PCGS MS69 Blue Label,176063598758,"Mar 20, 2026","$1,332.35",$0.00,,,Fixed price,https://www.ebay.com/itm/176063598758
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Brown Label,204558419368,"Apr 8, 2026","$1,362.13",$0.00,,,Fixed price,https://www.ebay.com/itm/204558419368
2024 1/10 oz Gold Eagle G$5 NGC MS-69,206034337145,"Jan 29, 2026",$582.50,$7.83,,,Fixed price,https://www.ebay.com/itm/206034337145
2024 $10 American Gold Eagle 1/4 oz PCGS MS70 FS Trump 45th President Label,314992752677,"Feb 26, 2026","$1,603.95",$0.00,,,Fixed price,https://www.ebay.com/itm/314992752677
2024 $10 American Gold Eagle 1/4 oz NGC MS69 ER Blue Label,314994921981,"Feb 28, 2026","$1,438.21",$0.00,,,Fixed price,https://www.ebay.com/itm/314994921981
2024-W $10 American Gold Eagle 1/4 Oz 0.25 Oz Gold PF70 UCAM NGC,365896119683,"Oct 21, 2025","$1,234.98",$0.00,,,Fixed price,https://www.ebay.com/itm/365896119683
2024 1/10 oz American Gold Eagle Coin (BU),395129889568,"Jan 22, 2026",$507.43,$0.00,,,Fixed price,https://www.ebay.com/itm/395129889568
,,"Oct 14, 2025","$1,135.00",$0.00,,,Fixed price,
,,"Nov 17, 2025",$499.99,$7.35,,,Auction,
2024 $5 American Gold Eagle 1/10 oz NGC MS70 Beautiful Coin Free Shipping,116988514372,"Jan 24, 2026",$611.00,$0.00,,,Auction,https://www.ebay.com/itm/116988514372
2024 1/10 oz American Gold Eagle MS-70 NGC,126267663013,"Nov 25, 2025",$571.74,$0.00,,,Fixed price,https://www.ebay.com/itm/126267663013
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FS, Black)",126423937209,"Nov 16, 2025",$534.80,$0.00,,,Fixed price,https://www.ebay.com/itm/126423937209
,,"Nov 15, 2025",$465.00,$0.00,,,Fixed price,
,,"Nov 10, 2025",$470.70,$0.00,,,Fixed price,
,,"Oct 31, 2025",$448.67,$0.00,,,Auction,
,,"Dec 31, 2025","$24,823.27",$0.00,,,Fixed price,
,,"Nov 18, 2025",$415.00,$12.81,,,Fixed price,
"2024 1/10 oz American Gold Eagle MS-70 PCGS (FirstStrike®, Black)",127499928771,"Jan 26, 2026",$667.58,$0.00,,,Fixed price,https://www.ebay.com/itm/127499928771
,,"Dec 4, 2025",$462.50,$0.00,,,Fixed price,
(Tube of 50) 2024 American Gold Eagle (AGE) 1/10 oz Gold Coin,127611869857,"Jan 28, 2026","$30,711.80",$0.00,,,Fixed price,https://www.ebay.com/itm/127611869857
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated 2024,127688049299,"Feb 17, 2026","$1,295.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127688049299
2024 1/10 oz $5 American Gold Eagle BU,127696991421,"Feb 21, 2026",$547.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127696991421
2024 $10 American Gold Eagle - 1/4 Oz Gold PCGS 70 First Day Issue,127711458891,"Feb 28, 2026","$1,400.00",$8.30,,,Fixed price,https://www.ebay.com/itm/127711458891
2026 $10 American Gold Eagle - 1/4 Oz Gold PCGS 70 First Day Issue,127743623975,"Mar 14, 2026","$1,299.00",$8.10,,,Fixed price,https://www.ebay.com/itm/127743623975
2025 $5 American Gold Eagle - 1/10 Oz Gold PCGS 70 First Strike,127743631547,"Mar 14, 2026",$540.00,$7.70,,,Fixed price,https://www.ebay.com/itm/127743631547
2024 $5 1/10-oz American Gold Eagle PCGS MS69 FDOI Mint Error Obverse Strike,135566460402,"Dec 22, 2025",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135566460402
2024 $5 1/10-oz American Gold Eagle PCGS MS69 FDOI Mint Error Obverse Strike,135566485922,"Jan 8, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135566485922
,,"Nov 1, 2025",$566.15,$0.00,,,Fixed price,
2024-W $10 American Gold Eagle - 1/4 Oz Gold PR70 DCAM ICG,136308801459,"Feb 25, 2026","$1,450.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136308801459
,,"Oct 26, 2025",$530.00,$0.00,,,Fixed price,
,,"Nov 19, 2025",$470.00,$5.20,,,Fixed price,
,,"Nov 24, 2025",$433.00,$9.00,,,Auction,
,,"Dec 25, 2025",$512.00,$0.00,,,Auction,
1/10 oz 2024 Gold $5 American Eagle Coin FREE WITH PURCHASE ONLY 14K BEZEL! NEW!,136918926314,"Mar 11, 2026",$799.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136918926314
2024 $5 American Gold Eagle David Moti 1/10 Oz Gold MS70 NGC *6350,136953112062,"Jan 18, 2026",$520.00,$0.00,,,Auction,https://www.ebay.com/itm/136953112062
2024 Eagle G$5 1/10th Gold Coin NGC MS70 Eagles Label,137072331047,"Feb 25, 2026",$520.00,$5.22,,,Auction,https://www.ebay.com/itm/137072331047
"2024 $5 American Gold Eagle 1/10 oz gold coin private collector, priced to sell",287268529863,"Apr 12, 2026",$515.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287268529863,1
2024 $5 1/10 oz American Gold Eagle NGC MS 70,306819803833,"Apr 10, 2026",$583.89,$0.00,,,Fixed price,https://www.ebay.com/itm/306819803833,2
2024 Eagle G$5 NGC MS70 1/10th Oz Gold Coin,389858207543,"Apr 9, 2026",$560.00,$5.07,,,Fixed price,https://www.ebay.com/itm/389858207543,1
American Gold Eagle Coin 2024 (BU) $5 Gold Coin 1/10 oz,137211273382,"Apr 9, 2026",$519.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137211273382,1
2024 $10 1/4 oz American Gold Eagle NGC MS70 FDOI Anna Cabral Black Retro,306812339963,"Apr 6, 2026","$1,459.47",$0.00,,,Fixed price,https://www.ebay.com/itm/306812339963,1
2024 W Gold $5 American Eagle Coin First Releases NGC PF 70 ULTRA CAMEO,389802431849,"Apr 2, 2026",$566.00,$0.00,,,Auction,https://www.ebay.com/itm/389802431849,1
2024 Eagle G$5 1/10th Gold Coin NGC MS70 Eagles Label,236726067565,"Mar 31, 2026",$519.99,$0.00,,,Fixed price,https://www.ebay.com/itm/236726067565,1
2024 1/10 Oz Gold Eagle $5 NGC MS70 Perfect Grade .999 Fine Gold,177960064929,"Mar 29, 2026",$600.00,$4.85,,,Fixed price,https://www.ebay.com/itm/177960064929,1
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ER Blue Label,176061826357,"Mar 28, 2026","$1,343.98",$0.00,,,Fixed price,https://www.ebay.com/itm/176061826357,1
NEW 2024 W Eagle S$1 MS70/MS70 Ag 1/10oz Medal Evolved Series 1 BULLIONPLUS Slab,267611519401,"Mar 26, 2026",$170.00,$5.95,,,Fixed price,https://www.ebay.com/itm/267611519401,1
2024 1/10 Oz Gold Eagle $5 NGC MS70 Perfect Grade .999 Fine Gold,406781768593,"Mar 23, 2026",$490.00,$5.40,,,Fixed price,https://www.ebay.com/itm/406781768593,1
2024 1/10 oz Gold American Eagle $5 US Mint Gold Eagle Coin,137136056393,"Mar 22, 2026",$505.00,$4.50,,,Auction,https://www.ebay.com/itm/137136056393,1
2024 Gold American Eagle 🦅 $5 1/10oz NGC MS70,397697770055,"Mar 17, 2026",$571.00,$8.14,,,Auction,https://www.ebay.com/itm/397697770055,1
ULTRA BREAKS 2024 W $5 PROOF AMERICAN GOLD EAGLE PCGS PR70CAM,277809791360,"Mar 16, 2026",$540.00,$8.10,,,Fixed price,https://www.ebay.com/itm/277809791360,1
2024-W $5 Gold Eagle Proof 1/10 oz American Gold Eagle w/ Box & COA West Point,327042089247,"Mar 15, 2026",$598.00,$27.00,,,Fixed price,https://www.ebay.com/itm/327042089247,1
2024 Eagle G$5 NGC MS70 1/10th Oz Gold Coin,188155432290,"Mar 14, 2026",$575.00,$5.40,,,Fixed price,https://www.ebay.com/itm/188155432290,1
2024 $5 1/10oz Gold American Eagle NGC MS70,137094335314,"Mar 11, 2026",$611.01,$0.00,,,Auction,https://www.ebay.com/itm/137094335314,1
2024 $5 Gold Eagle ANACS MS70 First Strike 1/10 oz Gold Coin #014/567,137115528626,"Mar 11, 2026",$599.99,$5.45,,,Fixed price,https://www.ebay.com/itm/137115528626,1
"2024, American $5 Gold Eagle, NGC MS 70",287178236181,"Mar 8, 2026",$582.00,$5.07,,,Auction,https://www.ebay.com/itm/287178236181,1
2024 Gold Eagle $5 NGC MS 70 (Tenth-Ounce) 1/10 oz Fine Gold Official Red Book,389627100451,"Mar 8, 2026",$594.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389627100451,1
"2024, American $5 Gold Eagle, NGC MS 70",287187313237,"Mar 8, 2026",$550.00,$3.99,,,Auction,https://www.ebay.com/itm/287187313237,1
"2024 American Gold Eagle $5 (1/10 oz Fine, Type 2) Graded A Perfect MS70 by NGC",198158971806,"Mar 8, 2026",$555.00,$15.00,,,Auction,https://www.ebay.com/itm/198158971806,1
2024 AMERICAN EAGLE 1/10 OZ .999 PURE-SILVER With 24k Gold Plating,177733002122,"Mar 8, 2026",$31.00,$4.88,,,Fixed price,https://www.ebay.com/itm/177733002122,1
2024 $5 Gold American Eagle ICG Certified MS69 1/10 oz Fine Gold,157725295681,"Mar 7, 2026",$550.00,$5.07,,,Auction,https://www.ebay.com/itm/157725295681,1
2024 1/10oz Gold Eagle,317963582114,"Mar 6, 2026",$544.93,$5.07,,,Fixed price,https://www.ebay.com/itm/317963582114,1
2024 $10 American Gold Eagle 1/4 oz NGC MS70 FDI ALS Label,204557410862,"Mar 1, 2026","$1,757.69",$0.00,,,Fixed price,https://www.ebay.com/itm/204557410862,1
2024 Gold Eagle G$5 NGC MS70 First Day of Issue. 1/10 oz Gold Coin Mint Conditi,168177157191,"Feb 28, 2026",$650.00,$12.00,,,Auction,https://www.ebay.com/itm/168177157191,1
2024 $5 1/10oz Gold American Eagle,147161896626,"Feb 26, 2026",$573.00,$0.00,,,Auction,https://www.ebay.com/itm/147161896626,1
2024 1/10 oz .999 Fine Silver Gold Gilded Coin A Stunning Eagle! COOL!,177882062886,"Feb 26, 2026",$29.00,$5.29,,,Auction,https://www.ebay.com/itm/177882062886,1
2024 $10 American Gold Eagle 1/4 Oz Gold,358260064537,"Feb 25, 2026","$1,250.00",$5.20,,,Fixed price,https://www.ebay.com/itm/358260064537,1
2024 $5 1/10 oz Gold American Eagle - ICG MS70,376973917207,"Feb 23, 2026",$579.99,$0.00,,,Auction,https://www.ebay.com/itm/376973917207,1
2024 $5 1/10oz Gold American Eagle,397604241222,"Feb 22, 2026",$574.42,$0.00,,,Auction,https://www.ebay.com/itm/397604241222,1
2024 $5 1/10 oz Gold Eagle Coin Lot 021043,326983320129,"Feb 22, 2026",$578.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326983320129,1
2024 $5 1/10 oz Gold Eagle Coin NGC MS70 Lot 140606,227217408798,"Feb 22, 2026",$610.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227217408798,1
2024 $5 1/10 oz Gold Eagle Coin NGC MS70 Lot 010655,326981361647,"Feb 22, 2026",$610.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326981361647,1
2024 U.S. $5 GOLD AMERICAN EAGLE - 1/10 oz. - NGC SLABBED - MS69,287152514013,"Feb 21, 2026",$555.00,$5.39,,,Fixed price,https://www.ebay.com/itm/287152514013,1
2024 $5 American Gold Eagle PCGS MS70 First Strike Flag Rare 1 of 4597 Mint!,267579381006,"Feb 20, 2026",$600.00,$5.07,,,Auction,https://www.ebay.com/itm/267579381006,1
"1/10 oz. American Gold Eagles Lot of 5 (1995,1998,2003,2016,2024)",358222128159,"Feb 20, 2026","$2,600.00",$0.00,,,Auction,https://www.ebay.com/itm/358222128159,1
2024 Gold $5 Gold American Eagle 1/10 oz.,389649084079,"Feb 20, 2026",$532.00,$0.00,,,Auction,https://www.ebay.com/itm/389649084079,1
2024-W American Eagle $5 GOLD NGC PF70 : GEM Coin 1/10 Oz Bullion MOY : 10221,187965967437,"Feb 19, 2026",$645.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187965967437,1
