Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Indian Head Cent Good-VG Random Date,374334047820,2/8/2026,$61.51,Free,Circulated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/374334047820
Indian Head Cent BU Uncirculated,216507626528,12/4/2025,$123.94,$5.99,Uncirculated,bullionshark,Auction,https://www.ebay.com/itm/216507626528
Indian Head Cent NGC MS-64 RB,385270546092,2/21/2026,$211.35,Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/385270546092
Indian Head Cent Good-VG Random Date,160477465482,12/2/2025,$63.23,Free,Circulated,jmbullion,Best Offer,https://www.ebay.com/itm/160477465482
Indian Head Cent Good-VG Random Date,218526877160,12/26/2025,$62.43,Free,Circulated,goldhillcoins,Auction,https://www.ebay.com/itm/218526877160
Indian Head Cent Fine-VF,330152115203,12/11/2025,$68.35,Free,Circulated,silvertowne,Auction,https://www.ebay.com/itm/330152115203
Indian Head Cent XF-AU,263920278774,1/26/2026,$88.58,Free,Circulated,bullionshark,Auction,https://www.ebay.com/itm/263920278774
Indian Head Cent Good-VG Random Date,112949174042,12/2/2025,$63.45,Free,Circulated,keydate_coins,Buy It Now,https://www.ebay.com/itm/112949174042
Indian Head Cent Good-VG Random Date,179520098144,12/6/2025,$62.65,Free,Circulated,mcm_online,Buy It Now,https://www.ebay.com/itm/179520098144
Indian Head Cent Fine-VF,256218696438,2/6/2026,$69.92,Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/256218696438
Indian Head Cent Good-VG Random Date,228875882114,12/24/2025,$65.06,Free,Circulated,bullionshark,Buy It Now,https://www.ebay.com/itm/228875882114
Indian Head Cent Good-VG Random Date,108722141682,1/31/2026,$62.96,Free,Circulated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/108722141682
Indian Head Cent Good-VG Random Date,305171801336,11/30/2025,$64.71,$4.99,Circulated,liberty_coin,Best Offer,https://www.ebay.com/itm/305171801336
Indian Head Cent PCGS MS-63 BN,243294508445,12/19/2025,$127.70,Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/243294508445
Indian Head Cent Good-VG Random Date,127605632161,1/13/2026,$65.32,$4.99,Circulated,jmbullion,Buy It Now,https://www.ebay.com/itm/127605632161
Indian Head Cent Fine-VF,160269408728,2/6/2026,$74.86,$3.99,Circulated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/160269408728
Indian Head Cent Fine-VF,355198814190,12/1/2025,$74.69,Free,Circulated,keydate_coins,Best Offer,https://www.ebay.com/itm/355198814190
Indian Head Cent NGC XF-40,220193121831,11/28/2025,$102.12,Free,Certified,bullionshark,Auction,https://www.ebay.com/itm/220193121831
Indian Head Cent Fine-VF,100447298700,2/1/2026,$68.30,Free,Circulated,greatcollections,Buy It Now,https://www.ebay.com/itm/100447298700
Indian Head Cent Good-VG Random Date,380151426991,12/9/2025,$65.18,Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/380151426991
