Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1/10 oz American Gold Eagle $5 Coin (Random Year),176038891530,"Apr 6, 2026",$528.61,$0.00,,,Fixed price,https://www.ebay.com/itm/176038891530
2026 1/10 oz American Gold Eagle Coin $5 (BU),177682411371,"Apr 3, 2026",$605.47,$0.00,,,Fixed price,https://www.ebay.com/itm/177682411371
1/10 oz American Gold Eagle Coin $5 BU - Random Year,297325569120,"Apr 6, 2026",$535.25,$0.00,,,Fixed price,https://www.ebay.com/itm/297325569120
1/10 oz American Gold Eagle Coin BU (Random Year),126124829455,"Apr 6, 2026",$556.60,$49.99,,,Fixed price,https://www.ebay.com/itm/126124829455
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Mar 31, 2026","$1,286.62",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428
2026 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle .9167 Fine Coin,206001843668,"Apr 5, 2026",$539.70,$0.00,,,Fixed price,https://www.ebay.com/itm/206001843668
American Gold Eagle Proof 1/10 oz $5 - Coin in Capsule - Random Date,305690894883,"Mar 30, 2026",$530.80,$0.00,,,Fixed price,https://www.ebay.com/itm/305690894883
American Gold Eagle Proof 1/10 oz $5 - Coin in OGP - Random Date,405824564097,"Mar 30, 2026",$516.31,$0.00,,,Fixed price,https://www.ebay.com/itm/405824564097
2026 American Gold Eagle 1/10 oz $5 - BU,406597727963,"Apr 4, 2026",$570.58,$0.00,,,Fixed price,https://www.ebay.com/itm/406597727963
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 2, 2026","$1,303.74",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126
Random Date 1986-2026 $5 American Gold Eagle - 1/10 Oz Gold US Mint BU,134554630342,"Apr 5, 2026",$555.28,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342
2026 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,205844257928,"Apr 5, 2026",$544.74,$0.00,,,Fixed price,https://www.ebay.com/itm/205844257928
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 1, 2026","$1,340.59",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508
$5 American Gold Eagle 1/10 oz Random Year Brilliant Uncirculated,317033453861,"Apr 1, 2026",$524.25,$0.00,,,Fixed price,https://www.ebay.com/itm/317033453861
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,331.89",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 6, 2026","$1,301.69",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,284.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439
1/10 oz American Gold Eagle Coin Random Year (BU) $5 Gold Coin #A618,145664097350,"Apr 1, 2026",$553.72,$0.00,,,Fixed price,https://www.ebay.com/itm/145664097350
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,339.28",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823
2026 W Gold American Eagle One-Tenth Ounce PCGS PR70DCAM FDI W/OGP #255,137107581250,"Apr 3, 2026",$937.30,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581250
Random Year $5 1/10 oz Proof American Gold Eagle in Capsule Coin,297127088468,"Apr 3, 2026",$517.81,$0.00,,,Fixed price,https://www.ebay.com/itm/297127088468
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 4, 2026","$1,278.85",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806
2026 W $5 Gold American Eagle 1/10 oz Proof Coin NGC PF70 First Day of Issue,147224864229,"Apr 5, 2026",$944.26,$0.00,,,Fixed price,https://www.ebay.com/itm/147224864229
1776-2026 W Proof $5 American Gold Eagle 1/10 oz NGC PF70UC First Day Bell,168170151305,"Apr 3, 2026","$1,168.48",$0.00,,,Fixed price,https://www.ebay.com/itm/168170151305
American Gold Eagle 1/4 oz $10 - NGC MS70 Random Date and Label,375364348272,"Mar 25, 2026","$1,277.54",$0.00,,,Fixed price,https://www.ebay.com/itm/375364348272
2026 W Gold American Eagle One-Tenth Ounce PCGS PR70DCAM W/OGP #948,137107581253,"Apr 6, 2026",$885.60,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581253
American Gold Eagle 1/10 oz $5 - NGC MS70 Random Date and Label,305506002247,"Apr 3, 2026",$563.77,$0.00,,,Fixed price,https://www.ebay.com/itm/305506002247
Random Year - 1/10 oz Gold American Eagle $5 Coin Uncirculated BU,233573165678,"Mar 30, 2026",$525.09,$0.00,,,Fixed price,https://www.ebay.com/itm/233573165678
Random Year $10 1/4 oz American Gold Eagle Uncirculated Coin BU,296070736276,"Mar 26, 2026","$1,341.11",$0.00,,,Fixed price,https://www.ebay.com/itm/296070736276
Random Year $10 1/4 oz Proof American Gold Eagle in Capsule Coin,297127647676,"Apr 4, 2026","$1,257.39",$0.00,,,Fixed price,https://www.ebay.com/itm/297127647676
2026 1/10 oz American Gold Eagle Coin BU,297852751754,"Apr 6, 2026",$545.33,$0.00,,,Fixed price,https://www.ebay.com/itm/297852751754
2026 W Gold American Eagle One-Tenth Ounce PCGS PR70DCAM FDI #948,137107581248,"Apr 5, 2026",$917.49,$0.00,,,Fixed price,https://www.ebay.com/itm/137107581248
1/10 oz American Gold Eagle Coin ...Random Year (BU) $5 Gold Coin,317993646646,"Mar 17, 2026",$554.12,$10.62,,,Fixed price,https://www.ebay.com/itm/317993646646
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 4, 2026","$1,265.99",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351
Random Year $5 1/10 oz American Gold Eagle Uncirculated Coin BU,375031786154,"Mar 22, 2026",$517.68,$0.00,,,Fixed price,https://www.ebay.com/itm/375031786154
American Gold Eagle 1/10 oz $5 - NGC MS69 Random Date and Label,404890978429,"Mar 31, 2026",$557.33,$0.00,,,Fixed price,https://www.ebay.com/itm/404890978429
American Gold Eagle Coin Proof 1/10 oz $5 - NGC PF70 Random Date and Label,405954289374,"Mar 23, 2026",$564.20,$0.00,,,Fixed price,https://www.ebay.com/itm/405954289374
2026 1/10 oz American Gold Eagle Coin BU,116982041409,"Mar 28, 2026",$562.75,$0.00,,,Fixed price,https://www.ebay.com/itm/116982041409
2009-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168198780148,"Apr 3, 2026","$1,365.80",$12.99,,,Fixed price,https://www.ebay.com/itm/168198780148
2025-W Proof $5 American Gold Eagle 1/10 oz PCGS PR70DCAM FS Flag Label,176942435806,"Mar 31, 2026",$675.00,$0.00,,,Fixed price,https://www.ebay.com/itm/176942435806
2015 $5 American Gold Eagle 1/10 oz PCGS MS70 FS Label,177034713257,"Apr 3, 2026",$584.23,$0.00,,,Fixed price,https://www.ebay.com/itm/177034713257
2026 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle .9167 Fine Coin,206001814577,"Apr 5, 2026","$1,286.20",$0.00,,,Fixed price,https://www.ebay.com/itm/206001814577
2026 W Gold American Eagle 1/10 oz Proof Coin W/OGP SEALED,206171108567,"Apr 5, 2026",$800.56,$0.00,,,Fixed price,https://www.ebay.com/itm/206171108567
2026 $5 GOLD AMERICAN EAGLE ✪ NGC MS-70 ✪ 1/10 OZ COIN EDC RED CORE ◢TRUSTED◣,257432333058,"Apr 2, 2026",$549.95,$0.00,,,Fixed price,https://www.ebay.com/itm/257432333058
American Gold Eagle 1/10 oz $5 - PCGS MS70 Random Date and Label,305683022746,"Apr 2, 2026",$562.70,$0.00,,,Fixed price,https://www.ebay.com/itm/305683022746
2001 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,317017776196,"Mar 26, 2026",$588.60,$0.00,,,Fixed price,https://www.ebay.com/itm/317017776196
American Gold Eagle 1/4 oz $10 - Cull Condition - Random Date,405294791770,"Mar 25, 2026","$1,353.03",$0.00,,,Fixed price,https://www.ebay.com/itm/405294791770
US Mint Presentation Case For 1/10 oz Gold American Eagle Coin Display Gift Box,114118996658,"Apr 3, 2026",$11.66,$0.00,,,Fixed price,https://www.ebay.com/itm/114118996658
2025 1/10 oz American Gold Eagle MS-70 PCGS (FirstStrike®),116435685915,"Mar 31, 2026",$634.70,$0.00,,,Fixed price,https://www.ebay.com/itm/116435685915
Guardhouse 1/10 Oz $5 American Gold Eagle Direct Fit Capsules 10 per Box,124550746400,"Apr 2, 2026",$10.75,$0.00,,,Fixed price,https://www.ebay.com/itm/124550746400
1/10 oz American Gold Eagle $5 Coin (Random Year),176038891530,"Apr 12, 2026",$507.02,$0.00,,,Fixed price,https://www.ebay.com/itm/176038891530,"1,022"
1/10 oz American Gold Eagle Coin $5 BU - Random Year,297325569120,"Apr 12, 2026",$521.87,$0.00,,,Fixed price,https://www.ebay.com/itm/297325569120,925
1/10 oz American Gold Eagle Coin BU (Random Year),126124829455,"Apr 12, 2026",$538.86,$50.09,,,Fixed price,https://www.ebay.com/itm/126124829455,556
2026 American Gold Eagle 1/10 oz $5 - BU,406597727963,"Apr 12, 2026",$582.45,$0.00,,,Fixed price,https://www.ebay.com/itm/406597727963,463
American Gold Eagle (1/10 oz) $5 - BU - Random Date,371881303372,"Apr 12, 2026",$486.90,$0.00,,,Fixed price,https://www.ebay.com/itm/371881303372,490
2026 1/10 oz American Gold Eagle Coin $5 (BU),177682411371,"Apr 7, 2026",$592.91,$0.00,,,Fixed price,https://www.ebay.com/itm/177682411371,263
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Apr 7, 2026","$1,221.65",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428,305
American Gold Eagle (1/4 oz) $10 - BU - Random Date,302367181138,"Apr 11, 2026","$1,153.86",$0.00,,,Fixed price,https://www.ebay.com/itm/302367181138,309
American Gold Eagle Proof 1/10 oz $5 - Coin in Capsule - Random Date,305690894883,"Apr 10, 2026",$498.45,$0.00,,,Fixed price,https://www.ebay.com/itm/305690894883,292
2026 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,205844257928,"Apr 9, 2026",$562.34,$0.00,,,Fixed price,https://www.ebay.com/itm/205844257928,202
2025 1/10 oz American Gold Eagle $5 Coin (BU),387696206557,"Jan 17, 2026",$488.99,$0.00,,,Fixed price,https://www.ebay.com/itm/387696206557,201
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 12, 2026","$1,219.34",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115,223
1/10 oz American Gold Eagle Coin Random Year (BU) $5 Gold Coin #A618,145664097350,"Apr 7, 2026",$560.26,$0.00,,,Fixed price,https://www.ebay.com/itm/145664097350,282
American Gold Eagle Proof 1/10 oz $5 - Coin in OGP - Random Date,405824564097,"Apr 8, 2026",$497.07,$0.00,,,Fixed price,https://www.ebay.com/itm/405824564097,189
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,387.36",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706,183
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 8, 2026","$1,327.46",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126,148
$5 American Gold Eagle 1/10 oz Random Year Brilliant Uncirculated,317033453861,"Apr 10, 2026",$551.60,$0.00,,,Fixed price,https://www.ebay.com/itm/317033453861,156
2026 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle .9167 Fine Coin,206001843668,"Apr 11, 2026",$560.53,$0.00,,,Fixed price,https://www.ebay.com/itm/206001843668,117
Random Date 1986-2026 $5 American Gold Eagle - 1/10 Oz Gold US Mint BU,134554630342,"Apr 12, 2026",$535.09,$0.00,,,Fixed price,https://www.ebay.com/itm/134554630342,147
2025 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated,316004995981,"Apr 11, 2026",$495.97,$0.00,,,Fixed price,https://www.ebay.com/itm/316004995981,127
2025 American Gold Eagle 1/10 oz $5 - BU,375924560408,"Jan 1, 2026",$489.20,$0.00,,,Fixed price,https://www.ebay.com/itm/375924560408,122
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,371.47",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823,79
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated Random Year,177225469357,"Apr 12, 2026","$1,193.12",$0.00,,,Fixed price,https://www.ebay.com/itm/177225469357,82
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,236.36",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439,72
2025 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle BU Coin,401478525905,"Jan 22, 2026",$488.47,$7.50,,,Fixed price,https://www.ebay.com/itm/401478525905,81
American Gold Eagle (AGE) 1/10 oz Gold Coin (Random Year),126436287777,"Mar 10, 2026",$516.13,$0.00,,,Fixed price,https://www.ebay.com/itm/126436287777,76
2025 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,316004995776,"Jan 29, 2026","$1,232.69",$0.00,,,Fixed price,https://www.ebay.com/itm/316004995776,67
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 8, 2026","$1,365.28",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351,70
2025 American Gold Eagle 1/4 oz $10 - BU,306040981921,"Jan 10, 2026","$1,196.03",$0.00,,,Fixed price,https://www.ebay.com/itm/306040981921,86
2025 1/10 oz American Gold Eagle Coin (BU) “Not Random”,358064934503,"Jan 18, 2026",$507.17,$0.00,,,Fixed price,https://www.ebay.com/itm/358064934503,93
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 11, 2026","$1,297.55",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806,82
2026 Gold 1/10 oz Gold American Eagle $5 US Mint Gold Eagle .9167 Fine Coin,287150780089,"Mar 12, 2026",$584.52,$0.00,,,Fixed price,https://www.ebay.com/itm/287150780089,59
1/4 oz American Gold Eagle Coin BU - Random Year - $10 US Gold,297174346410,"Apr 1, 2026","$1,261.65",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346410,58
Random Year - 1/10 oz Gold American Eagle $5 Coin Uncirculated BU,233573165678,"Mar 30, 2026",$490.88,$0.00,,,Fixed price,https://www.ebay.com/itm/233573165678,53
Empty US Mint 1/10 oz American Gold Eagle Tube (Weak Lid Impression) - No Coins,127593496614,"Feb 27, 2026",$8.31,$4.38,,,Fixed price,https://www.ebay.com/itm/127593496614,73
American Gold Eagle 1/10 oz $5 - NGC MS70 Random Date and Label,305506002247,"Apr 3, 2026",$550.65,$0.00,,,Fixed price,https://www.ebay.com/itm/305506002247,280
American Gold Eagle 1/10 oz $5 - NGC MS69 Random Date and Label,404890978429,"Apr 12, 2026",$545.79,$0.00,,,Fixed price,https://www.ebay.com/itm/404890978429,76
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 10, 2026","$1,349.08",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508,47
1/10 oz Gold American Eagle $5 US Mint Gold Eagle Coin Random Date,203643692614,"Mar 25, 2026",$504.85,$12.00,,,Fixed price,https://www.ebay.com/itm/203643692614,39
,,"Dec 24, 2025",$488.23,$0.00,,,Fixed price,,49
Random Year $5 1/10 oz American Gold Eagle Uncirculated Coin BU,375031786154,"Mar 22, 2026",$532.16,$0.00,,,Fixed price,https://www.ebay.com/itm/375031786154,70
American Gold Eagle 1/4 oz $10 - NGC MS70 Random Date and Label,375364348272,"Apr 11, 2026","$1,275.59",$0.00,,,Fixed price,https://www.ebay.com/itm/375364348272,67
2026 1/10th oz $5 Gold American Eagle Coin BU,365337328874,"Apr 1, 2026",$508.40,$49.95,,,Fixed price,https://www.ebay.com/itm/365337328874,31
2026 1/10 oz. American Gold Eagle BU & 1 oz American Silver Eagle BU,334104253541,"Apr 11, 2026",$603.79,$0.00,,,Fixed price,https://www.ebay.com/itm/334104253541,29
1/10 oz American Gold Eagle MS-70 NGC (Random Year),126053499378,"Mar 8, 2026",$642.56,$0.00,,,Fixed price,https://www.ebay.com/itm/126053499378,31
2026 $5 1/10-oz American Gold Eagle Brilliant Uncirculated,146970072496,"Apr 10, 2026",$563.59,$0.00,,,Fixed price,https://www.ebay.com/itm/146970072496,31
1/4 oz American Gold Eagle Coin - Random Year (BU) $10 Gold Coin #A628,315271630065,"Dec 14, 2025","$1,160.34",$0.00,,,Fixed price,https://www.ebay.com/itm/315271630065,34
American Gold Eagle Coin Proof 1/10 oz $5 - NGC PF70 Random Date and Label,405954289374,"Mar 23, 2026",$549.55,$0.00,,,Fixed price,https://www.ebay.com/itm/405954289374,60
US Mint Presentation Case For 1/10 oz Gold American Eagle Coin Display Gift Box,114118996658,"Apr 6, 2026",$11.68,$0.00,,,Fixed price,https://www.ebay.com/itm/114118996658,33
Guardhouse 1/10 Oz $5 American Gold Eagle Direct Fit Capsules 10 per Box,124550746400,"Apr 2, 2026",$10.08,$0.00,,,Fixed price,https://www.ebay.com/itm/124550746400,25
