Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Mar 31, 2026","$1,286.62",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428
1/4 oz American Gold Eagle Coin BU (Random Year),146670377002,"Apr 2, 2026","$1,287.71",$0.00,,,Fixed price,https://www.ebay.com/itm/146670377002
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 2, 2026","$1,303.74",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 1, 2026","$1,340.59",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,331.89",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 6, 2026","$1,301.69",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115
2026 1/4 oz American Gold Eagle Coin BU,127621919942,"Apr 6, 2026","$1,358.75",$0.00,,,Fixed price,https://www.ebay.com/itm/127621919942
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,284.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,339.28",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 4, 2026","$1,278.85",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806
American Gold Eagle 1/4 oz $10 - NGC MS70 Random Date and Label,375364348272,"Mar 25, 2026","$1,277.54",$0.00,,,Fixed price,https://www.ebay.com/itm/375364348272
Random Year $10 1/4 oz American Gold Eagle Uncirculated Coin BU,296070736276,"Mar 26, 2026","$1,341.11",$0.00,,,Fixed price,https://www.ebay.com/itm/296070736276
Random Year $10 1/4 oz Proof American Gold Eagle in Capsule Coin,297127647676,"Apr 4, 2026","$1,257.39",$0.00,,,Fixed price,https://www.ebay.com/itm/297127647676
2026 1/4 oz American Gold Eagle Coin BU,297852751759,"Mar 21, 2026","$1,368.22",$0.00,,,Fixed price,https://www.ebay.com/itm/297852751759
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 4, 2026","$1,265.99",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351
2009-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168198780148,"Apr 3, 2026","$1,365.80",$12.99,,,Fixed price,https://www.ebay.com/itm/168198780148
2026 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle .9167 Fine Coin,206001814577,"Apr 5, 2026","$1,286.20",$0.00,,,Fixed price,https://www.ebay.com/itm/206001814577
American Gold Eagle 1/4 oz $10 - Cull Condition - Random Date,405294791770,"Mar 25, 2026","$1,353.03",$0.00,,,Fixed price,https://www.ebay.com/itm/405294791770
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated Random Year,177225469357,"Mar 20, 2026","$1,277.44",$0.00,,,Fixed price,https://www.ebay.com/itm/177225469357
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDI NGC PF70 (1776-2026),257373612152,"Apr 4, 2026","$14,871.25",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612152
2026-W Proof Gold Eagle 250 Liberty Bell 4-Coin Set FDD CAC PR70 (1776-2026),257373612482,"Apr 5, 2026","$14,871.25",$0.00,,,Fixed price,https://www.ebay.com/itm/257373612482
1/4 oz American Gold Eagle Coin BU - Random Year - $10 US Gold,297174346410,"Apr 1, 2026","$1,310.23",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346410
2022 $10 American Gold Eagle - 1/4 oz AGE,336472731599,"Mar 20, 2026","$1,294.91",$0.00,,,Fixed price,https://www.ebay.com/itm/336472731599
2020 1/4 oz American Gold Eagle BU- NO RESERVE,336491944431,"Mar 23, 2026","$1,205.25",$8.99,,,Fixed price,https://www.ebay.com/itm/336491944431
American Gold Eagle 1/4 oz $10 - PCGS MS70 Random Date and Label,375552718373,"Mar 29, 2026","$1,281.64",$0.00,,,Fixed price,https://www.ebay.com/itm/375552718373
2024 $10 American Gold Eagle 1/4 oz NGC MS69 Black Label,176063595739,"Mar 23, 2026","$1,270.34",$0.00,,,Fixed price,https://www.ebay.com/itm/176063595739
Air Tite 1/4 oz American Gold Eagle Direct Fit Coin Capsule - 22mm (1),284033202080,"Mar 25, 2026",$1.75,$6.25,,,Fixed price,https://www.ebay.com/itm/284033202080
"1/4 oz Proof American Gold Eagle Coin PR/PF70 (Random Year, PCGS or NGC)",388386172913,"Apr 5, 2026","$1,401.07",$0.00,,,Fixed price,https://www.ebay.com/itm/388386172913
2026 $10 1/4-oz American Gold Eagle Brilliant Uncirculated,389246127745,"Mar 22, 2026","$1,326.33",$0.00,,,Fixed price,https://www.ebay.com/itm/389246127745
2023 1/4 oz American Gold Eagle Coin BU,115667874998,"Mar 20, 2026","$1,336.02",$0.00,,,Fixed price,https://www.ebay.com/itm/115667874998
2024 $10 1/4-oz American Gold Eagle NGC MS69 Brown Label,134957414207,"Mar 23, 2026","$1,274.51",$0.00,,,Fixed price,https://www.ebay.com/itm/134957414207
1998 1/4 oz American Gold Eagle BU,141893025704,"Mar 20, 2026","$1,416.84",$0.00,,,Fixed price,https://www.ebay.com/itm/141893025704
2025 1/4 oz American Gold Eagle Coin BU,146291126793,"Apr 1, 2026","$1,328.76",$0.00,,,Fixed price,https://www.ebay.com/itm/146291126793
2015-P $10 Face 1/4 oz Gold American Mint Uncirculated Coin .99 Fine Gold,168202367410,"Apr 1, 2026","$1,308.92",$12.99,,,Fixed price,https://www.ebay.com/itm/168202367410
2024 $10 American Gold Eagle 1/4 oz PCGS MS69 Blue Label,176063598758,"Mar 20, 2026","$1,332.35",$0.00,,,Fixed price,https://www.ebay.com/itm/176063598758
2026 W AMERICAN EAGLE ONE-QUARTER OUNCE GOLD PROOF LIBERTY BELL PRIVY DUAL DATE,188138849564,"Apr 1, 2026","$1,822.25",$0.00,,,Fixed price,https://www.ebay.com/itm/188138849564
"1/10, 1/4, 1/2 & 1 OZ - US MINT GOLD/PLATINUM AMERICAN EAGLE & BUFFALO COIN CAPS",205696328520,"Mar 26, 2026",$17.04,$0.00,,,Fixed price,https://www.ebay.com/itm/205696328520
2024 $10 American Gold Eagle 1/4 oz NGC MS70 ALS Label,314992751797,"Mar 23, 2026","$1,314.50",$0.00,,,Fixed price,https://www.ebay.com/itm/314992751797
2026 1/4 oz American Gold Eagle Coin $10 (BU),389381955093,"Mar 31, 2026","$1,383.19",$0.00,,,Fixed price,https://www.ebay.com/itm/389381955093
Empty US Mint Capsule 1/4 oz - Fits Gold American Eagles Buffalo Platinum Coins,112285324284,"Mar 7, 2026",$4.97,$2.99,,,Fixed price,https://www.ebay.com/itm/112285324284
2000 1/4 oz American Gold Eagle BU,112615755994,"Mar 19, 2026","$1,407.39",$0.00,,,Fixed price,https://www.ebay.com/itm/112615755994
US Mint Presentation Gift Display Case For 1/4 oz Gold American Eagle Coin Box,113130660330,"Mar 9, 2026",$12.94,$0.00,,,Fixed price,https://www.ebay.com/itm/113130660330
2000 1/4 oz American Gold Eagle MS-70 NGC,116701880183,"Mar 23, 2026","$1,317.18",$0.00,,,Fixed price,https://www.ebay.com/itm/116701880183
"2026 1/4 oz American Gold Eagle MS-69 NGC (ER, 40th Anniversary)",116973302566,"Mar 31, 2026","$1,367.61",$0.00,,,Fixed price,https://www.ebay.com/itm/116973302566
1986 1/4 oz American Gold Eagle MS-69 NGC,126114370268,"Mar 24, 2026","$1,360.30",$0.00,,,Fixed price,https://www.ebay.com/itm/126114370268
10 Guardhouse Tetra 2x2 Coin Snaplock Holder 1/4 oz. $10 American Gold Eagle,127480970737,"Apr 6, 2026",$10.88,$0.00,,,Fixed price,https://www.ebay.com/itm/127480970737
14k Gold 1/4 oz American Eagle Screw Top Coin Bezel Charm 22x1.9- 1.6g Tw,127681305478,"Mar 12, 2026",$200.00,$8.00,,,Fixed price,https://www.ebay.com/itm/127681305478
2021 W $10 Type 2 American Gold Eagle 1/4 oz NGC FDI First Label,127727224463,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224463
2022 W $10 American Gold Eagle 1/4 Oz Gold Coin,127727224966,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224966
American Gold Eagle Proof 1/4 oz $10 - Coin in Capsule - Random Date,305692394428,"Apr 7, 2026","$1,221.65",$0.00,,,Fixed price,https://www.ebay.com/itm/305692394428,305
American Gold Eagle (1/4 oz) $10 - BU - Random Date,302367181138,"Apr 11, 2026","$1,153.86",$0.00,,,Fixed price,https://www.ebay.com/itm/302367181138,309
1/4 oz American Gold Eagle Coin BU (Random Year),146670377002,"Apr 11, 2026","$1,254.68",$0.00,,,Fixed price,https://www.ebay.com/itm/146670377002,186
1/4 oz American Gold Eagle $10 Coin (Random Year),386299955115,"Apr 12, 2026","$1,219.34",$0.00,,,Fixed price,https://www.ebay.com/itm/386299955115,223
2026 American Gold Eagle 1/4 oz $10 - BU,406592996706,"Mar 26, 2026","$1,387.36",$0.00,,,Fixed price,https://www.ebay.com/itm/406592996706,183
American Gold Eagle Proof 1/4 oz $10 - Coin in OGP - Random Date,376211949126,"Apr 8, 2026","$1,327.46",$0.00,,,Fixed price,https://www.ebay.com/itm/376211949126,148
2026 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,317533509823,"Mar 23, 2026","$1,371.47",$0.00,,,Fixed price,https://www.ebay.com/itm/317533509823,79
$10 American Gold Eagle 1/4 oz Brilliant Uncirculated Random Year,177225469357,"Apr 12, 2026","$1,193.12",$0.00,,,Fixed price,https://www.ebay.com/itm/177225469357,82
American Gold Eagle Coin Proof 1/4 oz $10 - NGC PF70 Random Date and Label,306302894439,"Apr 2, 2026","$1,236.36",$0.00,,,Fixed price,https://www.ebay.com/itm/306302894439,72
2025 $10 American Gold Eagle 1/4 oz Brilliant Uncirculated,316004995776,"Jan 29, 2026","$1,232.69",$0.00,,,Fixed price,https://www.ebay.com/itm/316004995776,67
Random Date 1986-2026 $10 American Gold Eagle - 1/4 Oz. Gold - U.S. Gold Coin,364348308351,"Apr 8, 2026","$1,365.28",$0.00,,,Fixed price,https://www.ebay.com/itm/364348308351,70
2025 American Gold Eagle 1/4 oz $10 - BU,306040981921,"Jan 10, 2026","$1,196.03",$0.00,,,Fixed price,https://www.ebay.com/itm/306040981921,86
American Gold Eagle 1/4 oz $10 - NGC MS69 Random Date and Label,404887927806,"Apr 11, 2026","$1,297.55",$0.00,,,Fixed price,https://www.ebay.com/itm/404887927806,82
1/4 oz American Gold Eagle Coin BU - Random Year - $10 US Gold,297174346410,"Apr 1, 2026","$1,261.65",$0.00,,,Fixed price,https://www.ebay.com/itm/297174346410,58
Random Year - 1/4 oz Gold American Eagle $10 Coin BU,233681915508,"Apr 10, 2026","$1,349.08",$0.00,,,Fixed price,https://www.ebay.com/itm/233681915508,47
2026 1/4 oz American Gold Eagle Coin BU,127621919942,"Apr 9, 2026","$1,394.86",$49.99,,,Fixed price,https://www.ebay.com/itm/127621919942,34
American Gold Eagle 1/4 oz $10 - NGC MS70 Random Date and Label,375364348272,"Apr 11, 2026","$1,275.59",$0.00,,,Fixed price,https://www.ebay.com/itm/375364348272,67
"1/4 oz American Gold Eagle MS70 (Random Year, Varied Label, PCGS or NGC)",176690358377,"Mar 30, 2026","$1,261.44",$0.00,,,Fixed price,https://www.ebay.com/itm/176690358377,45
1/4 oz American Gold Eagle Coin - Random Year (BU) $10 Gold Coin #A628,315271630065,"Dec 14, 2025","$1,160.34",$0.00,,,Fixed price,https://www.ebay.com/itm/315271630065,34
2026 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle .9167 Fine Coin,206001814577,"Apr 5, 2026","$1,387.00",$0.00,,,Fixed price,https://www.ebay.com/itm/206001814577,25
22mm Airtite Coin Capsule Holder Black Ring for 1/4 oz Gold American Eagle,145416620211,"Mar 31, 2026",$1.76,$4.67,,,Fixed price,https://www.ebay.com/itm/145416620211,70
2025 1/4 oz American Gold Eagle Coin BU,146291126793,"Apr 1, 2026","$1,338.05",$0.00,,,Fixed price,https://www.ebay.com/itm/146291126793,22
2026 1/4 oz American Gold Eagle Coin BU,297852751759,"Mar 21, 2026","$1,426.38",$0.00,,,Fixed price,https://www.ebay.com/itm/297852751759,21
American Gold Eagle 1/4 oz $10 - Cull Condition - Random Date,405294791770,"Mar 25, 2026","$1,224.71",$0.00,,,Fixed price,https://www.ebay.com/itm/405294791770,19
Air Tite 1/4 oz American Gold Eagle Direct Fit Coin Capsule - 22mm (1),284033202080,"Apr 12, 2026",$1.75,$5.01,,,Fixed price,https://www.ebay.com/itm/284033202080,28
American Gold Eagle 1/4 oz $10 - PCGS MS70 Random Date and Label,375552718373,"Apr 12, 2026","$1,313.65",$0.00,,,Fixed price,https://www.ebay.com/itm/375552718373,30
2025 1/4 oz American Gold Eagle $10 Coin (BU),387696206560,"Apr 10, 2026","$1,214.04",$0.00,,,Fixed price,https://www.ebay.com/itm/387696206560,21
Coin Bezel 1/4 oz. American Gold Eagle Reeded Edge 14K Gold Filled Soldered Bail,356664665088,"Apr 9, 2026",$45.20,$9.30,,,Fixed price,https://www.ebay.com/itm/356664665088,18
American Gold Eagle 1/4 oz $10 - PCGS MS69 Random Date and Label,375564317391,"Mar 23, 2026","$1,259.07",$0.00,,,Fixed price,https://www.ebay.com/itm/375564317391,19
2026 1/4 oz American Gold Eagle Coin $10 (BU),389381955093,"Apr 12, 2026","$1,332.26",$0.00,,,Fixed price,https://www.ebay.com/itm/389381955093,19
"1/4 oz Proof American Gold Eagle Coin (Random Year, Capsules Only)",395842614342,"Jan 17, 2026","$1,157.81",$0.00,,,Fixed price,https://www.ebay.com/itm/395842614342,17
US Mint Presentation Case For 1/4 oz Gold American Eagle Coin Display Gift Box,405192613184,"Apr 12, 2026",$12.70,$26.16,,,Fixed price,https://www.ebay.com/itm/405192613184,17
Random Year $10 1/4 oz Proof American Gold Eagle in Capsule Coin,297127647676,"Apr 7, 2026","$1,279.02",$0.00,,,Fixed price,https://www.ebay.com/itm/297127647676,15
2025 $10 1/4-oz American Gold Eagle BU,387655928897,"Jan 18, 2026","$1,225.02",$0.00,,,Fixed price,https://www.ebay.com/itm/387655928897,16
12 Pack 22 mm Slab Coin Holders For US 1/4 Oz Gold Platinum American Eagle,405798170259,"Mar 17, 2026",$16.31,$24.87,,,Fixed price,https://www.ebay.com/itm/405798170259,14
2023 1/4 oz American Gold Eagle Coin BU,115667874998,"Mar 20, 2026","$1,418.96",$0.00,,,Fixed price,https://www.ebay.com/itm/115667874998,11
Random Year $10 1/4 oz American Gold Eagle Uncirculated Coin BU,296070736276,"Mar 26, 2026","$1,284.95",$0.00,,,Fixed price,https://www.ebay.com/itm/296070736276,12
2025 Gold 1/4 oz Gold American Eagle $10 US Mint Gold Eagle BU Coin,203783717704,"Jan 23, 2026","$1,241.98",$0.00,,,Fixed price,https://www.ebay.com/itm/203783717704,10
US Mint Presentation Gift Display Case For 1/4 oz Gold American Eagle Coin Box,113130660330,"Mar 9, 2026",$12.85,$0.00,,,Fixed price,https://www.ebay.com/itm/113130660330,10
2025 1/4 oz $10 Gold American Eagle Coin BU,335766502688,"Jan 11, 2026","$1,269.77",$0.00,,,Fixed price,https://www.ebay.com/itm/335766502688,12
2010 1/4 oz American Gold Eagle BU,141637585955,"Jan 6, 2026","$1,268.17",$0.00,,,Fixed price,https://www.ebay.com/itm/141637585955,8
REAL Gold 1/4 oz American Eagle Screw Top Coin Bezel Pendant Charm 22x1.9 mm,286085558279,"Jan 20, 2026",$282.45,$0.00,,,Fixed price,https://www.ebay.com/itm/286085558279,8
2026 $10 1/4-oz American Gold Eagle Brilliant Uncirculated,389246127745,"Mar 22, 2026","$1,341.36",$0.00,,,Fixed price,https://www.ebay.com/itm/389246127745,9
1998 1/4 oz American Gold Eagle BU,141893025704,"Mar 20, 2026","$1,286.78",$0.00,,,Fixed price,https://www.ebay.com/itm/141893025704,7
2025-W Proof $10 American Gold Eagle 1/4 oz NGC PF70UC ER Blue Label,177735947758,"Feb 18, 2026","$1,517.00",$0.00,,,Fixed price,https://www.ebay.com/itm/177735947758,7
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,316514005096,"Apr 9, 2026","$1,388.53",$0.00,,,Fixed price,https://www.ebay.com/itm/316514005096,7
1/4 oz American Gold Eagle MS-69 NGC (Random Year),126200135239,"Mar 5, 2026","$1,313.02",$0.00,,,Fixed price,https://www.ebay.com/itm/126200135239,6
Random Year $10 1/4-oz American Gold Eagle BU,135181895316,"Nov 8, 2025","$1,120.52",$0.00,,,Fixed price,https://www.ebay.com/itm/135181895316,18
"2026 1/4 oz American Gold Eagle MS-70 PCGS (FS, 250th Anniv)",147082490269,"Jan 30, 2026","$1,412.49",$0.00,,,Fixed price,https://www.ebay.com/itm/147082490269,7
