Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2008 Australia Lunar II Mouse 1 oz Gold BU,161422581281,1/11/2026,"$3,022.02",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/161422581281
2008 Lunar II Mouse Gold PCGS MS-70,188956664900,2/7/2026,"$4,220.64",Free,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/188956664900
2008 Lunar II Mouse 1 oz Gold PCGS MS-69,314460707350,1/3/2026,"$3,200.74",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/314460707350
2008 Australia Lunar II Mouse 1 oz Gold BU,161008093968,12/24/2025,"$3,237.05",$5.99,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/161008093968
2008 Australia Lunar II Mouse 1 oz Gold BU,157872717872,1/29/2026,"$2,938.04",Free,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/157872717872
2008 Australia Lunar II Mouse 1 oz Gold BU,295552243501,2/19/2026,"$3,141.34",$3.99,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/295552243501
2008 Australia Lunar II Mouse 1 oz Gold BU,371686458471,11/26/2025,"$3,290.52",Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/371686458471
2008 Lunar II Mouse 1 oz Gold PCGS MS-69,114500088316,1/21/2026,"$3,303.69",Free,Certified,goldhillcoins,Auction,https://www.ebay.com/itm/114500088316
2008 Australia Lunar II Mouse 1 oz Gold BU,167612272751,1/6/2026,"$3,145.48",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/167612272751
2008 Lunar II Mouse Gold PCGS MS-70,156137654654,2/9/2026,"$4,954.07",$5.99,Certified,liberty_coin,Auction,https://www.ebay.com/itm/156137654654
2008 Australia Lunar II Mouse 1 oz Gold BU,259187767725,1/26/2026,"$3,298.47",Free,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/259187767725
2008 Australia Lunar II Mouse 1 oz Gold BU,154265388282,12/11/2025,"$3,265.08",Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/154265388282
2008 Lunar II Mouse 1 oz Gold NGC MS-69,282892211840,12/6/2025,"$3,427.69",$4.99,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/282892211840
2008 Lunar II Mouse 1 oz Gold NGC MS-69,398739097971,2/7/2026,"$3,171.05",Free,Certified,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/398739097971
