Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1942/1-D 10C Mercury Dime, PCGS F15, Key Date Overdate Toned Silver Coin.",117293927234,"Jul 10, 2026",$499.00,$11.95,,,Fixed price,https://www.ebay.com/itm/117293927234,1
1942-D over 1 Mercury Dime (10¢) Novelty/Souvenir Coin,227366596256,"Jul 9, 2026",$14.00,$1.32,,,Fixed price,https://www.ebay.com/itm/227366596256,5
1942/1 Mercury Dime Error Very Rare VF,147170714836,"Jul 5, 2026",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147170714836,1
1942/1 Mercury Dime 42 over 41 Uncirculated Contemporary Copy Coin,127885308023,"Jun 27, 2026",$15.50,$1.50,,,Fixed price,https://www.ebay.com/itm/127885308023,1
Vintage 1942-P WWII Mercury Dime 90% Silver Circulated Coin 1,147101739532,"Jun 27, 2026",$5.39,$1.50,,,Fixed price,https://www.ebay.com/itm/147101739532,1
1942/1 Mercury Dime PCGS AU Detail 90% Silver Item # 7194,127935948119,"Jun 22, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127935948119,1
1942/1-D Mercury Dime ~ PCGS VF20 ~ Overdate!!! ~ 90 % Silver ~ Free Shipping ~,127920938292,"Jun 21, 2026",$498.00,$0.00,,,Auction,https://www.ebay.com/itm/127920938292,1
1942/1 Mercury Dime ~ PCGS VF30 ~ Overdate!!! ~ Nice Coin!!! ~ Free Shipping ~,127920940459,"Jun 21, 2026",$580.00,$0.00,,,Auction,https://www.ebay.com/itm/127920940459,1
1942/1-D Mercury Dime PCGS F12 Key Date Great Eye Appeal Nice Strike,147355902928,"Jun 16, 2026",$533.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147355902928,1
1942/1 Mercury Dime ~ PCGS VF20 ~ Overdate!!! ~ 90 % Silver ~ Free Shipping ~,127856416810,"Jun 9, 2026",$575.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127856416810,1
Vintage 1942-S WWII Mercury Dime 90% Silver Circulated Coin 1,147101747706,"Jun 8, 2026",$5.79,$1.50,,,Fixed price,https://www.ebay.com/itm/147101747706,1
1942/1 Mercury Silver Dime AU E300 QXMMX,137190248078,"Jun 5, 2026",$849.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137190248078,1
"Mercury Dimes Whitman Set (no 1916-D), 79 Total: 1942/1 Overdates & '45 Micro-S",137337577306,"May 23, 2026",$725.00,$8.13,,,Fixed price,https://www.ebay.com/itm/137337577306,1
[Removed] Item 406914821942,406914821942,"May 11, 2026",$30.50,$5.00,,,Fixed price,,4
1942/1 Mercury Dime 10c PCGS AU58 CAC,127843304139,"May 11, 2026","$2,799.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127843304139,1
Rare 1942/1 P Mercury Head Dime Key Variety NGC VF Details Philadelphia Mint,389955743637,"May 5, 2026",$32.99,$5.00,,,Fixed price,https://www.ebay.com/itm/389955743637,3
"1942/1 Silver Mercury Dime, PCGS Cleaned XF Detail",147282525769,"May 5, 2026",$611.00,$0.00,,,Auction,https://www.ebay.com/itm/147282525769,1
1942/1 Mercury Silver Dime AU+/UNC E301 GTMKU,147237428769,"Apr 28, 2026","$1,482.39",$0.00,,,Fixed price,https://www.ebay.com/itm/147237428769,1
