Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2021 $25 Type 2 American Gold Eagle 1/2 oz Brilliant Uncirculated,313603218840,"Mar 31, 2026","$2,513.05",$0.00,,,Fixed price,https://www.ebay.com/itm/313603218840
2021-W $5 American Gold Eagle Type 1 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop,127406863670,"Apr 1, 2026",$659.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127406863670
2021 $50 American Gold Eagle (Type 2) 1 oz PCGS MS70 - First Day Issue,127719473001,"Mar 6, 2026","$5,247.50",$7.00,,,Fixed price,https://www.ebay.com/itm/127719473001
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,644.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922
2021 W $10 Type 2 American Gold Eagle 1/4 oz NGC FDI First Label,127727224463,"Mar 8, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127727224463
2021-W 1/10 oz American Gold Eagle Type 2 MS-70 PCGS FDI,127727319078,"Mar 8, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127727319078
🪙🪙 2021 (1) 1 oz AMERICAN GOLD EAGLE (TYPE 2) - 2 Available 🪙🪙,127729531269,"Mar 10, 2026","$5,254.76",$0.00,,,Fixed price,https://www.ebay.com/itm/127729531269
2021-W $25 American Gold Eagle Type 1 DC Mint 1/2 Oz PF70 NGC Low Pop *9339,135725496713,"Apr 4, 2026","$2,850.00",$0.00,,,Fixed price,https://www.ebay.com/itm/135725496713
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 - Signed Paul Krause,137163521629,"Mar 24, 2026",$450.00,$12.95,,,Fixed price,https://www.ebay.com/itm/137163521629
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Andre Dawson,137166565502,"Mar 25, 2026",$465.00,$19.95,,,Fixed price,https://www.ebay.com/itm/137166565502
2021 1/10 oz American Gold Eagle Coin BU (Type 1),144333626556,"Mar 27, 2026",$558.31,$0.00,,,Fixed price,https://www.ebay.com/itm/144333626556
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Rudy Ruettiger,147221405371,"Mar 24, 2026",$450.00,$12.95,,,Fixed price,https://www.ebay.com/itm/147221405371
US Mint 2021 PCGS MS70 1/10 oz Gold American Eagle Type 2 Signed Nate Archibald,147223550968,"Mar 25, 2026",$480.00,$19.95,,,Fixed price,https://www.ebay.com/itm/147223550968
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 2 NGC PF70 Ultra Cameo,167523230438,"Mar 10, 2026",$649.99,$5.00,,,Fixed price,https://www.ebay.com/itm/167523230438
2021 $5 1/10TH Oz AMERICAN GOLD EAGLE T2 Type 2 PCGS MS70 REAGAN LEGACY FDOI,168171592625,"Mar 17, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168171592625
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 1 NGC PF70 Ultra Cameo,168172278326,"Mar 10, 2026",$659.99,$5.00,,,Fixed price,https://www.ebay.com/itm/168172278326
2021-W American Eagle 1/10 Ounce Gold Proof Coin Type 2 Whit Box And COA,168187403838,"Mar 9, 2026",$575.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168187403838
2021 Gold Eagle G$5 Type 1 NGC MS70 First Day of Issue,168259819104,"Mar 30, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168259819104
2021 1OZ. $50 PCGS MS70 Gold Eagle - Type 1,177988050104,"Mar 24, 2026","$4,700.00",$5.07,,,Fixed price,https://www.ebay.com/itm/177988050104
2021 US Gold Eagles 1/10th $5 Nice Unc Type 2,188205251097,"Apr 2, 2026",$535.07,$4.99,,,Auction,https://www.ebay.com/itm/188205251097
2021 1/10 oz Gold American Eagle $5 Type 2 NGC MS 70 First Day of Issue,198150365162,"Mar 9, 2026",$584.00,$0.00,,,Auction,https://www.ebay.com/itm/198150365162
2021-W $10 Gold Eagle Type 2 Unfinished Proof Dies Error Perfect looking coin!,206120796254,"Mar 18, 2026","$1,500.00",$7.26,,,Auction,https://www.ebay.com/itm/206120796254
2021 G$5 1/10 oz Gold American Eagle - Type 2 - Reagan - NGC MS 70 - SKU-G6110,227222352562,"Mar 25, 2026",$665.00,$12.50,,,Fixed price,https://www.ebay.com/itm/227222352562
2021 1/4 oz American Gold Eagle Type 1 PCGS MS70 #1,236663125276,"Mar 8, 2026","$1,475.00",$0.00,,,Auction,https://www.ebay.com/itm/236663125276
2021 1/4 oz American Gold Eagle Type 1 PCGS MS70 #2,236663127661,"Mar 8, 2026","$1,477.00",$0.00,,,Auction,https://www.ebay.com/itm/236663127661
2021W Type 2 American Gold Eagle $10 Edmond C Moy Signature NGC PF 70 UCAM,257382666885,"Mar 8, 2026","$1,352.00",$3.95,,,Auction,https://www.ebay.com/itm/257382666885
2021 SILVER EAGLE TYPE 2 FIRST DAY OF ISSUE PCGS MS70 GOLD FOIL LABEL,257420271583,"Mar 28, 2026",$100.00,$7.00,,,Auction,https://www.ebay.com/itm/257420271583
2021 $5 Gold Eagle Type 2 1/10 oz First Day Mercanti Signed Black Core NGC MS 70,277821459713,"Mar 30, 2026",$560.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277821459713
ONE 2021 GOLD EAGLE 1/10 OZ $5 COIN TYPE 1 IN CAPSULE LAST YEAR OF THIS DESIGN,297731512113,"Mar 22, 2026",$597.77,$0.00,,,Fixed price,https://www.ebay.com/itm/297731512113
2021 $5 American Gold Eagle Type 2 1/10 oz NGC MS70 + Uncirculated Silver,306812756853,"Mar 16, 2026",$650.00,$0.00,,,Auction,https://www.ebay.com/itm/306812756853
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,316514005096,"Mar 27, 2026","$1,355.72",$0.00,,,Fixed price,https://www.ebay.com/itm/316514005096
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,327030639474,"Mar 6, 2026","$1,375.00",$15.79,,,Fixed price,https://www.ebay.com/itm/327030639474
2021-W Proof 1/2 oz American Gold Eagle Type 2 ANACS PR70 DCAM,336500273237,"Apr 5, 2026","$2,509.00",$0.00,,,Auction,https://www.ebay.com/itm/336500273237
2021-W $5 American Gold Eagle Type 2 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop,365896091669,"Mar 21, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365896091669
2021-W $5 American Gold Eagle Type 1 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop *1816,366238960163,"Mar 8, 2026",$606.00,$0.00,,,Auction,https://www.ebay.com/itm/366238960163
2021 $5 1/10oz Gold American Eagle Type 2 NGC MS70 First Day Of Issue,406739984065,"Mar 8, 2026",$580.00,$20.00,,,Auction,https://www.ebay.com/itm/406739984065
2021 S American Silver Eagle TYPE 2 PCGS PR69DCAM First Strike Gold Shield,406760706690,"Mar 12, 2026",$112.00,$4.88,,,Fixed price,https://www.ebay.com/itm/406760706690
2021-W $5 American Gold Eagle Type 1 DC Mint 1/10 Oz PF70 UCAM NGC Low Pop,127406863670,"Apr 1, 2026",$627.61,$0.00,,,Fixed price,https://www.ebay.com/itm/127406863670,8
2021 $10 Type 1 American Gold Eagle 1/4 oz Brilliant Uncirculated,316514005096,"Apr 9, 2026","$1,388.53",$0.00,,,Fixed price,https://www.ebay.com/itm/316514005096,7
2021 1 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),114824983922,"Mar 8, 2026","$5,082.62",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983922,5
2021 1/4 oz American Gold Eagle Coin BU (Type 1),124503960717,"Jan 22, 2026","$1,338.12",$0.00,,,Fixed price,https://www.ebay.com/itm/124503960717,5
"American Eagle Silver , 2021 Type 2, 1oz , showing gold,but beautiful silver",406624882051,"Feb 14, 2026",$111.01,$0.00,,,Fixed price,https://www.ebay.com/itm/406624882051,9
2021 1 oz American Gold Eagle Coin BU (Type 2),114852899482,"Feb 7, 2026","$5,134.34",$0.00,,,Fixed price,https://www.ebay.com/itm/114852899482,4
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz OGP Box &amp; COA,205617256405,"Oct 22, 2025","$4,402.10",$0.00,,,Fixed price,https://www.ebay.com/itm/205617256405,4
2021 1/2 oz American Gold Eagle Coin BU (Type 2),114879505297,"Feb 4, 2026","$2,619.19",$0.00,,,Fixed price,https://www.ebay.com/itm/114879505297,3
2021 W $5 1/10 Oz GOLD AMERICAN EAGLE PROOF COIN Type 2 NGC PF70 Ultra Cameo,167523230438,"Mar 10, 2026",$578.32,$5.00,,,Fixed price,https://www.ebay.com/itm/167523230438,3
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz NGC MS70 FDI First Label,177050831937,"Feb 2, 2026","$4,920.14",$0.00,,,Fixed price,https://www.ebay.com/itm/177050831937,3
,,"Jan 10, 2026","$1,258.62",$4.50,,,Fixed price,,3
2021-W 1/10 oz $5 Proof GOLD AMERICAN EAGLE PCGS PR69 DCAM Type 1 FIRST STRIKE,313577510608,"Jan 13, 2026",$555.00,$0.00,,,Fixed price,https://www.ebay.com/itm/313577510608,3
2021-W Burnished $50 Type 2 American Gold Eagle 1 oz NGC MS70 ER Blue Label,316453697858,"Jan 22, 2026","$4,781.68",$0.00,,,Fixed price,https://www.ebay.com/itm/316453697858,3
2021 1/4 oz American Gold Eagle Coin (Type 2),394206192500,"Dec 7, 2025","$1,203.68",$0.00,,,Fixed price,https://www.ebay.com/itm/394206192500,3
"2021 1 oz Gold Eagle (Type 2) MS-70 PCGS (FDI, Black Label)",114824983921,"Oct 30, 2025","$4,563.90",$0.00,,,Fixed price,https://www.ebay.com/itm/114824983921,5
2021 1 oz Gold Eagle (Type 1) MS-70 PCGS (Last Day of Production),114967115847,"Feb 6, 2026","$4,916.34",$0.00,,,Fixed price,https://www.ebay.com/itm/114967115847,2
2021 1 oz American Gold Eagle (Type 1) MS-70 PCGS (FDI),125413820020,"Feb 21, 2026","$5,266.01",$0.00,,,Fixed price,https://www.ebay.com/itm/125413820020,2
2021 1 oz American Gold Eagle Coin BU (Type 1),143900577497,"Dec 15, 2025","$4,594.13",$0.00,,,Fixed price,https://www.ebay.com/itm/143900577497,4
2021 1/2 oz American Gold Eagle Coin BU (Type 1),143900577498,"Feb 17, 2026","$2,735.24",$0.00,,,Fixed price,https://www.ebay.com/itm/143900577498,2
,,"Dec 21, 2025",$25.00,$0.00,,,Fixed price,,2
,,"Jan 12, 2026",$497.00,$0.00,,,Fixed price,,2
,,"Nov 29, 2025","$3,502.50",$9.99,,,Fixed price,,2
ONE 2021 GOLD EAGLE 1/10 OZ $5 COIN TYPE 1 IN CAPSULE LAST YEAR OF THIS DESIGN,297731512113,"Mar 22, 2026",$587.76,$0.00,,,Fixed price,https://www.ebay.com/itm/297731512113,2
2021 $25 1/2 oz American Gold Eagle Type 1 NGC MS70 ER Family Of Eagles Label,306700855912,"Feb 2, 2026","$2,543.27",$0.00,,,Fixed price,https://www.ebay.com/itm/306700855912,2
2021 $10 Type 1 American Gold Eagle 1/4 oz PCGS MS70 FS Flag Label,316668307091,"Apr 9, 2026","$1,470.47",$0.00,,,Fixed price,https://www.ebay.com/itm/316668307091,2
,,"Dec 14, 2025",$479.95,$0.00,,,Fixed price,,2
2021-W $25 American Proof Gold Eagle Type 1 PR70DCAM First Strike PCGS,384083242298,"Apr 12, 2026","$2,997.50",$0.00,,,Fixed price,https://www.ebay.com/itm/384083242298,2
2021 1/4 oz American Gold Eagle Coin (Type 2),396698453557,"Jan 27, 2026","$1,303.72",$0.00,,,Fixed price,https://www.ebay.com/itm/396698453557,2
2021-W 1/10 oz Proof American Gold Eagle (Type 1) (w/Box & COA),114760116814,"Nov 2, 2025",$571.79,$0.00,,,Fixed price,https://www.ebay.com/itm/114760116814,1
2021 1/2 oz American Gold Eagle (Type 2) MS-70 PCGS (FDI),115941875436,"Oct 31, 2025","$2,312.48",$0.00,,,Fixed price,https://www.ebay.com/itm/115941875436,1
,,"Oct 29, 2025","$1,603.00",$12.50,,,Fixed price,,1
2021 1/10 oz American Gold Eagle (Type 1) MS-70 NGC (FDI),116861702536,"Feb 18, 2026",$689.15,$0.00,,,Fixed price,https://www.ebay.com/itm/116861702536,1
,,"Dec 24, 2025",$524.99,$5.00,,,Auction,,1
2021 $1 American Silver Eagle Dollar Type 1 with Black Ruthenium and Rose Gold,117013704524,"Feb 5, 2026",$129.00,$5.95,,,Fixed price,https://www.ebay.com/itm/117013704524,1
,,"Nov 16, 2025",$470.00,$0.00,,,Fixed price,,1
,,"Oct 19, 2025",$569.00,$7.95,,,Fixed price,,1
2021-W 1/4 oz Proof American Gold Eagle (Type 2) (Box & COA),126905902786,"Feb 5, 2026","$1,510.20",$0.00,,,Fixed price,https://www.ebay.com/itm/126905902786,1
2021-W $25 American Gold Eagle Type 1 DC Mint 1/2 Oz PF70 NGC Low Pop *9340,127069382511,"Feb 23, 2026","$2,995.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127069382511,1
2021-W Burnished Type 2 $50 Gold Eagle MS70 NGC FDOI Signed by Joel Iskowitz,127305962280,"Jan 15, 2026","$4,700.00",$12.00,,,Fixed price,https://www.ebay.com/itm/127305962280,1
2021 1 oz American Gold Eagle (Type 2) MS-70 NGC (Early Releases) Ryder Auto!!,127431890015,"Jan 25, 2026","$5,150.00",$12.00,,,Fixed price,https://www.ebay.com/itm/127431890015,1
2021 W $50 1 Oz GOLD AMERICAN EAGLE PROOF COIN Portrait Type 2 NGC PF70 UC RARE,127444283004,"Nov 27, 2025","$4,779.99",$19.99,,,Fixed price,https://www.ebay.com/itm/127444283004,1
,,"Nov 17, 2025",$455.00,$4.92,,,Fixed price,,1
,,"Dec 15, 2025",$450.00,$5.15,,,Auction,,1
2021 $5 1/10oz Gold American Eagle Type 2 NGC MS70 First Day Of Issue,127617416528,"Jan 27, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127617416528,1
