Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
40% Silver Kennedy Half Dollar Lot Of 10 Coins,306993118079,"Jun 22, 2026",$86.23,$6.31,,,Fixed price,https://www.ebay.com/itm/306993118079,16
1965 1966 1967 SMS Silver Kennedy Half Dollar Run 3 Gem Special Mint Set Coins,147162321744,"Jun 22, 2026",$46.28,$3.95,,,Fixed price,https://www.ebay.com/itm/147162321744,5
1967 SMS NGC MS67 Kennedy Half Dollar 50C Special Mint Set Uncirculated Portrait,377195828659,"Jun 21, 2026",$38.72,$0.00,,,Fixed price,https://www.ebay.com/itm/377195828659,15
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,168389695079,"Jun 18, 2026",$12.30,$0.00,,,Fixed price,https://www.ebay.com/itm/168389695079,21
1967 Kennedy Half Dollar SMS SP67 PCGS Blue Label,366125217425,"Jun 18, 2026",$39.65,$0.00,,,Fixed price,https://www.ebay.com/itm/366125217425,6
"Kennedy Half Dollar 40%Silver Lot of 5, 1965- 1969 Uncirculated, All 3 SMS Halfs",206289455193,"Jun 9, 2026",$62.67,$0.00,,,Fixed price,https://www.ebay.com/itm/206289455193,13
1967 Kennedy Half Dollar BU Uncirculated Mint State 40% Silver 50c US Coin,366322530325,"Jun 8, 2026",$18.74,$0.00,,,Fixed price,https://www.ebay.com/itm/366322530325,8
1967 Kennedy Half Dollar 40% Silver,178163028426,"Jun 5, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/178163028426,5
40% Silver Kennedy Half Dollar (1965 - 1970) - Choose How Many!,306420491944,"Jun 4, 2026",$13.03,$0.00,,,Fixed price,https://www.ebay.com/itm/306420491944,11
1967-P & 1968-D Kennedy 40% Silver Half Dollars - Set 0f 2 Coins,178095671732,"Jun 1, 2026",$18.99,$2.76,,,Fixed price,https://www.ebay.com/itm/178095671732,12
1967 Kennedy 40% Silver Half Dollar GEM BU,326062419083,"May 31, 2026",$19.59,$0.00,,,Fixed price,https://www.ebay.com/itm/326062419083,5
"Kennedy Half Dollar 40%Silver Lot of 5, 1965- 1969 Uncirculated, All 3 SMS Halfs",206284763491,"May 20, 2026",$61.07,$0.00,,,Fixed price,https://www.ebay.com/itm/206284763491,8
Kennedy Half Dollar 40 % Silver 1965 1966 1967 1968 1969 50c Coin 1 Coin Lot,376409263880,"May 18, 2026",$12.53,$3.13,,,Fixed price,https://www.ebay.com/itm/376409263880,621
1967 Kennedy Half Dollar Gem Bu from SMS set,141760181723,"May 18, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/141760181723,4
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,157853950790,"May 17, 2026",$12.91,$0.00,,,Fixed price,https://www.ebay.com/itm/157853950790,20
1967 40% Silver Kennedy Half Dollar $10,227334278203,"May 17, 2026",$10.00,$4.05,,,Fixed price,https://www.ebay.com/itm/227334278203,54
1965 1966 1967 SMS Mint BU 40% Silver Kennedy Half Dollar 3 Coin Set,157810240021,"May 13, 2026",$38.69,$5.75,,,Fixed price,https://www.ebay.com/itm/157810240021,8
1966 & 1967 US Special Mint Sets (SMS) with 40% Silver Kennedy Half Dollars,206218002402,"May 13, 2026",$40.07,$0.00,,,Fixed price,https://www.ebay.com/itm/206218002402,7
"Kennedy Half Dollar 40%Silver Lot of 5, 1965- 1969 Uncirculated, All 3 SMS Halfs",206216060655,"May 7, 2026",$60.71,$0.00,,,Fixed price,https://www.ebay.com/itm/206216060655,13
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED*,178030712321,"Apr 21, 2026",$12.42,$0.00,,,Fixed price,https://www.ebay.com/itm/178030712321,7
1967 SMS Special Mint Set - 40% SILVER Coin KENNEDY Half Dollar,358443429518,"Apr 21, 2026",$16.28,$5.80,,,Fixed price,https://www.ebay.com/itm/358443429518,5
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,168223491319,"Apr 9, 2026",$13.92,$0.00,,,Fixed price,https://www.ebay.com/itm/168223491319
1967 Kennedy Half Dollar Silver SMS 50C 40% SIlver US Coin 2x2 Flip,144775807663,"Apr 7, 2026",$12.44,$0.00,,,Fixed price,https://www.ebay.com/itm/144775807663
1965 - 1967 SMS 50c Kennedy Half Dollar NGC MS 66 Three Coin Lot,335985517977,"Apr 7, 2026",$94.17,$0.00,,,Fixed price,https://www.ebay.com/itm/335985517977,6
Kennedy Half Dollar 40% Silver 1965 1966 1967 1968 1969 50c 1 Coin Lot,178001383877,"Apr 7, 2026",$13.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178001383877,10
1964 1965 1966 1967 1968 S 1969 S Kennedy Proof Half Dollar 6 Coin Set Silver US,273530753681,"Apr 5, 2026",$116.20,$4.95,,,Fixed price,https://www.ebay.com/itm/273530753681
1967 SMS Kennedy Half Dollar certified MS 67 by NGC!,265876130370,"Apr 4, 2026",$33.29,$3.09,,,Fixed price,https://www.ebay.com/itm/265876130370
1967 Kennedy Half Dollar 50C 40% Silver US Coin,397767302155,"Apr 2, 2026",$10.77,$0.00,,,Fixed price,https://www.ebay.com/itm/397767302155
1967 SMS Kennedy Half Dollar Gem BU Special Mint Set 40% Silver,203249897686,"Mar 31, 2026",$20.17,$3.95,,,Fixed price,https://www.ebay.com/itm/203249897686
1967 Kennedy Half BU 40% Silver,157723926691,"Mar 30, 2026",$16.80,$0.00,,,Fixed price,https://www.ebay.com/itm/157723926691
1965 1966 1967 SMS 40% Silver Kennedy Half Dollar Choice Run 3 Special Mint Set,401480798714,"Mar 27, 2026",$43.31,$4.91,,,Fixed price,https://www.ebay.com/itm/401480798714
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,377044627877,"Mar 26, 2026",$17.60,$0.00,,,Fixed price,https://www.ebay.com/itm/377044627877
1967 SMS KENNEDY HALF DOLLAR *FREE SHIPPING* 40% SILVER,188039659319,"Mar 24, 2026",$16.98,$0.00,,,Fixed price,https://www.ebay.com/itm/188039659319
1967 Kennedy Half Dollar Choice Bu not SMS 20 coin roll in tube,206006194721,"Mar 13, 2026",$253.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206006194721
"2, 40% SILVER, 1967 KENNEDY HALF DOLLARS- LUSTER, LOW WEAR, ALMOST UNCIRCULATED",326892568827,"Mar 12, 2026",$17.21,$1.94,,,Fixed price,https://www.ebay.com/itm/326892568827
1967 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,168118414713,"Mar 1, 2026",$14.03,$0.00,,,Fixed price,https://www.ebay.com/itm/168118414713
,,"Mar 1, 2026",$14.03,$0.00,,,Fixed price,,17
1967 SMS JFK Half Dollar 40% Silver Kennedy Coin from U.S. Special Mint Set,312560583965,"Feb 26, 2026",$17.43,$2.04,,,Fixed price,https://www.ebay.com/itm/312560583965
1967 Kennedy 40% Silver Half Dollar GEM BU FREE SHIPPING!,223465467586,"Feb 17, 2026",$19.27,$0.00,,,Fixed price,https://www.ebay.com/itm/223465467586
1966 + 1967 SMS 50c Kennedy Half Dollar NGC MS 67 Two Coin Lot Light Cameo,335709122245,"Feb 17, 2026",$77.40,$0.00,,,Fixed price,https://www.ebay.com/itm/335709122245,5
1967 P Kennedy Half Dollar 40% SILVER *SMS* *FREE SHIPPING*,157639823960,"Feb 10, 2026",$16.94,$0.00,,,Fixed price,https://www.ebay.com/itm/157639823960
,,"Feb 10, 2026",$16.94,$0.00,,,Fixed price,,6
,,"Feb 8, 2026",$12.98,$2.66,,,Fixed price,,59
1967-P XF+ Kennedy half dollar 40% Silver - Below Melt Value!,157654682043,"Feb 2, 2026",$12.30,$0.00,,,Fixed price,https://www.ebay.com/itm/157654682043
