Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Austria Gold Philharmonic (1/10 oz) - BU - Random Date,372644598190,"Apr 1, 2026",$516.38,$0.00,,,Fixed price,https://www.ebay.com/itm/372644598190
Austria Gold Philharmonic (1/4 oz) - BU - Random Date,302662644543,"Mar 24, 2026","$1,247.17",$0.00,,,Fixed price,https://www.ebay.com/itm/302662644543
2026 Austria Gold Philharmonic 1/10 oz 10 Euro - BU,376843351598,"Mar 22, 2026",$561.96,$0.00,,,Fixed price,https://www.ebay.com/itm/376843351598
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,194935901751,"Mar 28, 2026",$515.82,$0.00,,,Fixed price,https://www.ebay.com/itm/194935901751
2026 4 Euro Austrian Gold Philharmonic .9999 1/25 oz Brilliant Uncirculated,205941161428,"Apr 4, 2026",$244.60,$0.00,,,Fixed price,https://www.ebay.com/itm/205941161428
Austria Gold Philharmonic 1/25 oz - BU - Random Date,375195276225,"Mar 14, 2026",$242.99,$0.00,,,Fixed price,https://www.ebay.com/itm/375195276225
Empty Austrian Mint Gold Philharmonic 1/10 oz Tube - Holds 20 Coins,195929475554,"Apr 2, 2026",$9.95,$0.00,,,Fixed price,https://www.ebay.com/itm/195929475554
Austria Gold Philharmonic (1 oz) - BU - Random Date,302320173953,"Mar 18, 2026","$5,235.04",$0.00,,,Fixed price,https://www.ebay.com/itm/302320173953
Austrian Gold Philharmonic .9999 1 oz Random Year BU,315085403829,"Mar 28, 2026","$4,764.44",$0.00,,,Fixed price,https://www.ebay.com/itm/315085403829
Austria Gold Philharmonic (1/2 oz) - BU - Random Date,372242443262,"Mar 25, 2026","$2,632.97",$0.00,,,Fixed price,https://www.ebay.com/itm/372242443262
1/10 oz Austria Philharmonic Gold Random Year 1/10 oz .9999 fine Gold Coin,403563436613,"Mar 27, 2026",$510.93,$0.00,,,Fixed price,https://www.ebay.com/itm/403563436613
1989 Austria 1 oz Gold Philharmonic BU,116736196275,"Mar 31, 2026","$4,971.81",$0.00,,,Fixed price,https://www.ebay.com/itm/116736196275
2021 10 Euro Austrian Gold Philharmonic .9999 1/10 oz Brilliant Uncirculated,127786049361,"Apr 1, 2026",$527.50,$5.00,,,Fixed price,https://www.ebay.com/itm/127786049361
2024 Austria 1/10 oz Gold Philharmonic BU,145506922926,"Apr 2, 2026",$554.74,$0.00,,,Fixed price,https://www.ebay.com/itm/145506922926
Austria 2026 €4 1/25-oz Gold Philharmonic .9999 BU,147048383762,"Mar 24, 2026",$237.37,$0.00,,,Fixed price,https://www.ebay.com/itm/147048383762
1/4 oz Austrian Gold Philharmonic Coin (Random Year),176651711983,"Mar 24, 2026","$1,259.64",$0.00,,,Fixed price,https://www.ebay.com/itm/176651711983
2026 50 Euro Austrian Gold Philharmonic .9999 1/2 oz Brilliant Uncirculated,177712650806,"Mar 17, 2026","$2,741.43",$0.00,,,Fixed price,https://www.ebay.com/itm/177712650806
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,198151377458,"Mar 8, 2026",$552.00,$0.00,,,Auction,https://www.ebay.com/itm/198151377458
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,198157514925,"Mar 10, 2026",$571.00,$0.00,,,Auction,https://www.ebay.com/itm/198157514925
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,198160652694,"Mar 11, 2026",$570.00,$0.00,,,Auction,https://www.ebay.com/itm/198160652694
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,198168636820,"Mar 14, 2026",$570.00,$0.00,,,Auction,https://www.ebay.com/itm/198168636820
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,198198860735,"Mar 22, 2026",$521.00,$0.00,,,Auction,https://www.ebay.com/itm/198198860735
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206108744951,"Mar 8, 2026",$575.00,$0.00,,,Auction,https://www.ebay.com/itm/206108744951
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206110603873,"Mar 9, 2026",$556.24,$0.00,,,Auction,https://www.ebay.com/itm/206110603873
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206134701703,"Mar 18, 2026",$535.00,$0.00,,,Auction,https://www.ebay.com/itm/206134701703
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206148737111,"Mar 23, 2026",$530.00,$0.00,,,Auction,https://www.ebay.com/itm/206148737111
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206171982672,"Apr 1, 2026",$510.00,$0.00,,,Auction,https://www.ebay.com/itm/206171982672
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206178386807,"Apr 4, 2026",$510.00,$0.00,,,Auction,https://www.ebay.com/itm/206178386807
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,206180700523,"Apr 5, 2026",$513.88,$0.00,,,Auction,https://www.ebay.com/itm/206180700523
2023 Austria Gold Philharmonic 1/10 oz 10 Euro - BU,257426452030,"Apr 2, 2026",$495.00,$0.00,,,Auction,https://www.ebay.com/itm/257426452030
1998 Austrian 2000 Schilling GOLD Coin Philharmonic .9999 1 oz Uncirculated,277760655247,"Mar 8, 2026","$5,402.00",$10.00,,,Auction,https://www.ebay.com/itm/277760655247
2014 Austrian 1/10 oz. Gold Philharmonic 🇦🇹,277841431910,"Mar 28, 2026",$497.30,$8.10,,,Auction,https://www.ebay.com/itm/277841431910
2008 Austrian 1/10 oz. Gold Philharmonic 🇦🇹,277841471175,"Mar 28, 2026",$490.00,$8.75,,,Auction,https://www.ebay.com/itm/277841471175
2015 Austrian 1/10 oz. Gold Philharmonic 🇦🇹,287237824575,"Mar 28, 2026",$486.00,$7.70,,,Auction,https://www.ebay.com/itm/287237824575
A 2022 1/25 OZ .9999 GOLD AUSTRIA PHILHARMONIC 4 EURO COIN,306809084385,"Mar 14, 2026",$230.01,$5.00,,,Auction,https://www.ebay.com/itm/306809084385
((((1999)))) Rare Austrian Gold Philharmonic 500 Schilling .9999 1/4 oz,306818758796,"Mar 19, 2026","$1,225.00",$16.00,,,Auction,https://www.ebay.com/itm/306818758796
2025 50 Euro Austrian Gold Philharmonic .9999 1/2 oz Brilliant Uncirculated,316043237487,"Mar 28, 2026","$2,445.96",$0.00,,,Fixed price,https://www.ebay.com/itm/316043237487
2026 100 Euro Austrian Gold Philharmonic .9999 1 oz Brilliant Uncirculated,317700831185,"Mar 22, 2026","$4,734.42",$0.00,,,Fixed price,https://www.ebay.com/itm/317700831185
2023 1/25 oz Austrian Philharmonic Gold Coin (BU),335807972844,"Mar 11, 2026",$291.77,$0.00,,,Fixed price,https://www.ebay.com/itm/335807972844
2022 .9999 Fine Gold Austrian Philharmonic (4 Euro) Coin 1/25 Oz Beautiful Coin!,358315480258,"Mar 16, 2026",$232.50,$5.56,,,Auction,https://www.ebay.com/itm/358315480258
2026 Austria Gold Philharmonic 1/10 oz 10 Euro - 1 Roll 20 BU Coins in Mint Tube,376864865551,"Mar 22, 2026","$9,959.70",$0.00,,,Fixed price,https://www.ebay.com/itm/376864865551
1/10 oz Austrian Gold Philharmonic Coin (Random Year),386571298407,"Mar 24, 2026",$513.20,$0.00,,,Fixed price,https://www.ebay.com/itm/386571298407
2026 1/10 oz Austrian Gold Philharmonic Coin (BU),389351599887,"Mar 22, 2026",$512.83,$0.00,,,Fixed price,https://www.ebay.com/itm/389351599887
1/25 oz Austrian Gold Philharmonic Coin (Random Year),396578579806,"Apr 3, 2026",$267.38,$0.00,,,Fixed price,https://www.ebay.com/itm/396578579806
"1/2 oz Austrian Gold Philharmonic Coin (Random Year, BU)",396972235224,"Mar 22, 2026","$2,538.73",$0.00,,,Fixed price,https://www.ebay.com/itm/396972235224
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,406753418726,"Mar 15, 2026",$571.00,$0.00,,,Auction,https://www.ebay.com/itm/406753418726
1999 Austrian Philharmonic 1/10 oz .9999 Gold 200 Schilling Coin -WOW!,406754299268,"Mar 15, 2026",$531.00,$4.85,,,Auction,https://www.ebay.com/itm/406754299268
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,406756242946,"Mar 16, 2026",$570.00,$0.00,,,Auction,https://www.ebay.com/itm/406756242946
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,406773058139,"Mar 21, 2026",$513.00,$0.00,,,Auction,https://www.ebay.com/itm/406773058139
Austria Gold Philharmonic (1/10 oz) - BU - Random Date,372644598190,"Apr 7, 2026",$513.82,$0.00,,,Fixed price,https://www.ebay.com/itm/372644598190,181
2026 Austria Gold Philharmonic 1/10 oz 10 Euro - BU,376843351598,"Apr 13, 2026",$561.67,$0.00,,,Fixed price,https://www.ebay.com/itm/376843351598,67
Austria Gold Philharmonic (1/4 oz) - BU - Random Date,302662644543,"Mar 24, 2026","$1,137.60",$0.00,,,Fixed price,https://www.ebay.com/itm/302662644543,54
Austria Gold Philharmonic (1/2 oz) - BU - Random Date,372242443262,"Apr 15, 2026","$2,354.99",$0.00,,,Fixed price,https://www.ebay.com/itm/372242443262,27
2026 4 Euro Austrian Gold Philharmonic .9999 1/25 oz Brilliant Uncirculated,205941161428,"Apr 10, 2026",$260.92,$0.00,,,Fixed price,https://www.ebay.com/itm/205941161428,33
2026 Gold 1/10 oz Austria Philharmonic Gold 1/10 oz .9999 fine Gold Coin,194935901751,"Apr 7, 2026",$524.53,$0.00,,,Fixed price,https://www.ebay.com/itm/194935901751,26
2025 50 Euro Austrian Gold Philharmonic .9999 1/2 oz Brilliant Uncirculated,316043237487,"Apr 10, 2026","$2,269.64",$0.00,,,Fixed price,https://www.ebay.com/itm/316043237487,16
1/10 oz Austria Philharmonic Gold Random Year 1/10 oz .9999 fine Gold Coin,403563436613,"Mar 27, 2026",$538.21,$0.00,,,Fixed price,https://www.ebay.com/itm/403563436613,14
1/25 oz Austrian Gold Philharmonic Coin (Random Year),396578579806,"Apr 3, 2026",$215.48,$0.00,,,Fixed price,https://www.ebay.com/itm/396578579806,14
2025 Austria Gold Philharmonic 1/4 oz 25 Euro - BU,375862191786,"Jan 26, 2026","$1,269.70",$0.00,,,Fixed price,https://www.ebay.com/itm/375862191786,12
Lot of 2 Gold 2026 Gold 1/10 oz Austria Philharmonic 1/10 oz .9999 fine Coins,403813657696,"Mar 26, 2026","$1,105.32",$0.00,,,Fixed price,https://www.ebay.com/itm/403813657696,10
1/4 oz Austrian Gold Philharmonic Coin (Random Year),176651711983,"Mar 24, 2026","$1,258.57",$0.00,,,Fixed price,https://www.ebay.com/itm/176651711983,10
Austria Gold Philharmonic (1 oz) - BU - Random Date,302320173953,"Mar 18, 2026","$4,426.14",$0.00,,,Fixed price,https://www.ebay.com/itm/302320173953,12
Austria Gold Philharmonic 1/25 oz - BU - Random Date,375195276225,"Mar 14, 2026",$229.68,$0.00,,,Fixed price,https://www.ebay.com/itm/375195276225,11
1 oz Gold Austrian Philharmonic Coin Random Year,112615898198,"Apr 9, 2026","$4,522.59",$0.00,,,Fixed price,https://www.ebay.com/itm/112615898198,10
2026 25 Euro Austrian Gold Philharmonic .9999 1/4 oz Brilliant Uncirculated,177701118440,"Feb 5, 2026","$1,370.78",$0.00,,,Fixed price,https://www.ebay.com/itm/177701118440,10
1 oz Austrian Gold Philharmonic 100 Euro Gold Coin BU - Random Year,296182999655,"Jan 27, 2026","$4,519.64",$0.00,,,Fixed price,https://www.ebay.com/itm/296182999655,9
2025 Austria Gold Philharmonic 1/10 oz 10 Euro - BU,305971051367,"Jan 13, 2026",$496.40,$0.00,,,Fixed price,https://www.ebay.com/itm/305971051367,9
1/25 oz Austrian Gold Philharmonic Coin (Random Year),155889945664,"Dec 10, 2025",$211.84,$0.00,,,Fixed price,https://www.ebay.com/itm/155889945664,13
2024 50 Euro Austrian Gold Philharmonic .9999 1/2 oz BU,315046034971,"Nov 23, 2025","$2,186.71",$0.00,,,Fixed price,https://www.ebay.com/itm/315046034971,7
2026 Austria 1/25 oz Gold Philharmonic BU,116922952182,"Apr 16, 2026",$302.40,$0.00,,,Fixed price,https://www.ebay.com/itm/116922952182,45
Austria 2025 €100 1-oz Gold Philharmonic .9999 BU,146262386615,"Feb 10, 2026","$5,208.23",$0.00,,,Fixed price,https://www.ebay.com/itm/146262386615,9
Empty Austrian Mint Gold Philharmonic 1/10 oz Tube - Holds 20 Coins,195929475554,"Apr 2, 2026",$9.28,$0.00,,,Fixed price,https://www.ebay.com/itm/195929475554,6
2025 25 Euro Austrian Gold Philharmonic .9999 1/4 oz Brilliant Uncirculated,205158768086,"Nov 22, 2025","$1,105.70",$0.00,,,Fixed price,https://www.ebay.com/itm/205158768086,6
1/10 oz Austrian Gold Philharmonic Coin (Random Year),386571298407,"Mar 24, 2026",$495.15,$0.00,,,Fixed price,https://www.ebay.com/itm/386571298407,7
Austria 2026 €25 1/4-oz Gold Philharmonic .9999 BU,147048383760,"Feb 2, 2026","$1,395.70",$0.00,,,Fixed price,https://www.ebay.com/itm/147048383760,5
Austria 2026 €4 1/25-oz Gold Philharmonic .9999 BU,147048383762,"Mar 24, 2026",$249.94,$0.00,,,Fixed price,https://www.ebay.com/itm/147048383762,5
Austrian Gold Philharmonic .9999 1/10 oz Random Year BU,177565536538,"Jan 27, 2026",$526.46,$0.00,,,Fixed price,https://www.ebay.com/itm/177565536538,5
2026 1/10 oz Austrian Gold Philharmonic Coin (BU),389351599887,"Mar 22, 2026",$544.75,$0.00,,,Fixed price,https://www.ebay.com/itm/389351599887,5
Lot of 10 Gold 2026 Gold 1/10 oz Austria Philharmonic 1/10 oz .9999 fine Coins,195263249879,"Apr 6, 2026","$5,202.44",$0.00,,,Fixed price,https://www.ebay.com/itm/195263249879,4
2025 100 Euro Austrian Gold Philharmonic .9999 1 oz Brilliant Uncirculated,205158768081,"Feb 21, 2026","$5,163.60",$0.00,,,Fixed price,https://www.ebay.com/itm/205158768081,5
2026 Austria Gold Philharmonic 1/2 oz 50 Euro - BU,376839174078,"Feb 20, 2026","$2,750.34",$0.00,,,Fixed price,https://www.ebay.com/itm/376839174078,4
2025 Austria 1 oz Gold Philharmonic Coin BU,126873262524,"Dec 20, 2025","$4,573.53",$0.00,,,Fixed price,https://www.ebay.com/itm/126873262524,3
Austria 2025 €50 1/2-oz Gold Philharmonic .9999 BU,135435944946,"Jan 2, 2026","$2,260.16",$0.00,,,Fixed price,https://www.ebay.com/itm/135435944946,3
2026 1/25 oz Austrian Gold Philharmonic Coin (BU),177660211105,"Feb 21, 2026",$235.92,$0.00,,,Fixed price,https://www.ebay.com/itm/177660211105,3
2026 50 Euro Austrian Gold Philharmonic .9999 1/2 oz Brilliant Uncirculated,177712650806,"Mar 17, 2026","$2,699.51",$0.00,,,Fixed price,https://www.ebay.com/itm/177712650806,3
2024 1/25 oz Austrian Gold Philharmonic Coin (BU),177892482503,"Mar 6, 2026",$222.50,$8.03,,,Fixed price,https://www.ebay.com/itm/177892482503,4
2025 10 Euro Austrian Gold Philharmonic .9999 1/10 oz Brilliant Uncirculated,205158772492,"Jan 27, 2026",$552.54,$0.00,,,Fixed price,https://www.ebay.com/itm/205158772492,5
2022 Austrian Gold Philharmonic 1/10 Oz .999 Fine Gold,297997259802,"Feb 26, 2026",$555.33,$0.00,,,Fixed price,https://www.ebay.com/itm/297997259802,3
2026 Austria Gold Philharmonic 1/4 oz 25 Euro - BU,306695760324,"Mar 3, 2026","$1,421.76",$0.00,,,Fixed price,https://www.ebay.com/itm/306695760324,4
Austrian Gold Philharmonic .9999 1 oz Random Year BU,315085403829,"Apr 18, 2026","$4,860.71",$0.00,,,Fixed price,https://www.ebay.com/itm/315085403829,3
2023 1/25 oz Austrian Philharmonic Gold Coin (BU),335807972844,"Apr 11, 2026",$259.50,$0.00,,,Fixed price,https://www.ebay.com/itm/335807972844,3
1/10 oz Austrian Gold Philharmonic Coin (Random Year),394602044789,"Feb 28, 2026",$534.86,$0.00,,,Fixed price,https://www.ebay.com/itm/394602044789,3
2026 Austria 1/10 oz Gold Philharmonic BU,116922952181,"Jan 23, 2026",$567.22,$0.00,,,Fixed price,https://www.ebay.com/itm/116922952181,2
1 oz Austria Gold Philharmonic (Random Date) - BU - 100 Euro Gold Coin #A678,146059882482,"Feb 2, 2026","$4,896.82",$0.00,,,Fixed price,https://www.ebay.com/itm/146059882482,2
Austria 2026 €100 1-oz Gold Philharmonic .9999 BU,147055503917,"Feb 12, 2026","$5,124.92",$0.00,,,Fixed price,https://www.ebay.com/itm/147055503917,2
2025 Austria Gold Philharmonic 1/2 oz 50 Euro - BU,375862191382,"Jan 27, 2026","$2,582.67",$0.00,,,Fixed price,https://www.ebay.com/itm/375862191382,2
"1/2 oz Austrian Gold Philharmonic Coin (Random Year, BU)",396972539656,"Jan 2, 2026","$2,334.28",$0.00,,,Fixed price,https://www.ebay.com/itm/396972539656,2
2026 Gold 1/2 oz Austria Philharmonic Gold 1/2 oz .9999 fine Gold Coin,404264242339,"Feb 18, 2026","$2,445.74",$0.00,,,Fixed price,https://www.ebay.com/itm/404264242339,2
