Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2024 Mexico 1 oz Silver Libertad BU,116349858844,"Apr 6, 2026",$84.04,$52.99,,,Fixed price,https://www.ebay.com/itm/116349858844
Mexico 1 oz Silver Libertad BU (Random Year),111408841867,"Apr 6, 2026",$71.65,$0.00,,,Fixed price,https://www.ebay.com/itm/111408841867
2025 Intaglio Mint Libertad Tribute om mint mark 1 oz Silver Round in capsule,297829003745,"Mar 19, 2026",$123.49,$15.59,,,Fixed price,https://www.ebay.com/itm/297829003745
2024 Mexico 1/20th oz Silver Libertad PCGS MS69 Flag Label,405308068049,"Feb 24, 2026",$105.86,$0.00,,,Fixed price,https://www.ebay.com/itm/405308068049
2024 Silver Mexican Libertad Onza 1/4 oz Brilliant Uncirculated,205012307001,"Feb 2, 2026",$35.07,$0.00,,,Fixed price,https://www.ebay.com/itm/205012307001
2023 Mexico 1 Onza Silver Libertad 1 oz .999 Fine Silver BU - In Stock,335113104926,"Mar 26, 2026",$117.68,$0.00,,,Fixed price,https://www.ebay.com/itm/335113104926
[Removed] Item 397600509972,397600509972,"Feb 23, 2026",$80.69,$0.00,,,Fixed price,
,,"Dec 16, 2025",$82.03,$0.00,,,Fixed price,
Lot of 4 - 2023 Silver Mexican Libertad Onza 1/4 oz BU,316455439712,"Jan 2, 2026",$98.61,$0.00,,,Fixed price,https://www.ebay.com/itm/316455439712
2022 Mexico .999 Fine Silver Libertad 1 oz 1 Onza Coin - BU,234713133124,"Apr 7, 2026",$117.97,$0.00,,,Fixed price,https://www.ebay.com/itm/234713133124
2024 Mexican Libertad BU Brilliant Uncirculated 1 oz .999 Silver Coin,365541232695,"Feb 26, 2026",$104.93,$0.00,,,Fixed price,https://www.ebay.com/itm/365541232695
1985 1 oz Mexican Silver Libertad Coin,397118515054,"Apr 5, 2026",$101.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397118515054
[Removed] Item 397549212739,397549212739,"Feb 11, 2026",$81.64,$0.00,,,Fixed price,
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,167734946654,"Jan 29, 2026",$95.97,$22.59,,,Fixed price,https://www.ebay.com/itm/167734946654
2021 Mexico 1oz Silver Libertad PCGS Brilliant Uncirculated - Flag Label,364936826313,"Apr 9, 2026",$115.59,$0.00,,,Fixed price,https://www.ebay.com/itm/364936826313
2020 Mexico Libertad 1 oz Silver Limited BU Round Capsuled AG-47 Bullion Coin,164045112066,"Jan 1, 2026",$73.80,$8.63,,,Fixed price,https://www.ebay.com/itm/164045112066
2018 Mexico 1/4 Onza Libertad 1/4 Oz Silver BU,134584038802,"Mar 2, 2026",$41.56,$14.55,,,Fixed price,https://www.ebay.com/itm/134584038802
Mexico 2024 1/4-oz Silver Libertad Onza BU,387421772740,"Feb 2, 2026",$35.85,$0.00,,,Fixed price,https://www.ebay.com/itm/387421772740
,,"Dec 5, 2025",$64.75,$6.17,,,Fixed price,
2024 Silver Mexican Libertad Onza 1/2 oz Brilliant Uncirculated,315786447976,"Dec 19, 2025",$41.44,$0.00,,,Fixed price,https://www.ebay.com/itm/315786447976
25 Direct Fit 40mm Airtight Holders Capsule - 1 oz Silver Libertad (1996+) Coins,156371176678,"Apr 9, 2026",$7.20,$0.00,,,Fixed price,https://www.ebay.com/itm/156371176678
,,"Dec 26, 2025",$79.32,$6.69,,,Fixed price,
2024 Libertad En La Muerte 1 oz Colorized Silver Bar - In Capsule w/ Coa,126678487157,"Feb 20, 2026",$90.73,$21.90,,,Fixed price,https://www.ebay.com/itm/126678487157
2023 Mexico 1 oz Silver Libertad BU,145433008692,"Apr 5, 2026",$69.63,$0.00,,,Fixed price,https://www.ebay.com/itm/145433008692
1 oz Mexican Silver Libertad Coin (Random Year),396862094611,"Mar 27, 2026",$92.43,$0.00,,,Fixed price,https://www.ebay.com/itm/396862094611
,,"Jan 6, 2026",$20.84,$13.56,,,Fixed price,
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 8, 2026",$118.26,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198
2026 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,168016625958,"Apr 7, 2026",$115.66,$21.65,,,Fixed price,https://www.ebay.com/itm/168016625958
1989 Mo MEXICO - Silver 1 oz BU UNC Libertad Onza Coin #38579,325439128435,"Feb 2, 2026",$151.12,$0.00,,,Fixed price,https://www.ebay.com/itm/325439128435
48 Pack 1.42 IN 36 mm Coin Capsule Holders w/ Case 4 Mexico 1 Oz Silver Libertad,405845275328,"Jan 26, 2026",$15.32,$0.00,,,Fixed price,https://www.ebay.com/itm/405845275328
1 oz. Modern 2025 LIBERTAD OF MEXICO coin tribute BU round .999 silver,187844223109,"Feb 13, 2026",$120.27,$17.98,,,Fixed price,https://www.ebay.com/itm/187844223109
🇺🇸2024 Mexico Libertad Black & White Diamond Dust Edition 1oz Silver Coin,136986204019,"Mar 12, 2026",$157.50,$4.57,,,Fixed price,https://www.ebay.com/itm/136986204019
,,"Dec 25, 2025",$84.08,$0.00,,,Fixed price,
2023 Silver Mexican Libertad Onza 1/20 oz Brilliant Uncirculated,314949660166,"Apr 4, 2026",$28.34,$0.00,,,Fixed price,https://www.ebay.com/itm/314949660166
1 Ring Airtite Capsule Y48 For 2 Oz Silver Mexican Libertad Coin / Medallions,115144510760,"Mar 24, 2026",$8.19,$0.00,,,Fixed price,https://www.ebay.com/itm/115144510760
2015 Mexico Libertad .999 Silver 1 oz Coin ~ BU,287215536168,"Mar 23, 2026",$89.99,$5.36,,,Fixed price,https://www.ebay.com/itm/287215536168
2023 Mexico Libertad Fiesta Edition 1 oz Silver Coin in OGP,305553021633,"Mar 26, 2026",$105.05,$0.00,,,Fixed price,https://www.ebay.com/itm/305553021633
2019 Mexico Onza / Libertad BU 1/10 oz .999 Silver RARE,389156476147,"Mar 7, 2026",$25.12,$0.00,,,Fixed price,https://www.ebay.com/itm/389156476147
,,"Nov 20, 2025",$87.57,$0.00,,,Fixed price,
2023 Silver Mexican Libertad Onza 1/4 oz Brilliant Uncirculated,204496302535,"Jan 1, 2026",$28.47,$0.00,,,Fixed price,https://www.ebay.com/itm/204496302535
,,"Dec 23, 2025",$75.41,$0.00,,,Fixed price,
,,"Dec 21, 2025",$68.32,$3.00,,,Fixed price,
2026 Mexico LIBERTAD TRIBUTE – 1/2 TROY OUNCE .999 Fine Silver Bu – 30MM INSTOCK,157554929567,"Apr 1, 2026",$63.52,$24.05,,,Fixed price,https://www.ebay.com/itm/157554929567
2023-Mo Mexico 1/20 oz Onza Silver Libertad PCGS MS 70 | Uncirculated UNC BU,305614388467,"Mar 11, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305614388467
2023 Mexico Libertad Dia de los Muertos Big Cats Edition 1oz Silver Coin Blister,326481164979,"Jan 30, 2026",$134.97,$0.00,,,Fixed price,https://www.ebay.com/itm/326481164979
2018 Mexico 1/20 Onza Libertad 1/20 Oz Silver BU,125947708619,"Jan 15, 2026",$19.32,$0.00,,,Fixed price,https://www.ebay.com/itm/125947708619
2015 1/10 oz Mexico Silver Libertad Coin (BU),125960457751,"Mar 27, 2026",$29.02,$12.90,,,Fixed price,https://www.ebay.com/itm/125960457751
,,"Nov 8, 2025",$63.95,$8.41,,,Fixed price,
1982 1 oz Mexican Silver Libertad Coin,177815303171,"Mar 19, 2026",$77.84,$0.00,,,Fixed price,https://www.ebay.com/itm/177815303171
,,"Dec 10, 2025",$76.64,$14.12,,,Fixed price,
2024 Mexico 1 oz Silver Libertad BU,116349858844,"Apr 10, 2026",$84.39,$52.99,,,Fixed price,https://www.ebay.com/itm/116349858844
Mexico 1 oz Silver Libertad BU (Random Year),111408841867,"Apr 10, 2026",$72.43,$0.00,,,Fixed price,https://www.ebay.com/itm/111408841867
2024 Mexico 1/20th oz Silver Libertad PCGS MS69 Flag Label,405308068049,"Feb 24, 2026",$106.78,$0.00,,,Fixed price,https://www.ebay.com/itm/405308068049
2022 Mexico .999 Fine Silver Libertad 1 oz 1 Onza Coin - BU,234713133124,"Apr 10, 2026",$118.17,$0.00,,,Fixed price,https://www.ebay.com/itm/234713133124
Lot of 4 - 2023 Silver Mexican Libertad Onza 1/4 oz BU,316455439712,"Jan 2, 2026",$98.68,$0.00,,,Fixed price,https://www.ebay.com/itm/316455439712
2018 Mexico 1/4 Onza Libertad 1/4 Oz Silver BU,134584038802,"Mar 2, 2026",$41.70,$14.55,,,Fixed price,https://www.ebay.com/itm/134584038802
25 Direct Fit 40mm Airtight Holders Capsule - 1 oz Silver Libertad (1996+) Coins,156371176678,"Apr 11, 2026",$7.24,$0.00,,,Fixed price,https://www.ebay.com/itm/156371176678
2023 Mexico 1 oz Silver Libertad BU,145433008692,"Apr 5, 2026",$69.84,$0.00,,,Fixed price,https://www.ebay.com/itm/145433008692
48 Pack 1.42 IN 36 mm Coin Capsule Holders w/ Case 4 Mexico 1 Oz Silver Libertad,405845275328,"Jan 26, 2026",$15.30,$0.00,,,Fixed price,https://www.ebay.com/itm/405845275328
,,"Nov 20, 2025",$87.51,$0.00,,,Fixed price,
1982 1 oz Mexican Silver Libertad Coin,388565991961,"Apr 4, 2026",$111.94,$0.00,,,Fixed price,https://www.ebay.com/itm/388565991961
2024 Mexico 1 oz Silver Libertad BU,116349858844,"Apr 10, 2026",$84.56,$52.99,,,Fixed price,https://www.ebay.com/itm/116349858844,"1,043"
Mexico 1 oz Silver Libertad BU (Random Year),111408841867,"Apr 12, 2026",$73.47,$0.00,,,Fixed price,https://www.ebay.com/itm/111408841867,150
2024 Mexico 1/20th oz Silver Libertad PCGS MS69 Flag Label,405308068049,"Feb 24, 2026",$108.43,$0.00,,,Fixed price,https://www.ebay.com/itm/405308068049,113
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu – 39MM IN STOCK!,167734946654,"Jan 29, 2026",$96.39,$22.59,,,Fixed price,https://www.ebay.com/itm/167734946654,59
Mexico 2024 1/4-oz Silver Libertad Onza BU,387421772740,"Feb 2, 2026",$36.00,$0.00,,,Fixed price,https://www.ebay.com/itm/387421772740,64
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 8, 2026",$119.59,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198,37
,,"Nov 20, 2025",$87.45,$0.00,,,Fixed price,,23
2023 1 Oz Onza Ley 999 SILVER MEXICO Libertad Plata Pura Coin Round UNC,117004820428,"Feb 11, 2026",$110.30,$0.00,,,Fixed price,https://www.ebay.com/itm/117004820428,21
2024 Mexico 1 oz .999 Silver Libertad Brilliant Uncirculated,136529634296,"Jan 20, 2026",$83.95,$40.59,,,Fixed price,https://www.ebay.com/itm/136529634296,34
2023-Mo Mexico 1 oz Silver Libertad PCGS MS 70 | Uncirculated UNC BU,305315826524,"Feb 16, 2026",$141.96,$20.45,,,Fixed price,https://www.ebay.com/itm/305315826524,32
,,"Nov 29, 2025",$62.38,$3.00,,,Fixed price,,21
Coin Bezel 1996-Date Mexican 1 oz. Silver Libertad Sterling Silver D/C Bezel,356726584093,"Apr 11, 2026",$42.49,$0.00,,,Fixed price,https://www.ebay.com/itm/356726584093,19
"Mexico 1 oz Silver Libertad (Cull, Damaged, Milk Spotted, etc.)",123943515872,"Mar 24, 2026",$82.49,$0.00,,,Fixed price,https://www.ebay.com/itm/123943515872,25
1985 México 1 oz Libertad .999 Silver Banco de México BU Coin in Capsule,255342603333,"Jan 27, 2026",$81.91,$0.00,,,Fixed price,https://www.ebay.com/itm/255342603333,22
,,"Dec 6, 2025",$102.20,$0.00,,,Fixed price,,20
,,"Nov 13, 2025",$79.98,$0.00,,,Fixed price,,60
2023-Mo Onza Mexico 1/4 oz Silver Libertad In Capsule,305300873497,"Feb 7, 2026",$35.03,$0.00,,,Fixed price,https://www.ebay.com/itm/305300873497,22
Coin Bezel 1996-Date Mexican 1 oz. Silver Libertad Sterling Silver Bezel,354694437965,"Mar 13, 2026",$29.39,$0.00,,,Fixed price,https://www.ebay.com/itm/354694437965,18
1 oz Silver Coin 2024 Mexico Libertad Starborn Edition Mintage 399,358192000137,"Mar 8, 2026",$140.14,$0.00,,,Fixed price,https://www.ebay.com/itm/358192000137,17
2024 Mexico 1 Onza Silver Libertad 1 oz .999 Fine Silver BU - In Stock,365181962811,"Feb 9, 2026",$94.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365181962811,23
2025 Mexico Libertad 1 Oz Onza 999 Silver Tribute Round Medallion - JR189,365928372447,"Mar 11, 2026",$108.96,$8.57,,,Fixed price,https://www.ebay.com/itm/365928372447,23
[Removed] Item 397526693114,397526693114,"Jan 28, 2026",$87.74,$0.00,,,Fixed price,,32
2023 Mexico 1/2 oz Silver Libertad BU,115975676369,"Apr 9, 2026",$57.84,$0.00,,,Fixed price,https://www.ebay.com/itm/115975676369,19
2024-1 oz MS70 Libertad BU .999 Silver Coin NGC-Mexico Onza First Releases🇲🇽,116713706498,"Mar 15, 2026",$103.19,$20.10,,,Fixed price,https://www.ebay.com/itm/116713706498,17
Mexico Libertad 1 oz Silver Coin BU – Random Year,127663399672,"Feb 20, 2026",$115.52,$0.00,,,Fixed price,https://www.ebay.com/itm/127663399672,22
2018 Mexico 1/10 Onza Libertad 1/10 Oz Silver BU,134584038778,"Mar 31, 2026",$31.13,$0.00,,,Fixed price,https://www.ebay.com/itm/134584038778,76
,,"Nov 8, 2025",$63.71,$7.91,,,Fixed price,,34
1995-Mo (MS69) 1 oz Mexico Silver Libertad Onza PCGS - Near Flawless!!,177586916676,"Jan 10, 2026",$192.82,$0.00,,,Fixed price,https://www.ebay.com/itm/177586916676,23
2018 Mexico 1/4 oz Silver Libertad BU,257148561335,"Apr 1, 2026",$44.27,$0.00,,,Fixed price,https://www.ebay.com/itm/257148561335,28
2023 Mexico Libertad Dusk & Dawn Edition 1 oz Silver Coin w/ COA,305553030745,"Jan 23, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305553030745,23
2024 Mexico Libertad Black Platinum & Ruthenium Edition 1 oz .999 Silver Coin,365984780446,"Feb 5, 2026",$135.34,$36.95,,,Fixed price,https://www.ebay.com/itm/365984780446,16
2024 Mexico Libertad Space Pink Opal Edition 1 oz .999 Silver Coin,365999054582,"Apr 9, 2026",$140.25,$35.50,,,Fixed price,https://www.ebay.com/itm/365999054582,19
2017 Mexican Silver Libertad BU .999 1/2 Oz Coin,137046340430,"Mar 21, 2026",$59.63,$5.04,,,Fixed price,https://www.ebay.com/itm/137046340430,40
2013 Mexico 1 oz Silver Libertad BU,141475212771,"Feb 5, 2026",$81.75,$0.00,,,Fixed price,https://www.ebay.com/itm/141475212771,20
,,"Dec 12, 2025",$78.80,$10.17,,,Fixed price,,17
[Removed] Item 198223369853,198223369853,"Apr 3, 2026",$37.64,$0.00,,,Fixed price,,19
2019 Mexico Libertad 1 oz BU Mexican Silver Coin in Plastic Capsule,297561566533,"Jan 23, 2026",$103.92,$0.00,,,Fixed price,https://www.ebay.com/itm/297561566533,18
2015 Mo Mexico Libertad Onza 1 oz .999 Silver BU Original Luster - U2946 - STOCK,318030284861,"Mar 31, 2026",$99.95,$6.21,,,Fixed price,https://www.ebay.com/itm/318030284861,44
2018 Mexico 1/20 Onza Libertad 1/20 Oz Silver BU,389322575469,"Mar 21, 2026",$21.94,$0.00,,,Fixed price,https://www.ebay.com/itm/389322575469,20
,,"Jan 7, 2026",$101.42,$23.05,,,Fixed price,,16
2023 Mexico 1 oz .999 Silver Libertad Brilliant Uncirculated,135282589947,"Jan 21, 2026",$83.75,$0.00,,,Fixed price,https://www.ebay.com/itm/135282589947,25
2015 1 oz Mexican Silver Libertad Coin (BU),177224359596,"Mar 10, 2026",$66.05,$0.00,,,Fixed price,https://www.ebay.com/itm/177224359596,42
Mexico 1 oz Silver Libertad BU (Random Year),206024679511,"Mar 16, 2026",$106.61,$5.45,,,Fixed price,https://www.ebay.com/itm/206024679511,18
2014 1 oz Silver Libertad ! 1 Onza Plata Pura! Casa De La Moneda Mexico BU !,267294693716,"Dec 1, 2025",$72.18,$0.00,,,Fixed price,https://www.ebay.com/itm/267294693716,16
"2023 Mexico BU Silver Libertad 5 Coin Set (1, 1/2, 1/4, 1/10, & 1/20 oz)",296062113437,"Jan 30, 2026",$194.98,$0.00,,,Fixed price,https://www.ebay.com/itm/296062113437,14
2019 Mexico 1/20 oz Libertad Silver Coin in capsule .999 Pure Silver,334456953815,"Apr 1, 2026",$20.36,$5.50,,,Fixed price,https://www.ebay.com/itm/334456953815,25
Mexico Silver Libertad 1 oz 1 Onza - BU - Random Date - 2000 to Date,375531934631,"Apr 2, 2026",$99.23,$0.00,,,Fixed price,https://www.ebay.com/itm/375531934631,33
2025 Mexico LIBERTAD TRIBUTE – 1 TROY OUNCE .999 Fine Silver Bu - Intaglio,406486013607,"Jan 25, 2026",$105.96,$7.95,,,Fixed price,https://www.ebay.com/itm/406486013607,13
2024 Mexico Silver Libertad 1 oz 1 Onza - 1 Roll - Twenty Five 25 BU Coins,406837413476,"Apr 11, 2026","$2,230.75",$0.00,,,Fixed price,https://www.ebay.com/itm/406837413476,17
2024 Mexico Libertad-Silver Ring-1oz .999 Colored Silver Coin-700 Mintage!🔥,116717549384,"Jan 23, 2026",$117.38,$0.00,,,Fixed price,https://www.ebay.com/itm/116717549384,12
,,"Jan 3, 2026",$98.00,$0.00,,,Fixed price,,15
2024 Mexico Libertad 1 oz Silver Colored Aztec Calender Edition MIntage of 100,198065117291,"Apr 10, 2026",$163.72,$0.00,,,Fixed price,https://www.ebay.com/itm/198065117291,12
2024 Silver Mexican Libertad Onza 1/10 oz Brilliant Uncirculated,205012307053,"Nov 9, 2025",$16.35,$0.00,,,Fixed price,https://www.ebay.com/itm/205012307053,117
,,"Oct 21, 2025",$77.06,$15.57,,,Fixed price,,20
Mexico Silver Libertad 1 oz 1 Onza - Random Date - BU Tube of 20 Coins,305793071782,"Apr 2, 2026","$1,748.76",$0.00,,,Fixed price,https://www.ebay.com/itm/305793071782,15
1986 Mo Mexico Libertad Onza 1 oz .999 Silver BU Original Luster - U2944 - STOCK,318030081498,"Apr 11, 2026",$104.49,$5.46,,,Fixed price,https://www.ebay.com/itm/318030081498,31
1998 MEXICO - Silver Fractional Libertad Set 1/10 1/20 1/4 1/2 oz Coins #46419M,325879611435,"Mar 24, 2026",$776.82,$0.00,,,Fixed price,https://www.ebay.com/itm/325879611435,22
