Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1996 American Silver Eagle Coin - NGC MS69,376317198552,"Apr 5, 2026",$114.77,$0.00,,,Fixed price,https://www.ebay.com/itm/376317198552
PR70 1996-P DCAM American Silver Eagle PCGS Blue Label,135552580847,"Apr 2, 2026",$303.42,$0.00,,,Fixed price,https://www.ebay.com/itm/135552580847
1996 1 oz American Silver Eagle NGC MS 69,277797232587,"Mar 23, 2026",$120.00,$5.95,,,Fixed price,https://www.ebay.com/itm/277797232587
1996-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145760685630,"Mar 25, 2026",$140.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145760685630
[Removed] Item 317991754940,317991754940,"Mar 16, 2026",$10.00,$5.22,,,Fixed price,
1996-P American Silver Eagle PR70 DCAM ICG,126926421524,"Mar 29, 2026",$207.50,$0.00,,,Fixed price,https://www.ebay.com/itm/126926421524
1996 Silver American Eagle $1 Dollar - Uncirculated - Minor Imperfections,147071241552,"Mar 21, 2026",$122.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147071241552
1996-P $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157793583137,"Apr 4, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157793583137
1996 1 oz American Silver Eagle Coin,177114693912,"Mar 21, 2026",$130.03,$0.00,,,Fixed price,https://www.ebay.com/itm/177114693912
"1996 SILVER EAGLE - 1oz .999 Pure - SPOTS, DINGS, CLOUDS ALL AVAILABLE ON THESE",236644986662,"Mar 28, 2026",$93.83,$5.95,,,Fixed price,https://www.ebay.com/itm/236644986662
1996 American Silver Eagle Dollar MS69 NGC Mint State 69,298140887509,"Mar 31, 2026",$120.75,$0.00,,,Fixed price,https://www.ebay.com/itm/298140887509
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318004682372,"Mar 16, 2026",$87.60,$5.60,,,Fixed price,https://www.ebay.com/itm/318004682372
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318039714758,"Mar 21, 2026",$85.00,$5.83,,,Fixed price,https://www.ebay.com/itm/318039714758
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318052899451,"Mar 25, 2026",$88.00,$5.35,,,Fixed price,https://www.ebay.com/itm/318052899451
1996 American Silver Eagle Uncirculated Bullion $1 Coin,365683750398,"Mar 30, 2026",$132.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365683750398
1996 P American Silver Eagle Bullion Proof $1 Coin Collectible OGP COA,366122412295,"Mar 7, 2026",$127.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366122412295
1996 US Liberty One Troy Pound 1lb .999 Silver Proof Eagle Coin. 021211,117039413752,"Mar 7, 2026","$1,449.95",$15.60,,,Fixed price,https://www.ebay.com/itm/117039413752
U.S. Mint 1996 American Eagle-(P) Proof Silver Dollar $1 Philadelphia,117059495043,"Mar 13, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117059495043
1996 American Silver Eagle 1oz Beautiful Bullseye Rainbow Toning Toned Toner,117073191173,"Mar 6, 2026",$325.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117073191173
1996 $1 American Silver Eagle 1 oz Uncirculated Coin .999 Fine,117078861001,"Mar 10, 2026",$124.99,$5.00,,,Fixed price,https://www.ebay.com/itm/117078861001
1996 American Silver Eagle 1 Troy Oz. .999 Fine Silver One Dollar Coin,117114187486,"Apr 4, 2026",$89.09,$0.00,,,Auction,https://www.ebay.com/itm/117114187486
1996-P American Silver Eagle $1 Proof 9.9 NGC X NGCX - Almost PERFECT,126578301308,"Mar 28, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126578301308
1996 American Silver Eagle MS69 PCGS Struck Through *7602,126616081721,"Mar 8, 2026",$161.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126616081721
MS69 1996 American Silver Eagle PCGS Peripheral Toning *1660,127122312451,"Mar 7, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127122312451
1996-P Proof American Silver Eagle Coin - W/Org. Pkg. One Troy oz .999 Bullion,127627979394,"Mar 12, 2026",$159.99,$5.15,,,Fixed price,https://www.ebay.com/itm/127627979394
1996 $1 AMERICAN SILVER EAGLE NGC MS69 FROM US MINT SEALED BOX LABEL GREEN CORE,127696396829,"Mar 7, 2026",$145.00,$5.62,,,Fixed price,https://www.ebay.com/itm/127696396829
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *292,127710835224,"Mar 7, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/127710835224
1996 American Silver Eagle MS69 NGC Brown Label *4079,127710964358,"Mar 7, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127710964358
1996 American Silver Eagle MS69 NGC Brown Label *0106,127713295670,"Mar 8, 2026",$120.50,$0.00,,,Auction,https://www.ebay.com/itm/127713295670
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *255,127719278292,"Mar 11, 2026",$99.08,$0.00,,,Auction,https://www.ebay.com/itm/127719278292
1996 American Silver Eagle MS69 NGC Brown Label *7826,127723880605,"Mar 13, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127723880605
1996 MS69 $1 American Silver Eagle - Key Date ASE!,127728412279,"Mar 12, 2026",$107.50,$5.77,,,Fixed price,https://www.ebay.com/itm/127728412279
1996 American Silver Eagle MS69 NGC Brown Label *7641,127729844226,"Mar 16, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127729844226
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *612,127731806675,"Mar 17, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/127731806675
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *610,127731976651,"Mar 17, 2026",$108.49,$0.00,,,Auction,https://www.ebay.com/itm/127731976651
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *606,127732148659,"Mar 17, 2026",$103.61,$0.00,,,Auction,https://www.ebay.com/itm/127732148659
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *601,127732278233,"Mar 17, 2026",$105.35,$0.00,,,Auction,https://www.ebay.com/itm/127732278233
1996 American Silver Eagle MS69 NGC Brown Label *9228,127732281872,"Mar 17, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127732281872
1996 American Silver Eagle Coin - NGC MS69,376317198552,"Apr 13, 2026",$117.56,$0.00,,,Fixed price,https://www.ebay.com/itm/376317198552,184
1996-P American Silver Eagle Proof Coin 1 Oz,365896075777,"Apr 11, 2026",$101.23,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075777,114
1996 American Silver Eagle MS69 NGC Brown Label,364294806562,"Mar 3, 2026",$99.35,$17.48,,,Fixed price,https://www.ebay.com/itm/364294806562,85
1996 American Silver Eagle MS69 ICG,365231732872,"Jan 14, 2026",$81.68,$13.92,,,Fixed price,https://www.ebay.com/itm/365231732872,67
1996-P Proof $1 American Silver Eagle NGC PF69UC Brown Label,204014443897,"Jan 26, 2026",$124.17,$0.00,,,Fixed price,https://www.ebay.com/itm/204014443897,40
"1996-P Proof $1 American Silver Eagle Box, OGP & COA",204339497228,"Jan 9, 2026",$85.57,$0.00,,,Fixed price,https://www.ebay.com/itm/204339497228,39
PR70 1996-P DCAM American Silver Eagle PCGS Blue Label,135552580847,"Apr 8, 2026",$307.06,$0.00,,,Fixed price,https://www.ebay.com/itm/135552580847,22
1996-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145760685630,"Mar 25, 2026",$119.83,$0.00,,,Fixed price,https://www.ebay.com/itm/145760685630,28
1996 P American Silver Eagle Bullion Proof $1 Coin Collectible OGP COA,366122412295,"Mar 7, 2026",$131.12,$0.00,,,Fixed price,https://www.ebay.com/itm/366122412295,24
1996 $1 American Silver Eagle NGC MS69 Brown Label,204953878749,"Dec 25, 2025",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/204953878749,37
1996-P $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,145651426523,"Jan 30, 2026",$136.85,$0.00,,,Fixed price,https://www.ebay.com/itm/145651426523,22
1996 American Silver Eagle $1 BU Brilliant Uncirculated NGC Brown Label,135552577490,"Feb 8, 2026",$97.87,$0.00,,,Fixed price,https://www.ebay.com/itm/135552577490,15
1996 American Silver Eagle .999 Fine Silver 1 oz BU • L👀K • FAST SHIPPING,297898162313,"Jan 15, 2026",$85.64,$7.72,,,Fixed price,https://www.ebay.com/itm/297898162313,12
1996 Proof $1 American Silver Eagle Box & COA | No Coin,276752829663,"Apr 8, 2026",$5.48,$7.83,,,Fixed price,https://www.ebay.com/itm/276752829663,11
1996-P American Silver Eagle PR70 DCAM ICG,126926421524,"Apr 5, 2026",$221.74,$0.00,,,Fixed price,https://www.ebay.com/itm/126926421524,10
1996 American Silver Eagle Uncirculated Bullion $1 Coin,365683750398,"Mar 30, 2026",$127.07,$0.00,,,Fixed price,https://www.ebay.com/itm/365683750398,12
1996-P American Silver Eagle $1 Proof 9.9 NGC X NGCX - Almost PERFECT,126578301308,"Apr 10, 2026",$148.40,$19.33,,,Fixed price,https://www.ebay.com/itm/126578301308,8
1996 American Silver Eagle Fine Silver Dollar Coin-Uncirculated Ungraded,257364983706,"Feb 22, 2026",$90.64,$5.89,,,Fixed price,https://www.ebay.com/itm/257364983706,8
1996 1 oz Proof Silver Eagle SAE Box & COA - NO Coin & NO Capsule #54270V,326584559345,"Feb 1, 2026",$12.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326584559345,14
,,"Nov 16, 2025",$65.28,$6.55,,,Fixed price,,13
,,"Dec 25, 2025",$361.43,$7.90,,,Fixed price,,7
,,"Jan 10, 2026",$93.59,$4.70,,,Fixed price,,12
1996-P American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,127212469888,"Feb 23, 2026",$105.73,$0.00,,,Fixed price,https://www.ebay.com/itm/127212469888,6
1996-P Silver American Eagle $1 PCGS PR70 DCAM - STOCK,147140435239,"Feb 18, 2026",$284.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147140435239,6
1996 $1 American Silver Eagle NGC MS69 Brown Label *various labels*,286797201367,"Jan 14, 2026",$112.19,$19.30,,,Fixed price,https://www.ebay.com/itm/286797201367,9
,,"Dec 23, 2025",$76.31,$0.00,,,Fixed price,,16
"1996-P $1 1-oz Proof American Silver Eagle Box, OGP, &COA",135180693974,"Dec 23, 2025",$82.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135180693974,10
1996 Silver American Eagle $1 Dollar - Uncirculated - Minor Imperfections,147071241552,"Mar 21, 2026",$115.19,$0.00,,,Fixed price,https://www.ebay.com/itm/147071241552,5
,,"Nov 23, 2025",$58.90,$5.46,,,Fixed price,,11
1996-P Proof $1 American Silver Eagle NGC PF70UC Brown Label,175791149176,"Jan 28, 2026",$369.00,$0.00,,,Fixed price,https://www.ebay.com/itm/175791149176,5
1996 $1 American Silver Eagle 1 oz Impaired,204334101023,"Feb 13, 2026",$108.25,$0.00,,,Fixed price,https://www.ebay.com/itm/204334101023,26
1996 KEY DATE BRILLIANT UNCIRCULATED PERFECT 1oz AMERICAN SILVER EAGLE,226867624414,"Jan 27, 2026",$96.20,$4.80,,,Fixed price,https://www.ebay.com/itm/226867624414,8
1996 P S$1 Proof Silver American Eagle Dollar NGC Graded PF 69 Ultra Cameo,297687640492,"Nov 1, 2025",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297687640492,6
1996-P $1 Proof American Silver Eagle in Box w/ COA-Free Shipping,366150639390,"Feb 7, 2026",$138.50,$0.00,,,Fixed price,https://www.ebay.com/itm/366150639390,14
,,"Dec 23, 2025",$79.12,$6.37,,,Fixed price,,17
,,"Nov 11, 2025",$59.95,$0.00,,,Fixed price,,4
1996-P American Silver Eagle PR69 DCAM PCGS Blue Label,127406884012,"Jan 11, 2026",$104.23,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884012,4
1996 MS69 $1 American Silver Eagle 1 Oz PCGS Blue Label,134137689372,"Nov 15, 2025",$99.16,$0.00,,,Fixed price,https://www.ebay.com/itm/134137689372,13
1996 $1 1-oz American Silver Eagle Impaired Abrasions,134970006941,"Feb 13, 2026",$105.86,$0.00,,,Fixed price,https://www.ebay.com/itm/134970006941,27
1996 Silver American Eagle MS-69 PCGS,136973321578,"Jan 23, 2026",$113.25,$5.46,,,Fixed price,https://www.ebay.com/itm/136973321578,4
1996-P American Silver Eagle Dollar PR69DCAM PCGS Proof 69 Deep Cameo,146871340918,"Jan 27, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146871340918,7
