Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"Walking Liberty Half Dollars 90% Silver Circulated, Choose How Many!",318445302626,"Jul 11, 2026",$27.76,$4.99,,,Fixed price,https://www.ebay.com/itm/318445302626,120
,,"Jul 10, 2026",$63.75,$0.00,,,Fixed price,,43
,,"Jul 9, 2026",$68.54,$0.00,,,Fixed price,,16
1916-1947 Walking Liberty Half Dollar BU (Random),111841485222,"Jul 3, 2026",$64.16,$6.46,,,Fixed price,https://www.ebay.com/itm/111841485222,24
BLACK RUTHENIUM 24K 2-Sided 1916-1947 AU WALKING LIBERTY SILVER HALF DOLLAR Coin,191851671428,"Jun 19, 2026",$60.79,$0.00,,,Fixed price,https://www.ebay.com/itm/191851671428,25
1916 - 1947 WALKING LIBERTY HALF DOLLARS - PERFECT FOR STACKING!,257532913954,"Jun 15, 2026",$26.99,$5.79,,,Fixed price,https://www.ebay.com/itm/257532913954,50
1916 - 1947 Walking Liberty Half Dollars- 90% Silver - VF/EF- FREE SHIPPING!,257512929593,"May 24, 2026",$30.61,$0.00,,,Fixed price,https://www.ebay.com/itm/257512929593,50
1916 - 1947 Walking Liberty Half Dollars- 90% Silver - VF/EF- FREE SHIPPING!,257495900006,"May 17, 2026",$32.69,$0.00,,,Fixed price,https://www.ebay.com/itm/257495900006,37
LOT OF 4 - 90% Silver Walking Liberty Half Dollars Circulated (Four Coins),197313060344,"May 16, 2026",$173.66,$0.00,,,Fixed price,https://www.ebay.com/itm/197313060344,40
DANSCO COIN ALBUM #7160 WALKING LIBERTY HALF DOLLARS 1916-1947,316871079206,"May 14, 2026",$29.99,$5.99,,,Fixed price,https://www.ebay.com/itm/316871079206,11
[Lot of 10] Junk Silver 90% - Walking Liberty Half Dollar - Choose # of Lots!,156651583028,"May 13, 2026",$268.91,$33.16,,,Fixed price,https://www.ebay.com/itm/156651583028,55
Walking Liberty Half 1/2 Dollar Coin Album 1916-1947 Whitman 9125 Halves Album,115998907896,"May 13, 2026",$32.54,$0.00,,,Fixed price,https://www.ebay.com/itm/115998907896,26
1916-1947 Silver Walking Liberty Half Dollar 90%! Free Shipping! Choose Quantity,267653622607,"May 2, 2026",$26.50,$0.00,,,Fixed price,https://www.ebay.com/itm/267653622607,40
[Removed] Item 178073747740,178073747740,"Apr 28, 2026",$15.59,$9.99,,,Fixed price,,11
(1) Lower Grade 90% Silver WALKING LIBERTY Half Dollar - 1916-1947 - Circulated,126772158335,"Apr 27, 2026",$19.99,$4.76,,,Fixed price,https://www.ebay.com/itm/126772158335,11
Item ID 406833788693,406833788693,"Apr 10, 2026",$53.20,$0.00,,,Fixed price,https://www.ebay.com/itm/406833788693,13
[Removed] Item 298197727588,298197727588,"Apr 9, 2026",$41.68,$0.00,,,Fixed price,,22
90% Silver Walking Liberty Half Dollars - Roll of 20 - $10 Face Value,375733172956,"Apr 5, 2026",$525.13,$0.00,,,Fixed price,https://www.ebay.com/itm/375733172956
1916-S Walking Liberty Half Dollar USA Silver 50c Coin,147239829778,"Apr 5, 2026",$12.50,$9.99,,,Fixed price,https://www.ebay.com/itm/147239829778
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,318078260700,"Apr 5, 2026",$44.20,$0.00,,,Fixed price,https://www.ebay.com/itm/318078260700
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,298193254428,"Apr 5, 2026",$30.25,$9.99,,,Fixed price,https://www.ebay.com/itm/298193254428
USA 90% Silver Walking Liberty Half Dollar 1916-1947 Coin Random Date Average,395332522597,"Apr 4, 2026",$39.59,$0.00,,,Fixed price,https://www.ebay.com/itm/395332522597
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,389768513854,"Apr 4, 2026",$43.53,$0.00,,,Fixed price,https://www.ebay.com/itm/389768513854
Dansco Album 7160 Liberty Walking Half Dollar $ 1916-1947 Book 50 cent,374951719907,"Apr 4, 2026",$35.33,$11.00,,,Fixed price,https://www.ebay.com/itm/374951719907
$2 Face 90% Silver 2 Walking Liberty Half Dollar 10 Mercury Dime Choose # Lots,155857253665,"Apr 4, 2026",$142.28,$0.00,,,Fixed price,https://www.ebay.com/itm/155857253665
,,"Apr 4, 2026",$43.53,$0.00,,,Fixed price,,12
USA Walking Liberty Half Dollar Coin XF/VF 90% Silver Extra Fine - Random Date,395132691184,"Apr 3, 2026",$38.05,$0.00,,,Fixed price,https://www.ebay.com/itm/395132691184
Walking Liberty Half Dollars 90% Silver Circulated CHOOSE QUANTITY FREE SHIPPING,154545398921,"Apr 3, 2026",$37.57,$0.00,,,Fixed price,https://www.ebay.com/itm/154545398921
1916 Liberty Walking Half Dollar Circulated US Coin Collectible,298064375689,"Apr 3, 2026",$7.83,$0.00,,,Fixed price,https://www.ebay.com/itm/298064375689
[Removed] Item 298186436294,298186436294,"Apr 3, 2026",$31.33,$9.99,,,Fixed price,
Walking Liberty Half Dollar VF 90% Silver Very Fine 1916-1947 Random Date,117112590135,"Apr 3, 2026",$36.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117112590135
[Lot of 10] Walking Liberty Half Dollar - 90% Silver Choose How Many Lots of 10!,155483096251,"Apr 3, 2026",$341.95,$0.00,,,Fixed price,https://www.ebay.com/itm/155483096251
90% Silver Walking Liberty Half Dollar Brilliant Uncirculated BU Random Date,193715760022,"Apr 2, 2026",$90.47,$0.00,,,Fixed price,https://www.ebay.com/itm/193715760022
Whitman US Walking Liberty Half Dollar Coin Album 1916 - 1947 #9125,154536519817,"Apr 2, 2026",$30.22,$0.00,,,Fixed price,https://www.ebay.com/itm/154536519817
Whitman Liberty Walking Half Dollars Coin Album Book 1916-1947 #9125,354116989916,"Apr 2, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/354116989916
,,"Apr 1, 2026",$43.41,$0.00,,,Fixed price,
[Removed] Item 298162221312,298162221312,"Apr 1, 2026",$33.99,$9.99,,,Fixed price,
Dansco Coin Album For US Liberty Walking Half Dollar 1916-1947 Model 7160 New,115875974759,"Apr 1, 2026",$45.93,$0.00,,,Fixed price,https://www.ebay.com/itm/115875974759
,,"Apr 1, 2026",$43.55,$0.00,,,Fixed price,,24
,,"Apr 1, 2026",$43.24,$0.00,,,Fixed price,,19
[Removed] Item 287233940977,287233940977,"Mar 31, 2026",$33.71,$10.26,,,Fixed price,
,,"Mar 31, 2026",$26.99,$0.00,,,Fixed price,
(1) Walking Liberty Half Dollar Au-Bu Uncirculated 90% Silver,266576769487,"Mar 31, 2026",$85.45,$0.00,,,Fixed price,https://www.ebay.com/itm/266576769487
[Lot of 5] Walking Liberty Half Dollar - 90% Silver - Choose How Many Lots of 5!,154590577721,"Mar 30, 2026",$170.19,$0.00,,,Fixed price,https://www.ebay.com/itm/154590577721
FULL DATES Roll of 20 $10 Face Value 90% Silver Walking Liberty Half Dollars,371231418561,"Mar 29, 2026",$525.87,$0.00,,,Fixed price,https://www.ebay.com/itm/371231418561
1916 Walking Liberty Half Dollar ~ Borderline Uncirculated (AU++) ~ 90% Silver,306575131968,"Mar 29, 2026",$375.23,$4.98,,,Fixed price,https://www.ebay.com/itm/306575131968
USA Walking Liberty Half Dollar Coin 90% Silver XF/VF - Set of 5 - Random Date,197346614227,"Mar 28, 2026",$198.34,$0.00,,,Fixed price,https://www.ebay.com/itm/197346614227
$100 Face Value Bag 90% Silver Walking Liberty Half Dollars Full Dates,372546364195,"Mar 28, 2026","$4,920.32",$0.00,,,Fixed price,https://www.ebay.com/itm/372546364195
U.S. Liberty Walking Half Dollars: 1916-1947 - Whitman Classic Coin Album,204656762387,"Mar 27, 2026",$39.96,$5.95,,,Fixed price,https://www.ebay.com/itm/204656762387
90% Silver Walking Liberty Half Dollars – Random Dates (1916–1947),358254193752,"Mar 26, 2026",$38.76,$0.00,,,Fixed price,https://www.ebay.com/itm/358254193752
Walking Liberty Half Dollar VF 90% Silver Very Fine 1916-1947 Random Date,196188199751,"Mar 26, 2026",$37.94,$0.00,,,Fixed price,https://www.ebay.com/itm/196188199751
Set of 2 - Whitman Liberty Walking Half Dollars Coin Folders #1-2 1916-1947 Book,363272693855,"Mar 26, 2026",$18.49,$0.00,,,Fixed price,https://www.ebay.com/itm/363272693855
Set of 2 He Harris Liberty Walking Half Dollars Coin Folders #1-2 1916-1947 Book,363428209610,"Mar 26, 2026",$18.49,$0.00,,,Fixed price,https://www.ebay.com/itm/363428209610
,,"Mar 26, 2026",$37.77,$0.00,,,Fixed price,,31
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287214157571,"Mar 25, 2026",$32.60,$12.49,,,Fixed price,https://www.ebay.com/itm/287214157571
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,168240563556,"Mar 25, 2026",$38.27,$0.00,,,Fixed price,https://www.ebay.com/itm/168240563556
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,406783016626,"Mar 25, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/406783016626
90% Silver Walking Liberty Half Dollar Coin (1),187624906089,"Mar 23, 2026",$41.20,$0.00,,,Fixed price,https://www.ebay.com/itm/187624906089
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,198180144716,"Mar 23, 2026",$38.17,$0.00,,,Fixed price,https://www.ebay.com/itm/198180144716
,,"Mar 23, 2026",$38.17,$0.00,,,Fixed price,,11
,,"Mar 22, 2026",$26.75,$9.99,,,Fixed price,
$1 Face - 90% Silver Walking Liberty Half Dollar Circulated (Two Coins),395111430221,"Mar 22, 2026",$79.22,$0.00,,,Fixed price,https://www.ebay.com/itm/395111430221
[Removed] Item 168242941358,168242941358,"Mar 21, 2026",$42.49,$0.00,,,Fixed price,
90% Silver Walking Liberty Half Dollars - $50 Face Value Bag,403700030618,"Mar 20, 2026","$2,567.50",$0.00,,,Fixed price,https://www.ebay.com/itm/403700030618
Whitman Prestige™ Album-Liberty Walking Half Dollars: 1916-47 Date/Mintmark Set,205715030419,"Mar 20, 2026",$57.56,$0.00,,,Fixed price,https://www.ebay.com/itm/205715030419
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,389751603268,"Mar 19, 2026",$29.99,$9.99,,,Fixed price,https://www.ebay.com/itm/389751603268
2Pack 1916 Walking Liberty Half Dollar Brilliant Uncirculated BU,298067213224,"Mar 18, 2026",$18.66,$0.00,,,Fixed price,https://www.ebay.com/itm/298067213224
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,168231185779,"Mar 18, 2026",$34.66,$0.00,,,Fixed price,https://www.ebay.com/itm/168231185779
U.S. Half Dollar Roll * Walking Liberty * 20 Circulated Silver Coins * Free Ship,177930473451,"Mar 16, 2026",$549.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177930473451
1916 Walking Liberty Half Dollar Brilliant Uncirculated BU Random Date Average,397587780820,"Mar 15, 2026",$10.77,$1.99,,,Fixed price,https://www.ebay.com/itm/397587780820
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287203348607,"Mar 15, 2026",$28.67,$9.99,,,Fixed price,https://www.ebay.com/itm/287203348607
1916 Walking Liberty Half Dollar Brilliant Uncirculated BU Random Date Average,397590586814,"Mar 14, 2026",$16.67,$4.78,,,Fixed price,https://www.ebay.com/itm/397590586814
USA 90% Silver Walking Liberty Half Dollar 1916-1947 Coin Random Date Average,198084448268,"Feb 22, 2026",$28.02,$5.91,,,Fixed price,https://www.ebay.com/itm/198084448268,58
,,"Feb 22, 2026",$28.02,$5.91,,,Fixed price,,58
[Removed] Item 358168474882,358168474882,"Feb 9, 2026",$28.80,$0.00,,,Fixed price,,13
,,"Feb 4, 2026",$4.00,$3.95,,,Fixed price,,19
90% Silver Walking Liberty Half Dollar Choose How Many Coins 50c Walkers VG-VF+,306530668774,"Feb 3, 2026",$41.01,$15.89,,,Fixed price,https://www.ebay.com/itm/306530668774,28
,,"Jan 23, 2026",$66.56,$4.12,,,Fixed price,,65
,,"Jan 23, 2026",$68.30,$4.12,,,Fixed price,,52
,,"Jan 14, 2026",$37.90,$4.99,,,Fixed price,,21
