Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1904-S Silver Barber Half Dollar Circulated,127926124614,"Jun 23, 2026",$49.00,$3.00,,,Auction,https://www.ebay.com/itm/127926124614,1
Better 1904-S US Barber 90% Silver Half Dollar Coin Collection Set Break *274,127900044111,"Jun 9, 2026",$29.76,$0.00,,,Auction,https://www.ebay.com/itm/127900044111,1
"1904 S Barber Half Dollar, Tough Date, Good Condition, Silver, Free Ship, C6904",145813055406,"Jun 9, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/145813055406,1
Better 1904-S US Barber 90% Silver Half Dollar Coin Collection Set Break *082,137335624935,"May 29, 2026",$30.00,$0.00,,,Auction,https://www.ebay.com/itm/137335624935,1
Better 1904-S US Barber 90% Silver Half Dollar Coin Collection Set Break *198,137329091909,"May 27, 2026",$33.50,$0.00,,,Auction,https://www.ebay.com/itm/137329091909,1
Better 1904-S US Barber 90% Silver Half Dollar Coin Collection Set Break *849,137311278281,"May 21, 2026",$37.09,$0.00,,,Auction,https://www.ebay.com/itm/137311278281,1
1904-S BARBER silver U.S. half dollar. Nice original G+/G. #md2,117177240440,"May 16, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117177240440,1
1904-S Barber Half Dollar Average Circ 90% Silver,137191556874,"May 15, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137191556874,1
1904-S Barber Half Dollar Silver,117194136245,"May 14, 2026",$34.95,$4.95,,,Fixed price,https://www.ebay.com/itm/117194136245,1
1904 S Barber Silver Half Dollar,147302553305,"May 14, 2026",$22.50,$2.04,,,Auction,https://www.ebay.com/itm/147302553305,1
1904 S Barber Silver Half Dollar,147282241924,"May 3, 2026",$21.61,$6.49,,,Auction,https://www.ebay.com/itm/147282241924,1
"1904-S Barber Silver Half Dollar, G. B154",137262060236,"Apr 28, 2026",$40.00,$5.00,,,Fixed price,https://www.ebay.com/itm/137262060236,1
1904 S United States Barber Half Dollar 50 cent silver coin,127826563410,"Apr 23, 2026",$35.00,$5.56,,,Fixed price,https://www.ebay.com/itm/127826563410,1
1904 S Barber Half Dollar,117104039692,"Apr 5, 2026",$41.00,$0.85,,,Auction,https://www.ebay.com/itm/117104039692,1
1904 S Barber Half Dollar,117106315615,"Apr 5, 2026",$45.44,$22.05,,,Auction,https://www.ebay.com/itm/117106315615,1
"1904-S BARBER HALF DOLLAR ONLY 553,038 MINTED SEMI KEY",177998147582,"Apr 3, 2026",$35.00,$5.40,,,Auction,https://www.ebay.com/itm/177998147582
