Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 4, 2025",$35.04,$0.00,,,Fixed price,
1879 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196284222133,"Apr 6, 2026",$171.01,$0.00,,,Fixed price,https://www.ebay.com/itm/196284222133
[Removed] Item 318027744827,318027744827,"Apr 3, 2026",$62.13,$0.00,,,Fixed price,
[Removed] Item 205997207643,205997207643,"Feb 3, 2026",$72.45,$0.00,,,Fixed price,
VF 1879-S Morgan Silver Dollar (1 coin),365117525088,"Jan 26, 2026",$49.45,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525088
,,"Jan 17, 2026",$64.28,$0.00,,,Fixed price,
1879 S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269931,"Mar 25, 2026",$65.19,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269931
* 1879-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709589360,"Apr 6, 2026",$204.86,$0.00,,,Fixed price,https://www.ebay.com/itm/164709589360
,,"Nov 12, 2025",$18.38,$0.00,,,Fixed price,
MS 1879-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1797,177798784772,"Apr 7, 2026",$91.10,$5.25,,,Fixed price,https://www.ebay.com/itm/177798784772
1879-S Morgan Silver Dollar MS64 PCGS,362734320998,"Mar 8, 2026",$147.00,$0.00,,,Fixed price,https://www.ebay.com/itm/362734320998
,,"Nov 2, 2025",$20.10,$0.00,,,Fixed price,
[Removed] Item 389275120678,389275120678,"Dec 6, 2025",$18.13,$0.00,,,Fixed price,
[Removed] Item 197747640218,197747640218,"Nov 1, 2025",$21.67,$0.00,,,Fixed price,
1879 S Morgan Dollar Uncirculated Silver $1 Coin,365846546258,"Jan 22, 2026",$104.42,$0.00,,,Fixed price,https://www.ebay.com/itm/365846546258
VG/F 1879-S Morgan Silver Dollar (1 coin),126671178390,"Dec 29, 2025",$49.34,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178390
,,"Oct 28, 2025",$31.71,$0.00,,,Fixed price,
XF 1879-S Morgan Silver Dollar (1 coin),127139093781,"Jan 26, 2026",$59.67,$0.00,,,Fixed price,https://www.ebay.com/itm/127139093781
BU/Unc 1879-S Morgan Silver Dollar (1 coin),133331306875,"Jan 18, 2026",$82.30,$0.00,,,Fixed price,https://www.ebay.com/itm/133331306875
,,"Mar 11, 2026",$69.40,$0.00,,,Fixed price,
EF 1879-S MORGAN SILVER DOLLAR EXCELLENTEF DETAIL COLLECTOR QUALITY COIN M-1708,177743364037,"Mar 25, 2026",$79.40,$5.25,,,Fixed price,https://www.ebay.com/itm/177743364037
1879 S Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365978680840,"Mar 17, 2026",$84.59,$0.00,,,Fixed price,https://www.ebay.com/itm/365978680840
,,"Nov 22, 2025",$36.34,$0.00,,,Fixed price,
[Removed] Item 357729062849,357729062849,"Oct 21, 2025",$21.02,$0.00,,,Fixed price,
,,"Oct 28, 2025",$35.85,$0.00,,,Fixed price,
"1879-S Morgan Dollar, Gem PL FIELDS BU MS, Proof-Like Mirrors Frosty Flashy PQ",365387026835,"Nov 17, 2025",$143.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365387026835
AU+ 1879-S Morgan Silver Dollar (1 coin),126227206264,"Jan 14, 2026",$65.98,$0.00,,,Fixed price,https://www.ebay.com/itm/126227206264
1879-S Morgan Silver Dollar MS64 NGC Brown Label,126651294229,"Mar 11, 2026",$118.30,$0.00,,,Fixed price,https://www.ebay.com/itm/126651294229
1879-S Morgan Silver Dollar Reverse 79 MS64 ICG,136218132828,"Dec 13, 2025",$90.18,$0.00,,,Fixed price,https://www.ebay.com/itm/136218132828
"1879-S Morgan silver dollar PCGS graded MS64, bright and pretty.",157172256685,"Feb 26, 2026",$130.67,$0.00,,,Fixed price,https://www.ebay.com/itm/157172256685
1879-S $1 Morgan Silver Dollar PCGS MS 63 | Uncirculated UNC,305136856543,"Mar 23, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305136856543
1879-S Morgan Silver Dollar MS64 PCGS Blue Label,126651296705,"Jan 15, 2026",$111.70,$0.00,,,Fixed price,https://www.ebay.com/itm/126651296705
1879-S Morgan Dollar MS62 ANACS,127126348378,"Feb 9, 2026",$96.77,$0.00,,,Fixed price,https://www.ebay.com/itm/127126348378
1879 S Morgan Silver Dollar,157555709758,"Jan 20, 2026",$115.00,$5.27,,,Fixed price,https://www.ebay.com/itm/157555709758
1879-S S$1 Morgan Silver Dollar PCGS MS63PL Proof Like - Purple Core,226815994890,"Jan 19, 2026",$189.99,$5.00,,,Fixed price,https://www.ebay.com/itm/226815994890
1879-S $1 Morgan Silver Dollar NGC MS64 Brown Label,317069186466,"Jan 28, 2026",$114.90,$0.00,,,Fixed price,https://www.ebay.com/itm/317069186466
[Removed] Item 317406039304,317406039304,"Nov 24, 2025",$22.69,$0.00,,,Fixed price,
Brilliant GEM Uncirculated $1 1879-S Morgan US Silver Dollar 90% BU WHITE,326555571051,"Apr 4, 2026",$229.72,$0.00,,,Fixed price,https://www.ebay.com/itm/326555571051
1879 S Morgan Dollar AU About Uncirculated 90% Silver $1 US Coin Collectible,365137957164,"Mar 3, 2026",$93.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365137957164
1879 S Morgan Dollar Uncirculated Silver $1 Coin,366322533637,"Apr 3, 2026",$116.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322533637
1879 S Morgan Silver Dollar 78 Reverse - MS++ - Uncirculated Plus Plus HEEX,387850339903,"Apr 2, 2026",$122.49,$5.99,,,Fixed price,https://www.ebay.com/itm/387850339903
,,"Nov 12, 2025",$21.96,$0.00,,,Fixed price,
[Removed] Item 406590034110,406590034110,"Jan 26, 2026",$73.00,$0.00,,,Fixed price,
1879-S MORGAN DOLLAR - Toned MS..Beautiful Coin,115071974145,"Jan 11, 2026",$85.00,$8.00,,,Fixed price,https://www.ebay.com/itm/115071974145
1879-S Morgan Silver Dollar | PCGS MS64 CAC | Vibrant Neon Rainbow Obv Toning,115746499231,"Jan 15, 2026","$1,899.99",$0.00,,,Fixed price,https://www.ebay.com/itm/115746499231
,,"Oct 14, 2025",$225.00,$5.00,,,Fixed price,
,,"Dec 27, 2025",$90.00,$6.50,,,Fixed price,
"1879 S BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST ""Chief Joseph"" RARE",116367663265,"Jan 19, 2026",$109.99,$0.91,,,Fixed price,https://www.ebay.com/itm/116367663265
,,"Jan 2, 2026",$105.00,$4.65,,,Fixed price,
1879 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196284222133,"Apr 8, 2026",$171.01,$0.00,,,Fixed price,https://www.ebay.com/itm/196284222133,62
* 1879-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709589360,"Apr 6, 2026",$205.48,$0.00,,,Fixed price,https://www.ebay.com/itm/164709589360,24
1879-S $1 Morgan Silver Dollar PCGS MS 63 | Uncirculated UNC,305136856543,"Apr 10, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305136856543,4
[Removed] Item 197747640218,197747640218,"Nov 1, 2025",$20.00,$0.00,,,Fixed price,,4
1879 S Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266833607863,"Feb 24, 2026",$154.93,$0.00,,,Fixed price,https://www.ebay.com/itm/266833607863,3
✯1879 S Uncirculated Morgan Silver Dollar 1x Choice/Gem BU From OBW Roll Estate✯,274831770365,"Apr 9, 2026",$148.50,$0.00,,,Fixed price,https://www.ebay.com/itm/274831770365,2
,,"Jan 11, 2026",$85.00,$8.00,,,Fixed price,,1
,,"Dec 1, 2025",$138.00,$5.55,,,Fixed price,,1
,,"Dec 4, 2025",$110.00,$5.95,,,Fixed price,,1
1879-S REV 78 Morgan Silver Dollar ~ VERY RARE - 2nd REVERSE - Vam-46,116517175485,"Jan 23, 2026",$189.00,$4.50,,,Fixed price,https://www.ebay.com/itm/116517175485,1
,,"Nov 8, 2025",$124.95,$0.00,,,Fixed price,,1
,,"Nov 6, 2025",$74.22,$10.12,,,Fixed price,,1
,,"Oct 28, 2025",$249.00,$8.55,,,Fixed price,,1
,,"Dec 19, 2025",$116.00,$0.00,,,Fixed price,,1
1879-S GSA Hard pack ! NGC MS67 Morgan Silver Dollar,116609568011,"Apr 2, 2026","$3,751.55",$19.63,,,Fixed price,https://www.ebay.com/itm/116609568011,1
1879-S MORGAN SILVER DOLLAR Uncirculated,116712594210,"Jan 29, 2026",$110.85,$8.75,,,Fixed price,https://www.ebay.com/itm/116712594210,1
,,"Nov 16, 2025",$55.00,$5.95,,,Fixed price,,1
,,"Oct 28, 2025",$68.00,$3.53,,,Fixed price,,1
,,"Nov 8, 2025",$199.95,$4.50,,,Fixed price,,1
,,"Jan 9, 2026",$169.95,$4.50,,,Fixed price,,1
,,"Oct 15, 2025",$74.31,$5.32,,,Fixed price,,1
,,"Jan 3, 2026",$70.00,$6.00,,,Fixed price,,1
,,"Oct 22, 2025",$51.00,$7.50,,,Auction,,1
,,"Dec 20, 2025",$47.00,$1.36,,,Fixed price,,1
,,"Oct 26, 2025",$118.49,$5.95,,,Auction,,1
,,"Oct 25, 2025",$54.00,$4.00,,,Auction,,1
,,"Oct 24, 2025",$62.00,$4.90,,,Auction,,1
,,"Dec 20, 2025",$355.00,$6.00,,,Fixed price,,1
,,"Oct 27, 2025",$180.00,$4.99,,,Fixed price,,1
,,"Oct 30, 2025",$210.00,$7.00,,,Fixed price,,1
,,"Nov 1, 2025",$132.46,$3.29,,,Auction,,1
,,"Oct 28, 2025",$25.00,$5.15,,,Fixed price,,1
,,"Nov 1, 2025",$68.00,$5.00,,,Fixed price,,1
,,"Nov 7, 2025",$168.50,$7.49,,,Auction,,1
,,"Nov 23, 2025",$33.89,$2.57,,,Auction,,1
1879-S Rev 78 Morgan Silver Dollar (cn15663),116862045591,"Jan 19, 2026",$100.00,$4.00,,,Fixed price,https://www.ebay.com/itm/116862045591,1
,,"Nov 12, 2025",$98.00,$4.95,,,Auction,,1
,,"Nov 19, 2025",$259.00,$9.15,,,Auction,,1
,,"Nov 17, 2025",$142.50,$4.45,,,Auction,,1
,,"Nov 22, 2025",$34.00,$4.97,,,Auction,,1
,,"Dec 4, 2025",$70.00,$0.00,,,Fixed price,,1
,,"Nov 27, 2025",$39.98,$5.09,,,Auction,,1
,,"Nov 22, 2025",$119.00,$7.49,,,Fixed price,,1
,,"Nov 28, 2025",$40.00,$5.09,,,Auction,,1
,,"Nov 26, 2025",$110.70,$7.49,,,Auction,,1
,,"Dec 2, 2025",$94.00,$15.00,,,Auction,,1
,,"Dec 2, 2025",$226.50,$0.00,,,Auction,,1
,,"Nov 27, 2025",$125.00,$5.45,,,Fixed price,,1
,,"Dec 2, 2025",$182.56,$5.15,,,Auction,,1
,,"Dec 9, 2025",$455.00,$8.45,,,Auction,,1
,,"Dec 27, 2025",$63.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$201.00,$5.95,,,Auction,,1
,,"Dec 7, 2025",$58.00,$4.87,,,Auction,,1
,,"Dec 7, 2025",$62.67,$4.87,,,Auction,,1
,,"Dec 7, 2025",$62.00,$4.76,,,Auction,,1
,,"Dec 7, 2025",$63.00,$4.76,,,Auction,,1
,,"Dec 9, 2025",$53.39,$4.99,,,Auction,,1
,,"Dec 13, 2025",$67.00,$4.95,,,Auction,,1
,,"Dec 14, 2025",$78.34,$4.76,,,Auction,,1
,,"Dec 18, 2025",$50.00,$4.00,,,Auction,,1
,,"Dec 13, 2025",$131.00,$5.95,,,Fixed price,,1
,,"Dec 22, 2025",$58.00,$3.50,,,Auction,,1
,,"Dec 21, 2025",$77.99,$5.40,,,Fixed price,,1
1879-S PCGS MS66 Morgan Silver Dollar Beautiful Toning,116945525827,"Jan 30, 2026",$719.10,$0.00,,,Fixed price,https://www.ebay.com/itm/116945525827,1
1879-S Morgan Silver Dollar PCGS Graded MS64,116951998994,"Feb 23, 2026",$95.00,$8.75,,,Fixed price,https://www.ebay.com/itm/116951998994,1
,,"Jan 9, 2026",$100.00,$4.75,,,Auction,,1
,,"Jan 4, 2026",$64.55,$4.65,,,Auction,,1
,,"Dec 31, 2025",$70.00,$3.82,,,Fixed price,,1
,,"Jan 10, 2026",$111.06,$4.95,,,Auction,,1
1879-S $1 Morgan Silver Dollar NGC MS63 US 90% San Francisco,116959671864,"Jan 25, 2026",$95.00,$5.27,,,Fixed price,https://www.ebay.com/itm/116959671864,1
,,"Jan 5, 2026",$57.50,$4.70,,,Fixed price,,1
,,"Jan 7, 2026",$80.00,$4.87,,,Fixed price,,1
,,"Jan 12, 2026",$529.00,$0.00,,,Fixed price,,1
"1879-S Morgan Dollar, MS 64 PCGS, NR",116979908213,"Jan 17, 2026",$117.50,$3.29,,,Auction,https://www.ebay.com/itm/116979908213,1
,,"Jan 13, 2026",$65.00,$5.15,,,Fixed price,,1
1879-S MS62 Bright Surfaces PCGS San Francisco Mint Morgan Silver Dollar,116983962871,"Jan 21, 2026",$83.00,$5.15,,,Auction,https://www.ebay.com/itm/116983962871,1
