Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1921 D Mercury Dime Low production in the first year As shown in the figure,188529140608,"Jun 25, 2026",$9.99,$9.99,,,Fixed price,https://www.ebay.com/itm/188529140608,4
1921-D Mercury Dime (10¢) Novelty/Souvenir Coin,227366570430,"Jun 9, 2026",$14.00,$1.32,,,Fixed price,https://www.ebay.com/itm/227366570430,5
[Removed] Item 188408063362,188408063362,"May 31, 2026",$18.49,$12.49,,,Fixed price,,5
,,"May 28, 2026",$35.99,$14.99,,,Fixed price,,3
1921-D Silver Mercury Dime,117200412253,"May 27, 2026",$104.50,$9.88,,,Auction,https://www.ebay.com/itm/117200412253,1
1916-1945 Mercury Dime Set 76 Coins! Average Circulated (No 16-D or Overdates),326582532258,"May 23, 2026",$621.25,$0.00,,,Fixed price,https://www.ebay.com/itm/326582532258,2
1921 P AND D Mercury Dimes - You Grade (#Sc77),117209019117,"May 23, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117209019117,1
1921-D Mercury Dime Low production in the first year As shown in the figure,137325988698,"May 20, 2026",$19.99,$9.99,,,Fixed price,https://www.ebay.com/itm/137325988698,2
1921-D Mercury Dime Good Condition,117177962743,"May 20, 2026",$66.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117177962743,1
[Removed] Item 206275762806,206275762806,"May 18, 2026",$17.66,$9.99,,,Fixed price,,3
1921 D Mercury Silver Dime Key Date Good X-557,396334047522,"May 9, 2026",$74.95,$0.00,,,Fixed price,https://www.ebay.com/itm/396334047522,7
[Removed] Item 206239571434,206239571434,"May 4, 2026",$18.21,$6.99,,,Fixed price,,7
VG Cleaned 1921 D Mercury Dime,117155559794,"May 3, 2026",$72.78,$5.00,,,Auction,https://www.ebay.com/itm/117155559794,1
[Removed] Item 336559575637,336559575637,"May 1, 2026",$13.50,$9.99,,,Fixed price,,2
[Removed] Item 358021652583,358021652583,"Apr 28, 2026",$8.36,$0.00,,,Fixed price,,21
[Removed] Item 206226805375,206226805375,"Apr 28, 2026",$19.99,$6.99,,,Fixed price,,4
1921 D 10C Mercury Dime NGC AG3 Key Date,117148447413,"Apr 23, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117148447413,1
1921 D Mercury Dime Low production in the first year As shown in the figure,287281588130,"Apr 22, 2026",$23.66,$0.00,,,Fixed price,https://www.ebay.com/itm/287281588130,3
1921 D Mercury Dime Low production in the first year As shown Lot of 3,287281602649,"Apr 22, 2026",$37.50,$0.00,,,Fixed price,https://www.ebay.com/itm/287281602649,2
1921-D MERCURY DIME Denver Mint SLIVER COIN VERY GOOD CONDITION Key Date,389887966842,"Apr 19, 2026",$27.40,$2.99,,,Fixed price,https://www.ebay.com/itm/389887966842,5
"1921 D Mercury Dime 90% Silver AG-G ""Actual Coin Pictured - Not Cleaned""",117147796468,"Apr 18, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117147796468,1
[Removed] Item 306866599520,306866599520,"Apr 13, 2026",$19.56,$0.00,,,Fixed price,,7
"1916-D Mercury Dime, NGC AG3, Key Date, 10c, Original Silver Collector Coin.",117109956174,"Apr 10, 2026",$986.49,$15.95,,,Fixed price,https://www.ebay.com/itm/117109956174,1
1921 D Mercury Dime ABOUT GOOD,147231665454,"Apr 4, 2026",$47.00,$3.75,,,Auction,https://www.ebay.com/itm/147231665454
1921-D Mercury Dime : NGC VG08,157709345652,"Apr 4, 2026",$159.99,$4.95,,,Fixed price,https://www.ebay.com/itm/157709345652
1921 D Mercury Dime KEY DATE From High Grade Collection RARE! in This Grade,117110652689,"Apr 4, 2026",$340.00,$5.29,,,Fixed price,https://www.ebay.com/itm/117110652689,1
UNGRADED 1921 D MERCURY DIME D24,146706221398,"Apr 3, 2026",$69.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146706221398
1921 D - Mercury Dime 10¢ - G Good dbkjB,147223553383,"Apr 3, 2026",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147223553383
"KEY VF+/XF 1921-D Mercury Dime, GUARANTEED AUTHENTIC/ORIGINAL!",157791928880,"Apr 3, 2026",$405.00,$8.75,,,Auction,https://www.ebay.com/itm/157791928880
1921-D Mercury Dime Good,122923281944,"Apr 1, 2026",$80.20,$0.00,,,Fixed price,https://www.ebay.com/itm/122923281944
1921-D MERCURY DIME US COIN 90% SILVER,177667577837,"Apr 1, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177667577837
,,"Mar 31, 2026",$14.33,$9.99,,,Fixed price,
1921 D MERCURY DIME NGC AG 3 PROBLEM FREE NATURAL SURFACES WITH A PLEASING,136699707787,"Mar 31, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136699707787
COMPLETE 1916-1945 PDS Mercury Dime Set 1916D 1921 P&D 1926 S Silver G-BU 78pcs,177988647162,"Mar 31, 2026","$2,495.00",$14.95,,,Auction,https://www.ebay.com/itm/177988647162
,,"Mar 31, 2026",$14.00,$9.99,,,Fixed price,,2
1921 **D**MERCURY HEAD SILVER DIME - FREE SHIPPING! C2495,157796194826,"Mar 29, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157796194826
1921-d Mercury Dime Ngc G 6 Buy Now $75.00 Free Shipping,157733887129,"Mar 27, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157733887129
